ï»¿connaissance_langues,Sexe,n_2017,%_2017,n_2018,%_2018,n_2019,%_2019,n_2020,%_2020,n_2021,%_2021
FranÃ§ais seulement,Femmes,6 408,25,6 247,25,5 292,26.1,3 844,30.2,7 601,30.4
FranÃ§ais seulement,Hommes,5 776,22.8,5 377,22,4 734,24.1,3 342,27.3,6 596,26.7
FranÃ§ais et anglais,Femmes,6 618,25.8,6 108,24.5,4 681,23.1,3 820,30,9 530,38.1
FranÃ§ais et anglais,Hommes,7 246,28.6,6 710,27.5,5 164,26.3,4 089,33.3,10 722,43.4
Connaissant le franÃ§ais,Femmes,13 026,50.7,12 355,49.5,9 973,49.3,7 664,60.2,17 131,68.5
Connaissant le franÃ§ais,Hommes,13 022,51.3,12 087,49.5,9 898,50.3,7 431,60.6,17 318,70.1
Anglais seulement,Femmes,7 009,27.3,7 252,29.1,5 888,29.1,3 041,23.9,4 918,19.7
Anglais seulement,Hommes,7 115,28,7 458,30.5,5 930,30.1,3 011,24.6,4 903,19.8
Ni franÃ§ais ni anglais,Femmes,5 644,22,5 336,21.4,4 379,21.6,2 032,16,2 972,11.9
Ni franÃ§ais ni anglais,Hommes,5 241,20.7,4 888,20,3 844,19.5,1 822,14.9,2 488,10.1
Non disponible,Femmes,665,2.5,894,3.5,340,1.7,125,1,267,1.1
Non disponible,Hommes,678,2.6,853,3.4,313,1.6,101,0.8,256,1
Ensemble de l'immigration,Femmes,26 344,,25 837,,20 580,,12 862,,25 288,
Ensemble de l'immigration,Hommes,26 056,,25 286,,19 985,,12 365,,24 965,
