ï»¿age,sexe,n_2016,%_2016,n_2017,%_2017,n_2018,%_2018,n_2019,%_2019,n_2020,%_2020
14 ans et moins,Femmes,6 127,22.7,5 486,20.8,5 555,21.5,4 781,23.2,2 540,19.8
14 ans et moins,Hommes,6 474,24.7,6 033,23.2,5 840,23.1,5 117,25.6,2 655,21.5
15 Ã  24 ans,Femmes,3 160,11.7,2 971,11.3,2 971,11.5,2 265,11,1 325,10.3
15 Ã  24 ans,Hommes,2 786,10.6,2 801,10.7,2 692,10.6,2 077,10.4,1 188,9.6
25 Ã  34 ans,Femmes,9 124,33.7,9 153,34.7,8 597,33.3,5 861,28.5,4 387,34.1
25 Ã  34 ans,Hommes,7 602,29,7 946,30.5,7 509,29.7,4 863,24.3,3 767,30.5
35 Ã  44 ans,Femmes,5 319,19.7,5 012,19,5 201,20.1,4 396,21.4,2 843,22.1
35 Ã  44 ans,Hommes,5 825,22.2,5 631,21.6,5 717,22.6,4 725,23.6,3 014,24.4
45 Ã  64 ans,Femmes,2 638,9.8,2 758,10.5,2 704,10.5,2 390,11.6,1 339,10.4
45 Ã  64 ans,Hommes,2 962,11.3,2 967,11.4,2 949,11.7,2 537,12.7,1 428,11.5
65 ans et plus,Femmes,677,2.5,964,3.7,809,3.1,887,4.3,421,3.3
65 ans et plus,Hommes,553,2.1,678,2.6,579,2.3,666,3.3,316,2.6
Ensemble de l'immigration,Femmes,27 045,100,26 344,100,25 837,100,20 580,100,12 855,100
Ensemble de l'immigration,Hommes,26 202,100,26 056,100,25 286,100,19 985,100,12 368,100
