ï»¿Categorie,Sexe,n_ 2016,%_2016,n_2017,%_2017,n_2018,%_2018,n_2019,%_2019,n_2020,%_2020
Immigration Ã©conomique,Femmes,15 377,56.9,14 594,55.4,14 072,54.5,11 203,54.4,6 104,47.5
Immigration Ã©conomique,Hommes,16 226,61.9,15 671,60.1,15 120,59.8,11 926,59.7,6 668,53.9
Regroupement  familial,Femmes,6 439,23.8,6 869,26.1,7 047,27.3,5 594,27.2,4 498,35
Regroupement  familial,Hommes,4 686,17.9,5 266,20.2,5 239,20.7,4 092,20.5,3 294,26.6
RÃ©fugiÃ©s et personnes en situation semblable,Femmes,4 692,17.3,4 441,16.9,4 287,16.6,3 513,17.1,1 998,15.5
RÃ©fugiÃ©s et personnes en situation semblable,Hommes,4 741,17.5,4 713,17.9,4 547,17.6,3 735,18.1,2 186,17
Autres immigrants,Femmes,537,2,440,1.7,431,1.7,270,1.3,255,2
Autres immigrants,Hommes,549,2,406,1.5,380,1.5,232,1.1,220,1.7
Ensemble de l'immigration,Femmes,27 045,,26 344,,25 837,,20 580,,12 855,
Ensemble de l'immigration,Hommes,26 202,,26 056,,25 286,,19 985,,12 368,
Ensemble de l'immigration,Total,53 247,,52 400,,51 123,,40 565,,25 223,
