ï»¿sexe,niveau_competence_CNP,2016,2017,2018,2019,n_2020,%_2020
Femmes,0 - Gestion,299,444,399,332,167,1.9
Femmes,A - Professionnel,3 841,3 978,3 553,2 621,1 141,13.1
Femmes,B - Technique et paraprofessionnel,1 187,1 110,1 049,851,543,6.2
Femmes,C - IntermÃ©diaire,463,367,316,253,130,1.5
Femmes,Entrepreneurs et investisseurs,254,271,268,219,73,0.8
Femmes,Nouveaux travailleurs ,10 953,10 471,10 880,8 051,6 612,76
Femmes,Travailleurs non classÃ©s ailleurs,36,35,38,34,36,0.4
Hommes,0 - Gestion,595,768,695,640,318,3.7
Hommes,A - Professionnel,4 180,3 891,3 678,2 534,1 277,14.9
Hommes,B - Technique et paraprofessionnel,1 806,1 775,1 724,1 325,876,10.2
Hommes,C - IntermÃ©diaire,456,429,347,275,124,1.4
Hommes,Entrepreneurs et investisseurs,1 044,1 033,978,752,260,3
Hommes,Nouveaux travailleurs ,8 857,9 203,9 333,6 894,5 705,66.3
Hommes,Travailleurs non classÃ©s ailleurs,53,62,57,45,39,0.5
Ensemble,0 - Gestion,894,1 212,1 094,972,485,2.8
Ensemble,A - Professionnel,8 021,7 869,7 231,5 155,2 418,14
Ensemble,B - Technique et paraprofessionnel,2 993,2 885,2 773,2 176,1 419,8.2
Ensemble,C - IntermÃ©diaire,919,796,663,528,254,1.5
Ensemble,D - ÃlÃ©mentaire et manÅuvre,46,49,51,27,10,0.1
Ensemble,Entrepreneurs et investisseurs,1 298,1 304,1 246,971,333,1.9
Ensemble,Nouveaux travailleurs ,19 810,19 674,20 213,14 945,12 317,71.2
Ensemble,Travailleurs non classÃ©s ailleurs,43,48,44,52,65,0.4
