ï»¿categorie,Sexe,  n_2017,  n_2018,  n_2019,  n_2020,  n_2021
Immigration Ã©conomique,Femmes,14 594,14 072,11 203,6 105,12 498
Immigration Ã©conomique,Hommes,15 671,15 120,11 926,6 666,14 347
Regroupement  familial,Femmes,6 869,7 047,5 594,4 500,7 885
Regroupement  familial,Hommes,5 266,5 239,4 092,3 294,5 987
RÃ©fugiÃ©s et personnes en situation semblable,Femmes,4 441,4 287,3 513,2 002,3 633
RÃ©fugiÃ©s et personnes en situation semblable,Hommes,4 713,4 547,3 735,2 185,3 662
Autres immigrants,Femmes,440,431,270,255,1 272
Autres immigrants,Hommes,406,380,232,220,969
Ensemble de l'immigration,Femmes,26 344,25 837,20 580,12 862,25 288
Ensemble de l'immigration,Hommes,26 056,25 286,19 985,12 365,24 965
