ï»¿age,Sexe,  n_2017,%_2017,  n_2018,%_2018,  n_2019,%_2019,  n_2020,%_2020,  n_2021,%_2021
14 ans et moins,Femmes,5 486,20.8,5 555,21.5,4 781,23.2,2 544,19.8,3 796,15
14 ans et moins,Hommes,6 033,23.2,5 840,23.1,5 117,25.6,2 654,21.5,4 045,16.2
15 Ã  24 ans,Femmes,2 971,11.3,2 971,11.5,2 265,11,1 325,10.3,2 935,11.6
15 Ã  24 ans,Hommes,2 801,10.7,2 692,10.6,2 077,10.4,1 192,9.6,2 782,11.1
25 Ã  34 ans,Femmes,9 153,34.7,8 597,33.3,5 861,28.5,4 389,34.1,9 758,38.6
25 Ã  34 ans,Hommes,7 946,30.5,7 509,29.7,4 863,24.3,3 764,30.4,9 336,37.4
35 Ã  44 ans,Femmes,5 012,19,5 201,20.1,4 395,21.4,2 842,22.1,5 283,20.9
35 Ã  44 ans,Hommes,5 631,21.6,5 717,22.6,4 725,23.6,3 011,24.4,5 529,22.1
45 Ã  64 ans,Femmes,2 758,10.5,2 704,10.5,2 390,11.6,1 340,10.4,2 722,10.8
45 Ã  64 ans,Hommes,2 967,11.4,2 949,11.7,2 537,12.7,1 429,11.6,2 654,10.6
65 ans et plus,Femmes,964,3.7,809,3.1,887,4.3,422,3.3,794,3.1
65 ans et plus,Hommes,678,2.6,579,2.3,666,3.3,315,2.5,619,2.5
Ensemble de l'immigration,Femmes,26 344,100,25 837,100,20 579,100,12 862,100,25 288,100
Ensemble de l'immigration,Hommes,26 056,100,25 286,100,19 985,100,12 365,100,24 965,100
