ï»¿groupe-annee_scolarite,sexe,  n_2017,%_2017,  n_2018,%_2018,  n_2019,%_2019,  n_2020,%_2020,  n_2021,%_2021
0-6 annÃ©es,Femmes,1 740,10.4,2 096,12.7,1 373,11.1,1 009,11.6,2 368,12.8
0-6 annÃ©es,Hommes,1 616,9.4,1 994,11.9,1 401,11.2,1 068,12.4,2 428,13.1
7-11 annÃ©es,Femmes,1 322,7.9,1 150,7,831,6.7,593,6.8,1 182,6.4
7-11 annÃ©es,Hommes,1 601,9.3,1 372,8.2,1 003,8,640,7.4,1 365,7.3
12-13 annÃ©es,Femmes,1 745,10.5,1 670,10.1,1 285,10.4,887,10.2,1 842,10
12-13 annÃ©es,Hommes,1 973,11.5,1 811,10.8,1 423,11.4,1 018,11.8,1 912,10.3
14-16 annÃ©es,Femmes,6 228,37.3,5 913,35.8,4 469,36.2,2 810,32.3,5 336,28.9
14-16 annÃ©es,Hommes,5 372,31.3,5 062,30.1,3 735,30,2 539,29.5,4 954,26.7
"17 annÃ©es et 
plus",Femmes,5 641,33.8,5 674,34.4,4 402,35.6,3 404,39.1,7 734,41.9
"17 annÃ©es et 
plus",Hommes,6 599,38.5,6 573,39.1,4 903,39.3,3 331,38.8,7 929,42.7
Information non disponible,Femmes,-,-,-,-,-,-,-,-,1,0
Information non disponible,Hommes,-,-,-,-,-,-,-,-,1,0
Ensemble de l'immigration,Femmes,16 676,100,16 503,100,12 361,100,8 703,100,18 463,100
Ensemble de l'immigration,Hommes,17 161,100,16 812,100,12 465,100,8 596,100,18 589,100
