ï»¿sexe,Type_ competence_profession_projetee_CNP,2016,2017,2018,2019,n_2020,%_2020
Total,Gestion,894,1 212,1 094,972,485,2.8
Total,"Affaires, finance et administration",2 672,2 250,2 018,1 650,921,5.3
Total,Sciences naturelles et appliquÃ©es,3 961,3 376,3 288,2 171,1 277,7.4
Total,Secteur de la santÃ©,1 793,2 745,2 563,1 828,651,3.8
Total,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",1 596,1 254,1 174,1 015,471,2.7
Total,"Arts, culture, sports et loisirs",521,499,402,314,239,1.4
Total,Vente et services,985,937,822,587,387,2.2
Total,"MÃ©tiers, transport et machinerie",337,380,326,239,121,0.7
Total,Ressources naturelles et agriculture,30,46,29,28,6,0
Total,Fabrication et services d'utilitÃ© publique,84,112,96,54,28,0.2
Total,Entrepreneurs et investisseurs,1 298,1 304,1 246,971,333,1.9
Total,Nouveaux travailleurs,19 810,19 674,20 213,14 945,12 317,71.2
Total,Travailleurs non classÃ©s ailleurs,43,48,44,52,65,0.4
Femmes,Gestion,299,444,399,332,167,1.9
Femmes,"Affaires, finance et administration",1503,1268,1089,896,529,6.1
Femmes,Sciences naturelles et appliquÃ©es,1121,846,831,554,311,3.6
Femmes,Secteur de la santÃ©,1235,1930,1865,1295,453,5.2
Femmes,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",912,747,623,546,251,2.9
Femmes,"Arts, culture, sports et loisirs",274,248,165,149,101,1.2
Femmes,Vente et services,430,387,342,260,159,1.8
Femmes,Fabrication et services d'utilitÃ© publique,14,19,12,12,8,0.1
Femmes,Entrepreneurs et investisseurs,254,271,268,219,73,0.8
Femmes,Nouveaux travailleurs,10953,10471,10880,8051,6612,76
Femmes,Travailleurs non classÃ©s ailleurs,38,45,29,47,38,0.4
Hommes,Gestion,595,768,695,640,318,3.7
Hommes,"Affaires, finance et administration",1169,982,929,754,392,4.6
Hommes,Sciences naturelles et appliquÃ©es,2840,2530,2457,1617,966,11.2
Hommes,Secteur de la santÃ©,558,815,698,533,198,2.3
Hommes,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",684,507,551,469,220,2.6
Hommes,"Arts, culture, sports et loisirs",247,251,237,165,138,1.6
Hommes,Vente et services,555,550,480,327,228,2.7
Hommes,Fabrication et services d'utilitÃ© publique,70,93,84,42,20,0.2
Hommes,Entrepreneurs et investisseurs,1044,1033,978,752,260,3
Hommes,Nouveaux travailleurs,8857,9203,9333,6894,5705,66.3
Hommes,Travailleurs non classÃ©s ailleurs,372,429,370,272,154,1.8
