ï»¿sexe,Langue_maternelle,n_2017,n_2018,n_2019,n_2020,n_2021,%_2021
Total,FranÃ§ais,9 090,8 684,7 128,5 795,14 460,28.8
Total,Anglais,1 474,1 604,1 104,829,1 727,3.4
Total,Arabe,10 175,10 600,8 873,5 992,8 869,17.6
Total,Espagnol,3 406,3 514,2 078,1 776,3 974,7.9
Total,Langues crÃ©oles,2 101,1 660,1 316,863,2 668,5.3
Total,Autres chinoises,3 981,4 205,3 119,1 251,2 595,5.2
Total,Portugais,489,531,381,381,1 748,3.5
Total,Langues nigÃ©ro-congolaises,1 140,1 193,1 303,742,1 061,2.1
Total,Persan,970,698,677,314,885,1.8
Total,BerbÃ¨re,979,1 157,1 133,707,873,1.7
Total,Penjabi,1 066,1 262,999,415,734,1.5
Total,Mandarin,1 179,1 225,937,328,521,1
Total,Kirundi,384,342,575,295,441,0.9
Total,Tagalog,1 622,1 642,1 079,438,433,0.9
Total,Dari,860,814,607,201,360,0.7
Total,Russe,1 220,778,411,229,313,0.6
Total,Malayalam,1 503,1 714,1 220,415,207,0.4
Total,Autres langues,10 761,9 500,7 625,4 256,8 384,16.7
Femmes,FranÃ§ais,4 326,4 212,3 403,2 763,6 908,27.3
Femmes,Anglais,649,733,517,383,796,3.1
Femmes,Arabe,4 866,5 162,4 377,3 001,4 175,16.5
Femmes,Espagnol,1 811,1 843,1 122,928,2 151,8.5
Femmes,Autres chinoises,2 093,2 196,1 642,682,1 444,5.7
Femmes,Langues crÃ©oles,1 029,868,670,446,1 392,5.5
Femmes,Portugais,250,292,208,211,890,3.5
Femmes,Langues nigÃ©ro-congolaises,586,608,670,395,592,2.3
Femmes,Persan,501,340,340,171,452,1.8
Femmes,BerbÃ¨re,500,591,557,373,425,1.7
Femmes,Penjabi,528,596,517,182,344,1.4
Femmes,Mandarin,625,624,479,185,286,1.1
Femmes,Vietnamien,213,197,209,168,278,1.1
Femmes,Tagalog,980,973,627,241,249,1
Femmes,Russe,697,471,264,167,219,0.9
Femmes,Dari,428,402,306,106,176,0.7
Femmes,Malayalam,744,853,609,213,101,0.4
Femmes,Autres langues,5 518,4 876,4 063,2 247,4 410,17.4
Hommes,FranÃ§ais,4 764,4 472,3 725,3 032,7 552,30.3
Hommes,Anglais,825,871,587,446,931,3.7
Hommes,Arabe,5 309,5 438,4 496,2 991,4 694,18.8
Hommes,Espagnol,1 595,1 671,956,848,1 823,7.3
Hommes,Langues crÃ©oles,1 072,792,646,417,1 276,5.1
Hommes,Autres chinoises,1 888,2 009,1 477,569,1 151,4.6
Hommes,Portugais,239,239,173,170,858,3.4
Hommes,Langues nigÃ©ro-congolaises,554,585,633,347,469,1.9
Hommes,BerbÃ¨re,479,566,576,334,448,1.8
Hommes,Persan,469,358,337,143,433,1.7
Hommes,Penjabi,538,666,482,233,390,1.6
Hommes,Mandarin,554,601,458,143,235,0.9
Hommes,Kirundi,198,170,273,156,207,0.8
Hommes,Tagalog,642,669,452,197,184,0.7
Hommes,Dari,430,410,300,95,115,0.5
Hommes,Malayalam,759,861,611,202,106,0.4
Hommes,Russe,523,307,147,62,94,0.4
Hommes,Autres langues,5 218,4 601,3 656,1 980,3 999,16
