ï»¿sexe,type_competence_Profession_projetee_CNP,n_2017,n_2018,n_2019,n_2020,  n_2021,  %_2021
Total,Gestion,1 212,1 094,972,486,646,1.7
Total,"Affaires, finance et administration",2 250,2 018,1 650,921,1 586,4.3
Total,Sciences naturelles et appliquÃ©es,3 376,3 288,2 171,1 277,2 482,6.7
Total,Secteur de la santÃ©,2 745,2 563,1 828,651,767,2.1
Total,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",1 254,1 174,1 015,471,726,2
Total,"Arts, culture, sports et loisirs",499,402,314,239,585,1.6
Total,Vente et services,937,822,587,387,1 215,3.3
Total,"MÃ©tiers, transport et machinerie",380,326,239,121,446,1.2
Total,Ressources naturelles et agriculture,46,29,28,6,24,0.1
Total,Fabrication et services d'utilitÃ© publique,112,96,54,28,163,0.4
Total,Entrepreneurs et investisseurs,1 304,1 246,971,334,517,1.4
Total,Nouveaux travailleurs,19 674,20 213,14 945,12 313,27 779,75
Total,Travailleurs non classÃ©s ailleurs,48,44,52,65,116,0.3
Femmes,Gestion,444,399,332,168,227,1.2
Femmes,"Affaires, finance et administration",1 268,1 089,896,529,1 001,5.4
Femmes,Sciences naturelles et appliquÃ©es,846,831,554,311,494,2.7
Femmes,Secteur de la santÃ©,1 930,1 865,1 295,453,548,3
Femmes,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",747,623,546,251,430,2.3
Femmes,"Arts, culture, sports et loisirs",248,165,149,101,214,1.2
Femmes,Vente et services,387,342,260,159,491,2.7
Femmes,"MÃ©tiers, transport et machinerie",17,9,X,X,19,0.1
Femmes,Ressources naturelles et agriculture,13,8,X,X,6,0
Femmes,Fabrication et services d'utilitÃ© publique,19,12,12,8,35,0.2
Femmes,Entrepreneurs et investisseurs,271,268,219,74,125,0.7
Femmes,Nouveaux travailleurs,10 471,10 880,8 051,6 611,14 808,80.2
Femmes,Travailleurs non classÃ©s ailleurs,15,12,23,32,65,0.4
Hommes,Gestion,768,695,640,318,419,2.3
Hommes,"Affaires, finance et administration",982,929,754,392,585,3.1
Hommes,Sciences naturelles et appliquÃ©es,2 530,2 457,1 617,966,1 988,10.7
Hommes,Secteur de la santÃ©,815,698,533,198,219,1.2
Hommes,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",507,551,469,220,296,1.6
Hommes,"Arts, culture, sports et loisirs",251,237,165,138,371,2
Hommes,Vente et services,550,480,327,228,724,3.9
Hommes,"MÃ©tiers, transport et machinerie",363,317,227,117,427,2.3
Hommes,Ressources naturelles et agriculture,33,21,X,X,18,0.1
Hommes,Fabrication et services d'utilitÃ© publique,93,84,X,X,128,0.7
Hommes,Entrepreneurs et investisseurs,1 033,978,752,260,392,2.1
Hommes,Nouveaux travailleurs,9 203,9 333,6 894,5 702,12 971,69.8
Hommes,Travailleurs non classÃ©s ailleurs,33,32,29,33,51,0.3
