NOM DE L'ORGANISME,RÉPARTITION,SERVICE,DIRECTION,NUMÉRO DE DOSSIER,OBJET,NUMÉRO DÉCISION,DATE SIGNATURE,CONTRIBUTION MONÉTAIRE,ÉCART VERSUS VALEUR MARCHANDE DU LOYER,SOUTIEN TECHNIQUE,VALEUR TOTALE
INTÉGRATION JEUNESSE DU QUÉBEC INC.,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1228798001,"ACCORDER DEUX SOUTIENS FINANCIERS À INTÉGRATION JEUNESSE DU QUÉBEC INC., POUR L'ANNÉE 2022, SOIT UN SOUTIEN DE 300 000 $ POUR RÉALISER SON PROJET « CAMPS PÉDAGOGIQUES: VOLET SAUVETEURS DE PISCINE ET VOLET MONITEURS DE CAMP » ET UN DE 50 000 $ POUR SON PRO",CG22 0178,2022-03-28,350000,,,
INTÉGRATION JEUNESSE DU QUÉBEC INC.,100% AGGLO,SERVICE DE LA DIVERSITÉ ET DE L'INCLUSION SOCIALE,DIRECTION,1228798001,"ACCORDER DEUX SOUTIENS FINANCIERS À INTÉGRATION JEUNESSE DU QUÉBEC INC., POUR L'ANNÉE 2022, SOIT UN SOUTIEN DE 300 000 $ POUR RÉALISER SON PROJET « CAMPS PÉDAGOGIQUES: VOLET SAUVETEURS DE PISCINE ET VOLET MONITEURS DE CAMP » ET UN DE 50 000 $ POUR SON PRO",CG22 0178,2022-03-28,50000,,,
REGROUPEMENT DES ÉCO-QUARTIERS,"76,92% AGGLO 23,08% VILLE",SERVICE DE L'ENVIRONNEMENT,DIRECTION DE LA GESTION DES MATIÈRES RÉSIDUELLES,1229089001,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT DE 65 000 $ AU REGROUPEMENT DES ÉCO-QUARTIERS AFIN D'ORGANISER LA 18E ÉDITION DE LA PATROUILLE VERTE, POUR LA PÉRIODE DU 30 MAI AU 19 AOÛT 2022, DANS LE CADRE D'UN FINANCEMENT PROVENANT DU SERVICE DE L'ENVIRONNE",CG22 0177,2022-03-28,65000,,,
ASSOCIATION DE BADMINTON DE LA RÉGION DE MONTRÉAL INC. (ABRM),100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1229271001,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 503 120 $, TAXES INCLUSES, À DIFFÉRENTS ORGANISMES, DANS LE CADRE DU PROGRAMME DE SOUTIEN AUX ASSOCIATIONS SPORTIVES RÉGIONALES / APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CE22 1718,2022-10-21,1000,,,
ASSOCIATION MONTRÉALAISE D’HALTÉROPHILIE ET D’ENTRAÎNEMENT DE LA FORCE SPORTIVE (AMHEFS),100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1229271001,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 503 120 $, TAXES INCLUSES, À DIFFÉRENTS ORGANISMES, DANS LE CADRE DU PROGRAMME DE SOUTIEN AUX ASSOCIATIONS SPORTIVES RÉGIONALES / APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CE22 1718,2022-10-21,1000,,,
ASSOCIATION RÉGIONALE DE RUGBY DE MONTRÉAL (ARRM),100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1229271001,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 503 120 $, TAXES INCLUSES, À DIFFÉRENTS ORGANISMES, DANS LE CADRE DU PROGRAMME DE SOUTIEN AUX ASSOCIATIONS SPORTIVES RÉGIONALES / APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CE22 1718,2022-10-21,1000,,,
ASSOCIATION RÉGIONALE D’ATHLÉTISME DE MONTRÉAL-CONCORDIA (ARAM),100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1229271001,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 503 120 $, TAXES INCLUSES, À DIFFÉRENTS ORGANISMES, DANS LE CADRE DU PROGRAMME DE SOUTIEN AUX ASSOCIATIONS SPORTIVES RÉGIONALES / APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CE22 1718,2022-10-21,3240,,,
ASSOCIATION RÉGIONALE DE TIR À L’ARC DE MONTRÉAL (ARTAM),100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1229271001,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 503 120 $, TAXES INCLUSES, À DIFFÉRENTS ORGANISMES, DANS LE CADRE DU PROGRAMME DE SOUTIEN AUX ASSOCIATIONS SPORTIVES RÉGIONALES / APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CE22 1718,2022-10-21,5550,,,
ASSOCIATION RÉGIONALE DE GYMNASTIQUE MONTRÉAL CONCORDIA (ARGMC),100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1229271001,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 503 120 $, TAXES INCLUSES, À DIFFÉRENTS ORGANISMES, DANS LE CADRE DU PROGRAMME DE SOUTIEN AUX ASSOCIATIONS SPORTIVES RÉGIONALES / APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CE22 1718,2022-10-21,13860,,,
ASSOCIATION DES SPORTS DE BALLE À MONTRÉAL (1991) INC. (ASBM),100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1229271001,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 503 120 $, TAXES INCLUSES, À DIFFÉRENTS ORGANISMES, DANS LE CADRE DU PROGRAMME DE SOUTIEN AUX ASSOCIATIONS SPORTIVES RÉGIONALES / APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CE22 1718,2022-10-21,91500,,,
