NUMEROTATION,TYPE_DE_SOINS,REGION,URGENT,POURC_URGENT,S_URGENT,POURC_S-URGENT,N-URGENT,POURC_N-URGENT,AUTRES,POURC_N-NES,OBSTETRIQUE,POURC_OBSTETRIQUE,POURC_AUTRES,N-NES,G-TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1
1,Soins physiques et psychiatriques de courte durée,01 Bas-Saint-Laurent,15038,66.58,791,3.5,3391,15.01,61,6.71,1790,7.92,0.27,1516,22587,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
2,Soins physiques et psychiatriques de courte durée,02 Saguenay-Lac-Saint-Jean,21633,63.88,758,2.24,6069,17.92,338,7.26,2608,7.7,1,2457,33863,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
3,Soins physiques et psychiatriques de courte durée,03 Capitale-Nationale,51869,57.07,5308,5.84,16746,18.43,843,8.43,8460,9.31,0.93,7660,90886,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
4,Soins physiques et psychiatriques de courte durée,04 Mauricie et Centre-du-Québec,36586,68.17,320,0.6,7371,13.73,83,8.37,4817,8.98,0.15,4490,53667,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
5,Soins physiques et psychiatriques de courte durée,05 Estrie,32288,63.62,1143,2.25,7666,15.11,484,8.68,4764,9.39,0.95,4405,50750,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
6,Soins physiques et psychiatriques de courte durée,06 Montréal,139536,54.35,13233,5.15,43997,17.14,2704,10.58,30098,11.72,1.05,27157,256725,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
7,Soins physiques et psychiatriques de courte durée,07 Outaouais,18801,67.42,410,1.47,3299,11.83,173,8.79,2753,9.87,0.62,2450,27886,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
8,Soins physiques et psychiatriques de courte durée,08 Abitibi-Témiscamingue,10279,63.3,249,1.53,1834,11.29,79,10.71,2059,12.68,0.49,1739,16239,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
9,Soins physiques et psychiatriques de courte durée,09 Côte-Nord,6535,69.64,323,3.44,935,9.96,11,8.14,816,8.7,0.12,764,9384,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
10,Soins physiques et psychiatriques de courte durée,10-17 ET 18,3724,79.34,9,0.19,240,5.11,32,7.14,354,7.54,0.68,335,4694,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
