NUMEROTATION,TYPE_SOINS,REGION,URGENT,POURC_URGENT,S-URGENT,POURC_S-URGENT,N-URGENT,POURC_N-URGENT,T-PARTIEL,POURC_T-PARTIEL,N-NES,POURC_N-NES,OBSTETRIQUE,POURC_OBSTETRIQUE,G-TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01       Bas-Saint-Laurent,13712,79.21,743,4.29,2857,16.50,17312,82.81,1676,8.02,1917,9.17,20905,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
2,Soins physiques et psychiatriques de courte durée,02       Saguenay - Lac-Saint-Jean,19178,72.98,970,3.69,6130,23.33,26278,82.41,2744,8.61,2864,8.98,31886,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
3,Soins physiques et psychiatriques de courte durée,03       Capitale-Nationale,47717,69.13,4678,6.78,16627,24.09,69022,79.02,8715,9.98,9612,11.00,87349,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
4,Soins physiques et psychiatriques de courte durée,04       Mauricie et Centre-du- Québec,32419,80.87,410,1.02,7261,18.11,40090,79.99,4830,9.64,5201,10.38,50121,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
5,Soins physiques et psychiatriques de courte durée,05       Estrie,22739,76.59,1058,3.56,5891,19.84,29688,82.21,3057,8.46,3369,9.33,36114,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
6,Soins physiques et psychiatriques de courte durée,06       Montréal,121208,66.20,16070,8.78,45802,25.02,183080,75.21,28641,11.77,31688,13.02,243409,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
7,Soins physiques et psychiatriques de courte durée,07       Outaouais,16160,82.34,504,2.57,2961,15.09,19625,78.10,2598,10.34,2906,11.56,25129,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
8,Soins physiques et psychiatriques de courte durée,08       Abitibi-Témiscamingue,10672,82.29,114,0.88,2182,16.83,12968,76.62,1852,10.94,2104,12.43,16924,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
9,Soins physiques et psychiatriques de courte durée,09       Côte-Nord,5691,83.69,296,4.35,813,11.96,6800,78.82,882,10.22,945,10.95,8627,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
10,Soins physiques et psychiatriques de courte durée,10_Nord-du-Québec  17_Nunavik 18_Terres-Cries-de-la-Baie-James,3631,93.87,12,0.31,225,5.82,3868,85.22,319,7.03,352,7.76,4539,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
11,Soins physiques et psychiatriques de courte durée,11        Gaspésie - Îles-de-la- Madeleine,6778,78.27,344,3.97,1538,17.76,8660,86.43,629,6.28,731,7.30,10020,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
12,Soins physiques et psychiatriques de courte durée,12        Chaudière-Appalaches,19921,79.37,851,3.39,4326,17.24,25098,79.00,3235,10.18,3436,10.82,31769,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
13,Soins physiques et psychiatriques de courte durée,13        Laval,14368,76.32,1506,8.00,2953,15.68,18827,66.98,4347,15.46,4936,17.56,28110,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
14,Soins physiques et psychiatriques de courte durée,14        Lanaudière,18396,77.68,678,2.86,4609,19.46,23683,73.39,4194,13.00,4394,13.62,32271,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
15,Soins physiques et psychiatriques de courte durée,15        Laurentides,26929,79.24,2140,6.30,4917,14.47,33986,79.33,4276,9.98,4580,10.69,42842,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
16,Soins physiques et psychiatriques de courte durée,16        Montérégie,69724,82.24,3608,4.26,11454,13.51,84786,76.08,12879,11.56,13774,12.36,111439,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
17,Soins physiques et psychiatriques de courte durée,TOTAL : Soins physiques et psychiatriques de courte durée,449243,74.41,33982,5.63,120546,19.97,603771,77.26,84874,10.86,92809,11.88,781454,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
18,Soins en chirurgie d'un jour ,01       Bas-Saint-Laurent,0,0.00,0,0.00,11241,100.00,11241,100.00,0,0.00,0,0.00,11241,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
19,Soins en chirurgie d'un jour ,02       Saguenay - Lac-Saint-Jean,326,1.78,2,0.01,18017,98.21,18345,100.00,0,0.00,0,0.00,18345,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
20,Soins en chirurgie d'un jour ,03       Capitale-Nationale,2191,5.19,789,1.87,39276,92.95,42256,99.77,0,0.00,98,0.23,42354,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
21,Soins en chirurgie d'un jour ,04       Mauricie et Centre-du- Québec,568,2.11,2,0.01,26354,97.88,26924,99.88,0,0.00,32,0.12,26956,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
