NUMEROTATION,TYPE_SOINS,REGION, URGENT , POURC_URGENT , S-URGENT , POURC_S-URGENT , N-URGENT , POURC_N-URGENT , T-PARTIEL , POURC_T-PARTIEL , N-NES , POURC_N-NES , OBSTETRIQUE , POURC_OBSTETRIQUE , G-TOTAL ,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01       Bas-Saint-Laurent,13389,78.38,817,4.78,2876,16.84,17082,81.55,1813,8.66,2052,9.80,20947,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
2,Soins physiques et psychiatriques de courte durée,02       Saguenay - Lac-Saint-Jean,19718,75.18,793,3.02,5715,21.79,26226,82.07,2816,8.81,2915,9.12,31957,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
3,Soins physiques et psychiatriques de courte durée,03       Capitale-Nationale,46569,68.99,4625,6.85,16303,24.15,67497,78.64,8657,10.09,9680,11.28,85834,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
4,Soins physiques et psychiatriques de courte durée,04       Mauricie et Centre-du- Québec,31557,80.41,622,1.58,7064,18.00,39243,79.90,4732,9.63,5138,10.46,49113,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
5,Soins physiques et psychiatriques de courte durée,05       Estrie,22914,77.84,905,3.07,5619,19.09,29438,82.29,3008,8.41,3329,9.31,35775,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
6,Soins physiques et psychiatriques de courte durée,06       Montréal,118813,66.11,13659,7.60,47258,26.29,179730,74.80,28732,11.96,31824,13.24,240286,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
7,Soins physiques et psychiatriques de courte durée,07       Outaouais,15811,82.00,544,2.82,2927,15.18,19282,77.22,2676,10.72,3013,12.07,24971,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
8,Soins physiques et psychiatriques de courte durée,08       Abitibi-Témiscamingue,10216,82.55,149,1.20,2011,16.25,12376,75.37,1901,11.58,2144,13.06,16421,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
9,Soins physiques et psychiatriques de courte durée,09       Côte-Nord,6037,83.64,349,4.84,832,11.53,7218,80.42,855,9.53,902,10.05,8975,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
10,Soins physiques et psychiatriques de courte durée,10_Nord-du-Québec  17_Nunavik 18_Terres-Cries-de-la-Baie-James,3475,93.01,37,0.99,224,6.00,3736,83.65,347,7.77,383,8.58,4466,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
11,Soins physiques et psychiatriques de courte durée,11        Gaspésie - Îles-de-la- Madeleine,6829,79.82,414,4.84,1313,15.35,8556,86.70,606,6.14,706,7.15,9868,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
12,Soins physiques et psychiatriques de courte durée,12        Chaudière-Appalaches,20568,80.41,358,1.40,4652,18.19,25578,79.07,3272,10.11,3500,10.82,32350,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
13,Soins physiques et psychiatriques de courte durée,13        Laval,13356,75.51,1303,7.37,3028,17.12,17687,65.24,4430,16.34,4995,18.42,27112,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
14,Soins physiques et psychiatriques de courte durée,14        Lanaudière,17783,77.55,489,2.13,4658,20.31,22930,73.23,4132,13.20,4250,13.57,31312,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
15,Soins physiques et psychiatriques de courte durée,15        Laurentides,25123,78.61,2005,6.27,4831,15.12,31959,78.40,4243,10.41,4561,11.19,40763,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
16,Soins physiques et psychiatriques de courte durée,16        Montérégie,67518,82.59,3155,3.86,11077,13.55,81750,75.50,12901,11.91,13632,12.59,108283,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
17,Soins physiques et psychiatriques de courte durée,TOTAL : Soins physiques et psychiatriques de courte durée,439676,74.48,30224,5.12,120388,20.39,590288,76.82,85121,11.08,93024,12.11,768433,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
18,Soins en chirurgie d'un jour,01       Bas-Saint-Laurent,0,0.00,0,0.00,11511,100.00,11511,100.00,0,0.00,0,0.00,11511,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
19,Soins en chirurgie d'un jour,02       Saguenay - Lac-Saint-Jean,211,1.22,4,0.02,17097,98.76,17312,100.00,0,0.00,0,0.00,17312,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
20,Soins en chirurgie d'un jour,03       Capitale-Nationale,1390,3.28,242,0.57,40810,96.15,42442,99.82,0,0.00,76,0.18,42518,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
21,Soins en chirurgie d'un jour,04       Mauricie et Centre-du- Québec,492,1.87,10,0.04,25787,98.09,26289,99.78,0,0.00,58,0.22,26347,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
22,Soins en chirurgie d'un jour,05       Estrie,462,3.10,17,0.11,14432,96.79,14911,99.99,0,0.00,1,0.01,14912,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
23,Soins en chirurgie d'un jour,06       Montréal,1459,1.28,4932,4.33,107394,94.38,113785,100.00,0,0.00,4,0.00,113789,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
24,Soins en chirurgie d'un jour,07       Outaouais,954,5.25,305,1.68,16928,93.08,18187,100.00,0,0.00,0,0.00,18187,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
25,Soins en chirurgie d'un jour,08       Abitibi-Témiscamingue,466,5.96,7,0.09,7340,93.95,7813,99.92,0,0.00,6,0.08,7819,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
26,Soins en chirurgie d'un jour,09       Côte-Nord,8,0.19,0,0.00,4218,99.81,4226,99.55,0,0.00,19,0.45,4245,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
27,Soins en chirurgie d'un jour,10_Nord-du-Québec  17_Nunavik 18_Terres-Cries-de-la-Baie-James,1,0.13,0,0.00,773,99.87,774,100.00,0,0.00,0,0.00,774,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
28,Soins en chirurgie d'un jour,11        Gaspésie - Îles-de-la- Madeleine,11,0.32,3,0.09,3442,99.59,3456,100.00,0,0.00,0,0.00,3456,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
29,Soins en chirurgie d'un jour,12        Chaudière-Appalaches,377,1.89,261,1.31,19333,96.81,19971,100.00,0,0.00,0,0.00,19971,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
30,Soins en chirurgie d'un jour,13        Laval,806,7.77,2264,21.83,7302,70.40,10372,99.93,0,0.00,7,0.07,10379,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
31,Soins en chirurgie d'un jour,14        Lanaudière,17,0.13,3,0.02,13347,99.85,13367,99.97,0,0.00,4,0.03,13371,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
