NUMEROTATION,TYPE_SOINS,REGION,URGENT,POURC_URGENT,S-URGENT, POURC_S-URGENT ,N-URGENT, POURC_N-URGENT ,T-PARTIEL, POURC_T-PARTIEL ,N-NES, POURC_N-NES ,OBSTETRIQUE, POURC_OBSTETRIQUE ,G-TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01       Bas-Saint-Laurent,13619,79.16,904,5.25,2681,15.58,17204,80.92,1891,8.89,2166,10.19,21261,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
2,Soins physiques et psychiatriques de courte durée,02       Saguenay - Lac-Saint-Jean,20320,75.74,788,2.94,5720,21.32,26828,82.46,2802,8.61,2904,8.93,32534,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
3,Soins physiques et psychiatriques de courte durée,03       Capitale-Nationale,46131,69.48,4660,7.02,15601,23.50,66392,78.38,8685,10.25,9630,11.37,84707,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
4,Soins physiques et psychiatriques de courte durée,04       Mauricie et Centre-du- Québec,30051,78.64,699,1.83,7461,19.53,38211,79.17,4833,10.01,5221,10.82,48265,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
5,Soins physiques et psychiatriques de courte durée,05       Estrie,22499,77.54,760,2.62,5756,19.84,29015,82.12,3037,8.60,3281,9.29,35333,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
6,Soins physiques et psychiatriques de courte durée,06       Montréal,120024,66.49,13460,7.46,47043,26.06,180527,75.13,28445,11.84,31329,13.04,240301,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
7,Soins physiques et psychiatriques de courte durée,07       Outaouais,14405,81.20,482,2.72,2854,16.09,17741,74.90,2811,11.87,3135,13.24,23687,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
8,Soins physiques et psychiatriques de courte durée,08       Abitibi-Témiscamingue,10506,82.89,78,0.62,2090,16.49,12674,75.03,1970,11.66,2247,13.30,16891,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
9,Soins physiques et psychiatriques de courte durée,09       Côte-Nord,6111,84.23,311,4.29,833,11.48,7255,78.83,933,10.14,1015,11.03,9203,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
10,Soins physiques et psychiatriques de courte durée,10_Nord-du-Québec  17_Nunavik 18_Terres-Cries-de-la-Baie-James,3011,91.41,13,0.39,270,8.20,3294,83.35,321,8.12,337,8.53,3952,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
11,Soins physiques et psychiatriques de courte durée,11        Gaspésie - Îles-de-la- Madeleine,7393,81.51,602,6.64,1075,11.85,9070,87.77,600,5.81,664,6.43,10334,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
12,Soins physiques et psychiatriques de courte durée,12        Chaudière-Appalaches,20754,81.15,431,1.69,4391,17.17,25576,78.96,3304,10.20,3513,10.84,32393,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
13,Soins physiques et psychiatriques de courte durée,13        Laval,13212,73.86,1434,8.02,3241,18.12,17887,64.69,4601,16.64,5164,18.67,27652,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
14,Soins physiques et psychiatriques de courte durée,14        Lanaudière,17898,77.36,594,2.57,4643,20.07,23135,73.94,4007,12.81,4146,13.25,31288,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
15,Soins physiques et psychiatriques de courte durée,15        Laurentides,23401,78.92,1928,6.50,4324,14.58,29653,78.20,3973,10.48,4292,11.32,37918,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
16,Soins physiques et psychiatriques de courte durée,16        Montérégie,68501,83.40,2946,3.59,10684,13.01,82131,75.35,13059,11.98,13814,12.67,109004,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
17,Soins physiques et psychiatriques de courte durée,TOTAL : Soins physiques et psychiatriques de courte durée,437836,74.64,30090,5.13,118667,20.23,586593,76.71,85272,11.15,92858,12.14,764723,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
18,Soins en chirurgie d'un jour,01       Bas-Saint-Laurent,3,0.03,1,0.01,11254,99.96,11258,100.00,0,0.00,0,0.00,11258,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
19,Soins en chirurgie d'un jour,02       Saguenay - Lac-Saint-Jean,211,1.31,6,0.04,15901,98.65,16118,99.99,0,0.00,2,0.01,16120,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
20,Soins en chirurgie d'un jour,03       Capitale-Nationale,1292,3.03,83,0.19,41251,96.77,42626,99.82,0,0.00,75,0.18,42701,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
21,Soins en chirurgie d'un jour,04       Mauricie et Centre-du- Québec,106,0.41,0,0.00,25838,99.59,25944,99.90,0,0.00,26,0.10,25970,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
22,Soins en chirurgie d'un jour,05       Estrie,589,4.19,42,0.30,13443,95.52,14074,99.99,0,0.00,2,0.01,14076,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
23,Soins en chirurgie d'un jour,06       Montréal,1207,1.05,6363,5.53,107501,93.42,115071,99.99,0,0.00,10,0.01,115081,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
24,Soins en chirurgie d'un jour,07       Outaouais,963,5.43,236,1.33,16551,93.25,17750,99.97,0,0.00,5,0.03,17755,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
25,Soins en chirurgie d'un jour,08       Abitibi-Témiscamingue,464,5.81,0,0.00,7517,94.19,7981,99.89,0,0.00,9,0.11,7990,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
26,Soins en chirurgie d'un jour,09       Côte-Nord,52,1.18,2,0.05,4359,98.78,4413,99.80,0,0.00,9,0.20,4422,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
27,Soins en chirurgie d'un jour,10_Nord-du-Québec  17_Nunavik 18_Terres-Cries-de-la-Baie-James,8,1.05,1,0.13,754,98.82,763,100.00,0,0.00,0,0.00,763,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
28,Soins en chirurgie d'un jour,11        Gaspésie - Îles-de-la- Madeleine,12,0.34,2,0.06,3481,99.60,3495,100.00,0,0.00,0,0.00,3495,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
29,Soins en chirurgie d'un jour,12        Chaudière-Appalaches,302,1.54,295,1.50,19068,96.96,19665,99.99,0,0.00,1,0.01,19666,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
30,Soins en chirurgie d'un jour,13        Laval,920,8.61,2104,19.69,7661,71.70,10685,99.98,0,0.00,2,0.02,10687,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
31,Soins en chirurgie d'un jour,14        Lanaudière,40,0.30,4,0.03,13498,99.68,13542,100.00,0,0.00,0,0.00,13542,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
32,Soins en chirurgie d'un jour,15        Laurentides,338,1.52,1638,7.39,20191,91.09,22167,100.00,0,0.00,1,0.00,22168,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
33,Soins en chirurgie d'un jour,16        Montérégie,2627,4.85,4367,8.06,47191,87.09,54185,99.99,0,0.00,3,0.01,54188,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
34,Soins en chirurgie d'un jour,TOTAL : Soins en chirurgie d'un jour,9134,2.41,15144,3.99,355459,93.61,379737,99.96,0,0.00,145,0.04,379882,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
35,Soins post-mortem,03       Capitale-Nationale,27,96.43,1,3.57,0,0.00,28,100.00,0,0.00,0,0.00,28,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
36,Soins post-mortem,06       Montréal,21,36.21,7,12.07,30,51.72,58,100.00,0,0.00,0,0.00,58,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
37,Soins post-mortem,TOTAL : Soins post-mortem,48,55.81,8,9.30,30,34.88,86,100.00,0,0.00,0,0.00,86,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
