NUMEROTATION,TYPE_SOINS,REGION,URGENT,POURC_URGENT,S-URGENT,POURC_S-URGENT,N-URGENT,POURC_N-URGENT,T-PARTIEL,POURC_T-PARTIEL,N-NES,POURC_N-NES,OBSTETRIQUE, POURC_OBSTETRIQUE ,G-TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01       Bas-Saint-Laurent,14668,78.99,895,4.82,3006,16.19,18569,83.65,1679,7.56,1951,8.79,22199,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
2,Soins physiques et psychiatriques de courte durée,02       Saguenay - Lac-Saint-Jean,19789,74.29,957,3.59,5891,22.12,26637,82.96,2684,8.36,2786,8.68,32107,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
3,Soins physiques et psychiatriques de courte durée,03       Capitale-Nationale,49755,70.43,4915,6.96,15979,22.62,70649,79.59,8576,9.66,9545,10.75,88770,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
4,Soins physiques et psychiatriques de courte durée,04       Mauricie et Centre-du- Québec,33570,80.83,416,1.00,7545,18.17,41531,81.46,4551,8.93,4903,9.62,50985,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
5,Soins physiques et psychiatriques de courte durée,05       Estrie,22817,75.76,1049,3.48,6251,20.76,30117,82.76,2973,8.17,3302,9.07,36392,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
6,Soins physiques et psychiatriques de courte durée,06       Montréal,125951,68.01,13066,7.06,46178,24.93,185195,75.68,28109,11.49,31416,12.84,244720,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
7,Soins physiques et psychiatriques de courte durée,07       Outaouais,17154,82.14,410,1.96,3320,15.90,20884,78.78,2650,10.00,2976,11.23,26510,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
8,Soins physiques et psychiatriques de courte durée,08       Abitibi-Témiscamingue,10715,82.98,132,1.02,2066,16.00,12913,76.97,1831,10.91,2032,12.11,16776,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
9,Soins physiques et psychiatriques de courte durée,09       Côte-Nord,6180,84.69,228,3.12,889,12.18,7297,81.01,828,9.19,882,9.79,9007,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
10,Soins physiques et psychiatriques de courte durée,10_Nord-du-Québec  17_Nunavik 18_Terres-Cries-de-la-Baie-James,3816,93.51,14,0.34,251,6.15,4081,85.45,337,7.06,358,7.50,4776,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
11,Soins physiques et psychiatriques de courte durée,11        Gaspésie - Îles-de-la- Madeleine,7110,78.32,480,5.29,1488,16.39,9078,88.72,543,5.31,611,5.97,10232,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
