NUMEROTATION,TYPE_DE_SOINS,REGION,URGENT,POURC_URGENT,S_URGENT,POURC_S-URGENT,N-URGENT,POURC_N-URGENT,OBSTETRIQUE,POURC_OBSTETRIQUE,N-NES,POURC_N-NES,AUTRES,POURC_AUTRES,G-TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1
1,"Soins physiques et psychiatriques de courte durée","01 Bas-Saint-Laurent",13226,65.19,461,2.27,3457,17.04,1625,8.01,1467,7.23,53,0.26,20289,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
2,"Soins physiques et psychiatriques de courte durée","02 Saguenay-Lac-Saint-Jean",19156,65.63,805,2.76,4131,14.15,2479,8.49,2242,7.68,377,1.29,29190,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
3,"Soins physiques et psychiatriques de courte durée","03 Capitale-Nationale",49959,57.33,5722,6.57,14097,16.18,8593,9.86,7676,8.81,1099,1.26,87146,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
4,"Soins physiques et psychiatriques de courte durée","04 Mauricie et Centre-du-Québec",34546,68.51,110,0.22,6524,12.94,4831,9.58,4325,8.58,87,0.17,50423,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
5,"Soins physiques et psychiatriques de courte durée","05 Estrie",29430,63.33,1266,2.72,6387,13.74,4837,10.41,4155,8.94,396,0.85,46471,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
6,"Soins physiques et psychiatriques de courte durée","06 Montréal",125958,55.26,11892,5.22,33367,14.64,28551,12.52,25039,10.98,3149,1.38,227956,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
7,"Soins physiques et psychiatriques de courte durée","07 Outaouais",12687,59.93,311,1.47,2665,12.59,2669,12.61,2392,11.30,445,2.10,21169,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
8,"Soins physiques et psychiatriques de courte durée","08 Abitibi-Témiscamingue",9870,65.23,227,1.50,1464,9.67,1853,12.25,1565,10.34,153,1.01,15132,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
9,"Soins physiques et psychiatriques de courte durée","09 Côte-Nord",6082,69.18,92,1.05,1095,12.45,804,9.14,719,8.18,0,0.00,8792,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
10,"Soins physiques et psychiatriques de courte durée","10-17 ET 18",3480,78.72,10,0.23,70,1.58,420,9.50,306,6.92,135,3.05,4421,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
11,"Soins physiques et psychiatriques de courte durée","11 Gaspésie-Îles-de-la-Madeleine",6203,65.43,151,1.59,1706,17.99,731,7.71,595,6.28,95,1.00,9481,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
12,"Soins physiques et psychiatriques de courte durée","12 Chaudière-Appalaches",19890,62.99,889,2.82,3877,12.28,3502,11.09,3326,10.53,90,0.29,31574,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
13,"Soins physiques et psychiatriques de courte durée","13 Laval",17698,59.41,1632,5.48,2367,7.95,4251,14.27,3844,12.90,0,0.00,29792,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
14,"Soins physiques et psychiatriques de courte durée","14 Lanaudière",22131,58.01,693,1.82,6329,16.59,4784,12.54,4081,10.70,135,0.35,38153,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
15,"Soins physiques et psychiatriques de courte durée","15 Laurentides",28577,65.36,1686,3.86,4620,10.57,4427,10.13,3869,8.85,542,1.24,43721,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
16,"Soins physiques et psychiatriques de courte durée","16 Montérégie",57078,63.14,2512,2.78,7881,8.72,11031,12.20,10170,11.25,1730,1.91,90402,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
17,"Soins physiques et psychiatriques de courte durée","TOTAL",455971,60.46,28459,3.77,100037,13.27,85388,11.32,75771,10.05,8486,1.13,754112,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
18,"Soins en chirurgie d'un jour","01 Bas-Saint-Laurent",41,0.45,56,0.62,8929,98.29,58,0.64,0,0.00,0,0.00,9084,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
19,"Soins en chirurgie d'un jour","02 Saguenay-Lac-Saint-Jean",1086,6.95,153,0.98,14240,91.15,144,0.92,0,0.00,0,0.00,15623,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
20,"Soins en chirurgie d'un jour","03 Capitale-Nationale",679,1.94,500,1.43,33507,95.90,116,0.33,0,0.00,138,0.39,34940,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
21,"Soins en chirurgie d'un jour","04 Mauricie et Centre-du-Québec",1017,4.64,8,0.04,20787,94.80,116,0.53,0,0.00,0,0.00,21928,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
22,"Soins en chirurgie d'un jour","05 Estrie",96,0.39,3,0.01,24376,98.72,213,0.86,0,0.00,3,0.01,24691,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
23,"Soins en chirurgie d'un jour","06 Montréal",2190,2.04,5706,5.31,99041,92.24,438,0.41,0,0.00,2,0.00,107377,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
24,"Soins en chirurgie d'un jour","07 Outaouais",288,1.87,445,2.89,14509,94.20,117,0.76,0,0.00,43,0.28,15402,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
25,"Soins en chirurgie d'un jour","08 Abitibi-Témiscamingue",525,7.00,23,0.31,6811,90.76,145,1.93,0,0.00,0,0.00,7504,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
26,"Soins en chirurgie d'un jour","09 Côte-Nord",106,2.50,88,2.08,4041,95.40,1,0.02,0,0.00,0,0.00,4236,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
27,"Soins en chirurgie d'un jour","10-17 ET 18",4,0.46,0,0.00,836,96.20,29,3.34,0,0.00,0,0.00,869,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
28,"Soins en chirurgie d'un jour","11 Gaspésie-Îles-de-la-Madeleine",8,0.19,3,0.07,4150,99.38,15,0.36,0,0.00,0,0.00,4176,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
29,"Soins en chirurgie d'un jour","12 Chaudière-Appalaches",388,2.05,890,4.71,17467,92.34,171,0.90,0,0.00,0,0.00,18916,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
30,"Soins en chirurgie d'un jour","13 Laval",48,0.43,2719,24.49,8288,74.65,38,0.34,0,0.00,9,0.08,11102,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
31,"Soins en chirurgie d'un jour","14 Lanaudière",297,2.23,120,0.90,12715,95.28,213,1.60,0,0.00,0,0.00,13345,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
32,"Soins en chirurgie d'un jour","15 Laurentides",1247,5.99,1973,9.47,17528,84.13,87,0.42,0,0.00,0,0.00,20835,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
33,"Soins en chirurgie d'un jour","16 Montérégie",4428,9.85,4755,10.58,35387,78.74,372,0.83,0,0.00,0,0.00,44942,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
34,"Soins en chirurgie d'un jour","TOTAL",12448,3.51,17442,4.91,322612,90.88,2273,0.64,0,0.00,195,0.05,354970,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
35,"Soins post-mortem","02 Saguenay-Lac-Saint-Jean",9,90.00,0,0.00,1,10.00,0,0.00,0,0.00,0,0.00,10,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
36,"Soins post-mortem","03 Capitale-Nationale",23,100.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,23,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
37,"Soins post-mortem","06 Montréal",72,87.80,5,6.10,5,6.10,0,0.00,0,0.00,0,0.00,82,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
38,"Soins post-mortem","TOTAL",104,90.43,5,4.35,6,5.22,0,0.00,0,0.00,0,0.00,115,"Titre du rapport « S10  Répartition des départs selon le type d'admission par région et traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Le type d'admission « Autres » comprend l'admission pour protection, l'admission pour évaluation et l'admission judiciaire."
