NUMEROTATION,TYPE_SOINS,REGION,URGENT,POURC_URGENT,S-URGENT,POURC_S-URGENT,N-URGENT,POURC_N-URGENT,T-PARTIEL,POURC_T-PARTIEL,N-NES,POURC_N-NES,OBSTETRIQUE, POURC_OBSTETRIQUE ,G-TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01       Bas-Saint-Laurent,14753,79.82,833,4.51,2896,15.67,18482,84.25,1640,7.48,1814,8.27,21936,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
2,Soins physiques et psychiatriques de courte durée,02       Saguenay - Lac-Saint-Jean,20382,75.44,877,3.25,5758,21.31,27017,83.69,2577,7.98,2687,8.32,32281,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
3,Soins physiques et psychiatriques de courte durée,03       Capitale-Nationale,50396,70.06,5070,7.05,16465,22.89,71931,81.06,7976,8.99,8834,9.95,88741,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
4,Soins physiques et psychiatriques de courte durée,04       Mauricie et Centre-du- Québec,34680,80.73,367,0.85,7912,18.42,42959,81.85,4617,8.80,4907,9.35,52483,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
5,Soins physiques et psychiatriques de courte durée,05       Estrie,31243,77.63,1210,3.01,7792,19.36,40245,81.02,4522,9.10,4903,9.87,49670,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
6,Soins physiques et psychiatriques de courte durée,06       Montréal,128607,68.30,12966,6.89,46719,24.81,188292,76.61,27189,11.06,30284,12.32,245765,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
7,Soins physiques et psychiatriques de courte durée,07       Outaouais,17518,82.10,445,2.09,3374,15.81,21337,79.22,2634,9.78,2963,11.00,26934,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
8,Soins physiques et psychiatriques de courte durée,08       Abitibi-Témiscamingue,10398,83.17,150,1.20,1954,15.63,12502,76.36,1851,11.31,2019,12.33,16372,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
9,Soins physiques et psychiatriques de courte durée,09       Côte-Nord,6202,80.31,397,5.14,1124,14.55,7723,82.64,777,8.31,845,9.04,9345,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
10,Soins physiques et psychiatriques de courte durée,10_Nord-du-Québec  17_Nunavik 18_Terres-Cries-de-la-Baie-James,4134,93.57,9,0.20,275,6.22,4418,86.51,331,6.48,358,7.01,5107,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
