Numero_projet_temporaire,Titre,Descriptif,Verdict,Arrondissements_services_analyse_favorable,Principale_raison_non_faisabilite,Projet_approuve_conseils_arrondissements,Theme_associe,Titre_bulletin_vote
1,Parcs à vélo sécurisés (ou vélostations),"Installation d'abris multifonctionnels pour vélos combinant stationnement, branchement électrique, outils de réparation et points de détente et de rafraîchissement pour cyclistes.",Faisable,"Ahunstic-Cartierville
L'Île-Bizard-Sainte-Geneviève 
Mercier-Hochelaga-Maisonneuve
Outremont",n/a,oui,Mobilité durable et active,1 - Vélostations de proximité
2,Carrousel à vélos sécurisé,Installation de carrousels automatisés de grand volume dans des lieux générants un grand nombre de déplacements pour permettre le stationnement sécuritaire des vélos  ,Faisable - joint au projet 1,Côte-des-Neiges-Notre-Dame-de-Grâce,n/a,oui,Mobilité durable et active,1 - Vélostations de proximité
3,Parcours verts locaux pour favoriser la marche,Piétonisation partielle de rues pour permettre l'aménagement de corridors de marche qui relieront des parcs locaux ou des lieux fréquentés du quartier. ,Faisable,"Ahuntsic-Cartierville
Outremont",n/a,oui,Mobilité durable et active,3 - Chemins verts et locaux
4,Places publiques santé - parcours méditatifs,"Aménagement, au sein d’espaces verts existants, de stations adaptées à la pratique d’activités méditatives, contemplatives et thérapeutiques (exemples : yoga, méditation pleine conscience ou observation de la faune et la flore).",Faisable,"Ahuntsic-Cartierville 
Outremont",n/a,oui,Milieux de vie inclusifs,26 - Au fil de ma contemplation
5,Parcours riverain Gouin,"Mise en oeuvre de plusieurs interventions pour verdir un parcours reliant 5 arrondissements le long de la rivière des Prairies et destiné, à terme, à devenir un axe structurant de mobilité active et de plein air pour toute la portion nord de l'île de Montréal.",Faisable,"Ahuntsic-Cartierville
Île-Bizard-Sainte-Geneviève
Montréal-Nord
Pierrefonds-Roxboro
Rivière-des-Prairies–Pointe-aux-Trembles",n/a,oui,Mobilité durable et active,6 - Parcours riverain Gouin
6,Quartiers connectés (Passages d'ÂME),"Création de 3 sentiers multifonctionnels pour relier les quartiers Mercier-Est et Anjou, incluant la plantation d'arbres et l'installation d'éclairage public et de mobilier urbain. Axes envisagés :",Faisable,"Anjou 
Mercier-Hochelaga-Maisonneuve",n/a,oui,Mobilité durable et active,5 - Quartiers connectés
7,Le sentier de la carrière ,"Création d'une promenade urbaine dans l'ancienne carrière Francon du quartier Saint-Michel, reliant les parcs Georges-Vernot et Sainte-Lucie, intégrant une tour d'observation et l'installation d'un parcours d'art urbain avec scénographie lumineuse.",Non faisable ,n/a,"Projet estimé au-delà de la valeur maximale de 3 M$ et qui présente des limites fonctionnelles et réglementaires pour la Ville, entre autres en lien avec la sécurité du lieu. ",n/a,n/a,n/a
8,Accélérer le développement du transport actif à Saint-Léonard,Amélioration du réseau cycliste et piéton de Saint-Léonard dans le but de promouvoir les déplacements actifs sécuritaires pour les résidents de tous âges.,Non faisable,n/a,Projet qui implique des délais de mise en oeuvre estimés supérieurs aux 2 ans suivant le dévoilement des projets lauréats.,n/a,n/a,n/a
9,Trame verte et bleue de l'Est,"Liaison des milieux naturels du bassin versant du ruisseau Molson (de la Grande-Prairie) dans le but d'y créer un corridor écologique, un corridor de randonnée, de sensibilisation, de relaxation et d’apprentissage. ",Non faisable,n/a,Projet estimé au-delà de la valeur maximale de 3 M$ et qui implique des délais de mise en oeuvre estimés supérieurs aux 2 ans suivant le dévoilement des projets lauréats.,n/a,n/a,n/a
10,Circuit rafraîchissant à Montréal-Nord,"Aménagement d'un corridor vert pour piétons et cyclistes à Montréal-Nord, entre le Parc-nature du ruisseau de Montigny et le parc Aimé-Léonard (en passant par la rue d'Amos), doté d'aires de repos, de stations vélos et d'abris pour oiseaux et insectes favorisant la biodiversité.",Faisable,Montréal-Nord,n/a,oui,Mobilité durable et active,4 - Circuit rafraîchissant à Montréal-Nord
11,Verdissement de rues,"Implantation de nouveaux espaces verdis sur des rues fortement minéralisées qui deviendront des pôles de nature dans la ville grâce à différentes interventions (exemples : saillies de trottoirs, bandes végétalisées, fosses d'arbres élargies ou végétalisation de terre-plein).",Faisable,"Ahuntsic-Cartierville 
Ville-Marie 
Outremont ",n/a,oui,Verdissement et biodiversité,9 - Verdissement de rues
