Rang,Titre,Descriptif,Benefices_attendus,Budget_inscrit,Lieux,Nombre_votes,Pourcentage_vote
1,12 - Les mini-forêts de Montréal,"Création de 7 mini-forêts protégées et aménagées dans des parcs locaux ou des espaces municipaux sous-utilisés afin d’augmenter la canopée en ville et d'offrir une expérience contemplative à la population.
","- Ajouter plus de 1200 m2 de forêts à Montréal.
- Offrir des îlots de biodiversité pour la survie d'espèces végétales et animales.
- Offrir à la population des lieux de ressourcement et de déconnexion.",1 400 000 $,"Montréal-Nord, Outremont, Pierrefonds-Roxboro, Rosemont–La Petite-Patrie, Verdun",8553,"42,7%"
2,25 - De l’eau dans ta gourde!,Ajout de plus de 125 fontaines d’eau et de dispositifs permettant le remplissage de bouteilles réutilisables dans des lieux fortement achalandés et actuellement mal desservis.,"- Offrir un meilleur accès à l’eau potable dans les lieux publics.
- Réduire la consommation des bouteilles d’eau en plastique à usage unique.",2 700 000 $,"Côte-des-Neiges-Notre-Dame-de-Grâce, L’Île-Bizard-Saint-Geneviève, Mercier-Hochelaga-Maisonneuve, Outremont, Saint-Léonard, Ville-Marie",4868,"24,3%"
3,34 - Mobilier festif inclusif et sécuritaire,"Bonification de l’offre d’équipements municipaux accessibles universellement et disponibles pour l’organisation de petits évènements sur le domaine public (exemples : rampes inclinées amovibles, système d'aide à l'audition sur scène, tapis en caillebotis adaptés aux personnes à mobilité réduite, etc.).","- Rendre inclusifs les événements de quartier.
- Rendre disponible aux organisateurs d'événements du mobilier universellement accessible.",650 000 $,Tous les arrondissements,4633,"23,1%"
4,28 - Le Jardin Éthel ,"Transformation du dernier étage du stationnement Éthel à Verdun pour en faire une place publique dédiée à l’agriculture urbaine, au verdissement, à l’art et la culture, tout en offrant une vue spectaculaire sur Montréal.","- Promouvoir la vie urbaine solidaire, saine et locale.
- Se réapproprier un espace public vacant tout en atténuant un îlot de chaleur.",755 000 $,Verdun,4161,"20,8%"
5,22 - Notre serre 4 saisons à Saint-Michel,"Construction d’une serre, doublée d’un jardin extérieur, permettant de produire tout au long de l’année des fruits et légumes frais sans pesticides, d’accueillir des groupes d’élèves et de citoyen-nes et de distribuer à prix abordable les récoltes dans le quartier.","- Améliorer l’offre de nourriture saine dans Saint-Michel.
- Contribuer à l'autonomie et à la sécurité alimentaire locale.
- Sensibiliser la population à l’agriculture urbaine et aux enjeux environnementaux.",765 000 $,Villeray-Saint-Michel-Parc-Extension,3782,"18,9%"
6,14 - Corridor écologique du grand Sud-Ouest ,"Création de connexions entre d’importants noyaux de biodiversité déjà existants par la mise en valeur de ruelles vertes et l'implantation de nouveaux îlots de plantation d'arbres, d'arbustes et de jardins pollinisateurs.","- Créer un réseau d’écocorridors reliant les différents réservoirs de biodiversité existants.
- Offrir des conditions favorables au déplacement et à la survie d’insectes et d’oiseaux en milieu urbain.
- Bonifier l’accès de la population à la nature en ville.",2 700 000 $,"LaSalle, Le Sud-Ouest",3727,"18,6%"
7,33 - Quai34,"Réaménagement d’un quai et verdissement d'espaces minéralisés en bordure du fleuve Saint-Laurent pour en faire un espace sécuritaire, accueillant et propice à la socialisation et à la pratique d’activités variées comme l’observation ou la pêche.","- Réduire les îlots de chaleur et donner plus de place à la nature.
- Transformer un quai de stationnement en un lieu vert qui permet l’écoulement naturel des eaux de pluie.
- Offrir un nouveau lieu de détente accessible aux personnes qui habitent ou qui visitent le secteur.","Prévu : 3 000 000$
Octroyé : 1 000 000$",Lachine,3718,"18,6%"
8,16 - Zones nourricières écologiques ,"Mise en place, sur le domaine public, d’espaces compacts pour la culture d’arbres et de végétaux comestibles et nectarifères (exemples : jardins floraux pollinisateurs, champignonnières, vergers), selon une approche de permaculture privilégiant des plantes indigènes.","- Offrir des alternatives écologiques et nourricières à la pelouse.
- Offrir des lieux de détente, de libre cueillette et d'accès à la nature à la population montréalaise.",2 900 000 $,"Ahuntsic-Cartierville, LaSalle, Outremont, Saint-Laurent ",3685,"18,4%"
9,10 - Les jardins verticaux de la fraîcheur,"Mise en place d’un programme de végétalisation des murs extérieurs pour des bâtiments de la Ville. Combinant plantes et art mural, ce projet fera naître des jardins verticaux à la fois beaux, rafraîchissants et nourrissants!","- Profiter de toutes les surfaces disponibles pour verdir la ville.
- Ajouter de la beauté dans le paysage urbain.
- Faire de Montréal une ville pionnière en murs végétalisés.
",1 700 000 $,"Arrondissements volontaires (pour arénas et autres centres sportifs avec gymnase), Outremont, Ville-Marie",3624,"18,1%"
10,6 - Parcours riverain Gouin,"Mise en œuvre de plusieurs interventions pour verdir un parcours reliant 5 arrondissements le long de la rivière des Prairies et destiné, à terme, à devenir un axe structurant de mobilité active et de plein air pour toute la portion nord de l’île de Montréal.","- Favoriser la biodiversité et la qualité de vie de la population.
- Permettre la découverte, la protection et l'appropriation de la rivière des Prairies.
- Développer une connectivité et une signature végétale tout au long du parcours.",3 000 000 $,"Ahuntsic-Cartierville, Île-Bizard-Sainte-Geneviève, Montréal-Nord, Pierrefonds-Roxboro, Rivière-des-Prairies–Pointe-aux-Trembles",3605,"18,0%"
11,8 - Capteurs de pluie ,"Aménagement de saillies de trottoir végétalisées aux intersections de rues, de fosses de plantation au milieu de boulevards et de nouveaux espaces permettant le drainage écologique des eaux de pluie.","- Mieux résister aux changements climatiques.
- Verdir le domaine public.
- Diminuer les risques d'inondation.",2 900 000 $,"Le Sud-Ouest, Rosemont–La Petite-Patrie, Saint-Léonard",3433,"17,2%"
12,9 - Verdissement de rues ,"Implantation de nouveaux espaces verdis sur des rues fortement minéralisées qui deviendront des pôles de nature dans la ville grâce à différentes interventions (exemples : saillies de trottoirs, bandes végétalisées, fosses d’arbres élargies ou végétalisation de terre-plein).","- Embellir la ville.
- Réduire les îlots de chaleur et améliorer la qualité de l’air.
- Offrir des lieux de repos et de détente pour la population locale.",1 800 000 $,"Ahuntsic-Cartierville, Ville-Marie, Outremont",3058,"15,3%"
13,20 - Réaménageons les serres de Verdun,"Réaménagement extérieur et rénovation du bâtiment des serres municipales de Verdun avec l’ajout de mobiliers et d’équipements destinés à améliorer l’expérience de jardinage et l’accueil de groupes (exemples : bouches d'arrosage, outils de menuiserie, fontaines, tables de pique-nique, bancs, compostière, bacs de plantation, etc.).","- Optimiser le lieu et ses aménagements.
- Maximiser la production agricole du site.
- Consolider l’importance montréalaise de ce pôle d’expertise en éducation, en sensibilisation et en partage de pratiques en agriculture urbaine.",3 000 000 $,Verdun,2996,"15,0%"
14,15 - Vent de fraîcheur sur les stationnements,"Transformation de 5 stationnements municipaux en îlots de fraîcheur grâce à plusieurs interventions : désasphaltage, plantation d’arbres, création de pergolas végétalisées, mise en place de systèmes écologiques d’irrigation et de drainage.","- Donner plus de place à la nature et moins au béton.
- Diminuer la chaleur ambiante des quartiers avoisinants.
- Réduire les besoin en climatisation des véhicules.
- Diminuer la surcharge des égouts.",3 000 000 $,"Rosemont-La-Petite-Patrie, LaSalle, Le Plateau-Mont-Royal, Outremont ",2989,"14,9%"
15,17 - Des jardins renouvelés pour Montréal,"Bonification du réseau des jardins communautaires et collectifs de Montréal grâce à la mise aux normes et à la rénovation des jardins existants (exemples : points d’eau, chalets, irrigation, etc.) ou à la création de nouvelles surfaces cultivables en terre ou en bacs.","- Favoriser la production locale de fruits et légumes frais.
- Contribuer à l'autonomie alimentaire.
- Multiplier les occasions de jardiner en communauté.",2 900 000 $,"Ahuntsic-Cartierville, L’Île-Bizard-Sainte-Geneviève, Le Sud-Ouest, Outremont, Saint-Léonard, Ville-Marie",2953,"14,8%"
16,1 - Vélostations de proximité,"Installation d’abris multifonctionnels pour vélos combinant stationnement, branchement électrique, outils de réparation et points de détente et de rafraîchissement pour cyclistes.","- Pouvoir garer son vélo en toute sécurité et à l’abri des intempéries.
- Offrir des points de services pour cyclistes près des stations de métro, train, autobus, institutions d’enseignement, axes cyclables, etc.
- Favoriser la mobilité active et multimodale.",2 600 000 $,"Ahuntsic-Cartierville, Côte-des-Neiges–Notre-Dame-de-Grâce, Île-Bizard-Sainte-Geneviève, Mercier-Hochelaga-Maisonneuve, Outremont",2754,"13,8%"
17,5 - Des quartiers connectés ,"Création de 3 sentiers multifonctionnels pour relier les quartiers Mercier-Est et Anjou, incluant la plantation d’arbres et l'installation d'éclairage public et de mobilier urbain. Axes envisagés : de l’intersection Fonteneau/St-Donat à la rue Honoré-Beaugrand; au parc du Mail; entre le rond-point de la rue Paul-Pau et la Place Chaumont.","- Désenclaver et verdir les secteurs concernés.
- Favoriser l’utilisation de modes de transports actifs.
- Faciliter l’accès et les déplacements vers des lieux fréquentés (exemples : écoles, arénas, stations de métro, pôles commerciaux, etc.).",1 500 000 $,"Anjou, Mercier-Hochelaga-Maisonneuve",2420,"12,1%"
18,2 - Jardins d’éducation cycliste ,Installation de 4 parcs d'éducation cycliste offrant aux enfants et aux adolescents un endroit protégé et ludique où ils peuvent développer leurs compétences à vélo et apprendre les bases des comportements sécuritaires sur la route.,"- Permettre l’apprentissage sécuritaire du vélo dès le plus jeune âge.
- Développer des habitudes de vie physiquement active.
- Offrir des installations adaptées aux besoins des enfants, des adolescents et de leurs parents accompagnateurs.",2 300 000 $,"Ahuntsic-Cartierville, Côte-des-Neiges–Notre-Dame-de-Grâce, Montréal-Nord, Villeray–Saint-Michel–Parc-Extension",2208,"11,0%"
19,21 - Cuisinons ensemble! ,"Aménagement, dans les quartiers Saint-Michel et Parc-Extension, de deux cuisines collectives de grande capacité, équipées pour cuisiner, transformer, conserver, et entreposer une quantité importante d’aliments, et optimiser la gestion des matières résiduelles grâce à un système de tri et de récupération.
","- Accroître la résilience alimentaire.
- Réduire le gaspillage alimentaire.
- Favoriser la transformation alimentaire en communauté.",1 900 000 $,Villeray-Saint-Michel-Parc-Extension,2206,"11,0%"
20,24 - Répare-moi ,Création d’un lieu équipé d’outils variés mis à la disposition de la population afin que chacun et chacune puisse effectuer des réparations mineures d’objets.,"- Réduire le gaspillage, la surconsommation et la production de déchets.
- Prolonger la durée de vie utile d’objets à usage domestique.
- Offrir des occasions de rencontre.",500 000 $,Outremont,1840,"9,2%"
21,4 - Circuit rafraîchissant à Montréal-Nord,"Aménagement d'un corridor vert pour piétons et cyclistes à Montréal-Nord, entre le Parc-nature du ruisseau de Montigny et le parc Aimé-Léonard (en passant par la rue d'Amos), doté d'aires de repos, de stations vélos et d'abris pour oiseaux et insectes favorisant la biodiversité.","- Rendre les espaces verts de Montréal-Nord plus accessibles à la population.
- Favoriser les déplacements actifs et sécuritaires.
- Réduire les îlots de chaleur.
",1 000 000 $,Montréal-Nord,1785,"8,9%"
22,13 - Coup d’oeil sur la rivière,Installation de nouveaux équipements pour valoriser les multiples points de vue sur la rivière des Prairies à Montréal-Nord et pour permettre son observation durant les quatre saisons.,"- Bonifier l’accès à la rivière des Prairies.
- Offrir une nouvelle expérience de plein air dans le quartier.
- Sensibiliser la population à l'importance des berges dans l'écosystème local (biodiversité, rivière, importance des espaces verts, etc.).",650 000 $,Montréal-Nord,1733,"8,7%"
23,27 - Apprendre et travailler ensemble en plein air,"Création de plusieurs haltes extérieures d’apprentissage et de travail connectées au WiFi public et dotées d’aménagements modulables capables d’accueillir divers types d’activités (exemples : conférences, cotravail, rencontres intergénérationnelles, ateliers de participation citoyenne, etc.).","- Dynamiser la vie de quartier.
- Offrir des lieux de socialisation, d’étude et de travail en plein air, accessibles à toutes et tous.",1 600 000 $,"Côte-des-Neiges-Notre-Dame-de-Grâce, Outremont, Ville-Marie",1664,"8,3%"
24,11 - La nature en ville dans Peter-McGill  ,"Création d’espaces de rencontres et de verdure dans des secteurs très minéralisés du centre-ville grâce à l’ajout de bancs, de tables, d’arbres, de végétaux, de mini-vergers et de bacs d'agriculture urbaine.","- Contrer les îlots de chaleur.
- Lutter contre l'insécurité alimentaire.
- Améliorer la biodiversité et la qualité de l’air.",3 000 000 $,Ville-Marie,1589,"7,9%"
25,3 - Chemins verts et locaux,Piétonnisation partielle de rues pour permettre l'aménagement de corridors de marche qui relieront des parcs locaux ou des lieux fréquentés du quartier.,"- Favoriser les déplacements actifs et sécuritaires.
- Réduire les îlots de chaleur.
- Améliorer la qualité de l’air et la santé de la population.",3 000 000 $,"Ahuntsic-Cartierville, Outremont",1497,"7,5%"
26,26 - Au fil de ma contemplation ,"Aménagement, au sein d’espaces verts existants, de stations adaptées à la pratique d’activités méditatives, contemplatives et thérapeutiques (exemples : yoga, méditation pleine conscience ou observation de la faune et la flore).","- Réduire le stress et l’anxiété en milieu urbain.
- Rapprocher les citoyennes et les citoyens de la nature.",1 300 000 $,"Ahuntsic-Cartierville, Mercier-Hochelaga-Maisonneuve",1444,"7,2%"
27,19 - Une nouvelle serre pour la communauté de Rivière-des-Prairies–Pointe-aux-Trembles,"Construction d'une serre agricole multifonctionnelle écoresponsable connectée au milieu communautaire, aux banques alimentaires et aux marchés publics du secteur.","- Créer un lieu de production maraîchère de proximité utile à de nombreux acteurs du quartier.
- Lutter contre l’insécurité alimentaire et augmenter l’accès de la population à des fruits et légumes, frais et abordables.",2 000 000 $,Rivière-des-Prairies–Pointe-aux-Trembles,1145,"5,7%"
28,30 - L'espace Meilleur,"Valorisation d’un espace urbain vacant, situé à l'extrémité de la Place Meilleur dans le secteur Fleury-Ouest, en y ajoutant des aménagements qui favorisent les rencontres citoyennes (exemples : placottoirs, bacs d'agriculture urbaine, aire de jeux, etc.).","- Tisser des liens dans la communauté et développer la convivialité et la résilience du voisinage.
- Verdir et aménager un milieu de vie.
",1 300 000 $,Ahuntsic-Cartierville,1104,"5,5%"
29,7 - Un espace résilient pour Mercier-Ouest ,Création d'une place publique verdie dotée d’infrastructures innovantes qui permettront de capter et réutiliser un maximum d’eau de pluie à des fins ludiques et rafraîchissantes dans un secteur propice aux inondations.,"- Favoriser la gestion naturelle du ruissellement des eaux de pluie.
- Protéger la biodiversité et la qualité de l'environnement.
- Créer de nouveaux espaces de fraîcheur dans le secteur.",2 600 000 $,Mercier–Hochelaga-Maisonneuve,1043,"5,2%"
30,31 - Réapproprions-nous le Square Dézéry,"Création d’un espace intergénérationnel et accessible universellement, en rénovant le parc Dézéry et en ajoutant diverses installations pour bonifier l’offre d’activités (exemples : bancs, tables de pique-nique, modules de jeux, etc.).","- Dynamiser le quartier.
- Favoriser la cohésion et la mixité sociale.
- Offrir un lieu vert, ludique et solidaire.",3 000 000 $,Mercier–Hochelaga-Maisonneuve,884,"4,4%"
31,35 - La Maison de la famille et de la nature d’Outremont,"Rénovation, aménagement et équipement d’un bâtiment municipal afin de créer un lieu de rencontre et de partage destiné aux parents et à leurs enfants qui souhaitent s’initier à la transition écologique et sociale (exemples : initiation à l’agriculture urbaine, à la récupération alimentaire, à l’art public, etc.).","- Aménager un lieu inclusif pour accompagner et sensibiliser les jeunes citoyens engagés et curieux.
- Favoriser les rencontres intergénérationnelles autour des questions environnementales et sociales.",3 000 000 $,Outremont,752,"3,8%"
32,18 - Des jardins pour la rue Millen,"Transformation de la moitié Est de la rue Millen, entre Sauriol et Sauvé, en un parc linéaire et en jardins cultivables, pour la population locale, et ce, sans affecter la circulation.","- Favoriser l’agriculture urbaine de proximité et verdir le secteur.
- Accroître la sécurité des piétons et des cyclistes.",2 500 000 $,Ahuntsic-Cartierville,694,"3,5%"
33,23 - Jardinons dans Milton-Parc ,"Aménagement de 4 saillies de trottoir, sur la rue Prince-Arthur au coin de l'avenue du Parc, en zone d’agriculture urbaine accessible à la population et dotée de bacs de plantation avec branchement pour l'arrosage.","- Contribuer à l'appropriation locale du milieu, à l'inclusion sociale et à l'éducation environnementale.
- Favoriser la production et la consommation locales de fruits et de légumes.",620 000 $,Le Plateau-Mont-Royal,503,"2,5%"
34,29 - Un mini-parc pour Saint-Léonard,"Création d’un espace citoyen sous la forme d’un mini-parc sur la rue Jarry, au coin de la rue Madère, comprenant des aménagements inclusifs et écologiques (jardins collectifs, espaces pour aînés, jeux d'hébertisme pour enfants et piano urbain).","- Créer de nouvelles possibilités pour se rassembler, apprendre et jouer.
- Favoriser les rencontres interculturelles et intergénérationnelles.
- Augmenter l’attrait du secteur.",500 000 $,Saint-Léonard,428,"2,1%"
35,32 - Des ruelles blanches pour Outremont,"Installation d’aménagements dédiés aux activités hivernales dans les ruelles pour tous les âges (exemples : patinoires, buttes, glissoires, jeux, bancs chauffants, petits abris).","- Renforcer le sentiment de communauté et d'appartenance en période hivernale.
- Valoriser l'appropriation citoyenne des ruelles dans le secteur.",500 000 $,Outremont,419,"2,1%"
