NOM DE L'ORGANISME,RÉPARTITION,SERVICE,DIRECTION,NUMÉRO DE DOSSIER,OBJET,NUMÉRO DÉCISION,DATE SIGNATURE,CONTRIBUTION MONÉTAIRE,ÉCART VERSUS VALEUR MARCHANDE DU LOYER,SOUTIEN TECHIQUE,VALEUR TOTALE
ATELIER GRAFF INC.,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,1549
ATELIERS X13,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,937
CERCLE D'EXPRESSION ARTISTIQUE NYATA NYATA/THE NYATA NYATA CIRCLE OF ARTISTIC EXPRESSION,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,3773
CONSTANTINOPLE,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,579
FESTIVAL INTERNATIONAL DU FILM SUR L'ART (FIFA),100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,2984
LES PRODUCTIONS NUITS D'AFRIQUE INC.,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,1680
STUDIO XX,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,1269
THEATRE DE QUAT'SOUS,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,219
ASSOCIATION QUEBECOISE DES ETUDIANTS AYANT DES INCAPACITES AU POST-SECONDAIRE (AQEIPS),100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,574
CENTRE DE LECTURE ET D'ECRITURE (CLE MONTREAL),100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121361004,"AUTORISER UN TROISIÈME VERSEMENT, POUR L'ANNÉE 2012, DE DIVERS MONTANTS D'AIDE FINANCIÈRE TOTALISANT 254 672 $, À MÊME LE BUDGET DE FONCTIONNEMENT, À DES ORGANISMES À BUT NON LUCRATIF (OBNL) LOCATAIRES DANS DES IMMEUBLES NON RÉSIDENTIELS IMPOSABLES, ŒUVRANT DANS LES DOMAINES DE L'ART ET DE LA CULTURE, DU DÉVELOPPEMENT SOCIAL ET COMMUNAUTAIRE OU DU SPORT ET DES LOISIRS",CE12 1429,2012-09-05,,,,716
