Gentile_no;Toponyme;Type_entite;Gentile;Prononciation;Variante;Commentaire;bibliographie;Toponyme_red
1;Abercorn;Municipalité de village;Abercornien, Abercornienne (1986*);;;;;ABERCORN
2;Abitibi;MRC;Abitibien, Abitibienne (1986*);;;;;Abitibi
3;Abitibi ;Région;"Abitibien, Abitibienne (vers 1920); Abitibian (1983) (forme anglaise)";;"Variante (s) : Abbitibbe (XIXe s.); Abbitibbien (1922); Abitibibeux (XIXe s.); Outabitibeux (1673); 8 [ou] tabitibeux (vers 1671).";Commentaire : La totalité des variantes ont trait au groupe amérindien innu des Abitibis qui ont donné leur nom à la région qu'ils fréquentaient. Deux publications comportent ce gentilé sous forme adjectivale, soit Les Échos abitibiens, hebdomadaire fondé vers 1920 et L'Écho abitibien qui a pris la relève et qui paraît encore présentement. À noter la mise sur pied toute récente d'une association qui regroupe les anciens résidents de la région abitibienne désormais installés en Outaouais, ceux-ci étant identifiés comme des Abitaouais.;;Abitibi 
4;Abitibi-Témiscamingue;Région administrative;Témiscabitibien, Témiscabitibienne (1985);;Variante (s) : Abitibi-Témiscamien.;"Commentaire : La création récente de ce gentilé témoigne d'un souci marqué pour fusionner en une seule dénomination les composantes de ce régionyme et, partant, refléter ainsi une volonté d'appartenance davantage sentie. La formation du dérivé procède de la technique de l'emboîtement verbal, sorte de mot-valise dont on télescope les éléments constituants en tout ou en partie; ici on a également eu recours à l'inversion. Voir : Abitibi (Région) et Témiscamingue (Région).";;AbitibiTémiscamingue
6;Acton Vale;Ville;Valois, Valoise (1980*);;Actonvalois.;;Bibliographie : R., L. (1986), « Actonois plutôt qu'Actoniens? », dans La Tribune, Sherbrooke, 19 avril, p. A9.;ActonVale
5;Acton ;MRC;Actonnien, Actonnienne (1986*);;Variante (s) : Actonien.;;;Acton 
7;Adstock;Municipalité;Adstockois, Adstockoise (2006*);;;;;Adstock
8;Aguanish;Municipalité;Aguanishois, Aguanishoise (1986*);[A-GWA-NI-CHOI/CHOIZ];;;;Aguanish
9;Ahuntsic;Quartier (de la ville de Montréal);Ahuntsicois, Ahuntsicoise (1980);;;Commentaire : Dénomination très fréquente qui souligne la fierté de la population locale d'être identifiée à son quartier résidentiel.;;Ahunstsic
10;Akulivik;Municipalité de village nordique;Akulivimmiuq (1986) (forme inuite);[A-KOU-LI-VI-MI-YOUK] ;;"Commentaire : Les modalités de formation des gentilés en langue inuktitut consistent généralement à adjoindre au nom de lieu concerné le suffixe -miuq (variante -miok) au singulier, la forme plurielle étant -miut, avec les consonnes de passage requises. À cet égard, les spécialistes diffèrent fréquemment d'opinion quant au redoublement ou non de la consonne de passage; nous enregistrons toutefois toutes les formes attestées par écrit, telles qu'orthographiées et retenons pour gentilé figurant en entrée celle autour de laquelle semble se dégager le consensus le plus large.";;Akulivik
11;Akwesasne;Réserve indienne;Akwesashronon (1986) (forme mohawk);[A-KWA-SAS-LOUN];;Commentaire : Cette information nous a aimablement été communiquée par monsieur Françoys M. Boyer de Huntingdon. En mohawk, selon ses indications, il n'existe ni forme masculine, ni forme féminine à l'exception de la forme plurielle.;;Akwesasne
12;Albanel;Municipalité;Albanélois, Albanéloise (1985*);;;;;Albanel
13;Albertville;Municipalité;Albertvillois, Albertvilloise (1986*);;;Commentaire : La municipalité de la paroisse de Saint-Raphaël-d'Albertville est devenue la municipalité d'Albertville, le 16 août 1997.;;Albertville
14;Alma;Ville;Almatois, Almatoise (1978*);;Variante (s) : Almatien.;Commentaire : C'est à bon escient que l'on a écarté la variante, car celle-ci suscitait des jeux de mots peu flatteurs. Par ailleurs, Almatois peut être relevé à des centaines d'exemplaires, ce qui dénote son adoption pleine et entière de la part des citoyens d'Alma.;;Alma
15;Amos;Ville;Amossois, Amossoise (1978*);;Variante (s) : Amossien (1970).;;Bibliographie : ANONYME (1980), « Saviez-vous que... », dans La francisation en marche en AbitibiTémiscamingue, Noranda, Office de la langue française, novembre, p. 2.;Amos
16;Amqui;Ville;Amquien, Amquienne (1977);;Variante (s) : Amquois.;;Bibliographie : BOUDREAULT-LAMBERT, Sylvie (1986), « Amquien-Amquiais? », dans L'Avant-Poste Gaspésien, Amqui, 16 avril.;Amqui
