CODE,NOM,DESI_ABR,POP
04030,La Martre,M,210
07105,Saint-Damase,P,355
21015,Saint-Louis-de-Gonzague-du-Cap-Tourmente,P,2
23015,Notre-Dame-des-Anges,P,311
39020,Saint-Rémi-de-Tingwick,M,451
84025,Bryson,M,690
84050,Alleyn-et-Cawood,M,176
NR020,Le Rocher-Percé,TR,0
NR060,Avignon,TR,0
NR981,Minganie,TR,0
NR982,Le Golfe-du-Saint-Laurent,TR,0
R2102,Régie intermunicipale du transport adapté de la Vallée du Richelieu,RgI,
R4135,Régie des services de sécurité incendies regroupés de la MRC de Maskinongé,RgI,
R5227,Régie des équipements en loisir de l'Île-Perrot,RgI,
