ï»¿OBJECTID,NUMERO_SCENARIO,LABEL,DIAMETER,START_NODE,STOP_NODE,LENGTH__SCALED_,MATERIAL,ANNEEINSTALLATION,CLASSIFICATIONFONCTIONNELLE,TYPEEGOUT,SECTION_TYPE,RISE,SPAN,PROPRIETAIRE
4247447,1,EP-30180,450,125-1164,125-1168,121,Beton arme,2009,Locale,Pluviale de rue,Circle,0,0,Ville
4247448,1,EP-30179,1050,126-123,E-627,99.1,Beton arme,2009,Emissaire,Pluviale total,Circle,0,0,Ville
4247449,1,EP-30178,750,126-115,126-118,82.3,Beton arme,2009,Locale,Pluviale de rue,Circle,0,0,Ville
4247450,1,EP-30177,1050,126-118,126-123,60.5,Beton arme,2009,Locale,Pluviale de rue,Circle,0,0,Ville
4247451,1,EP-30176,600,125-1171,125-1168,54.8,Beton arme,2009,Locale,Pluviale de rue,Circle,0,0,Ville
4247452,1,EP-30175,750,125-1168,126-115,47.3,Beton arme,2009,Locale,Pluviale de rue,Circle,0,0,Ville
4247453,1,EP-30173,900,126-121,126-118,10.6,Beton arme,2009,Locale,Pluviale de rue,Circle,0,0,Ville
4247454,1,EP-30171,200,125-1167,126-117,130.2,Chlorure de polyvinyle,2009,Locale,Pluviale-domestique,Circle,0,0,Ville
4247455,1,EP-30170,150,125-1166,125-1167,113.8,Chlorure de polyvinyle,2009,Locale,Pluviale-domestique,Circle,0,0,Ville
4247456,1,EP-30169,200,126-125,126-117,60.8,Chlorure de polyvinyle,2009,Locale,Pluviale-domestique,Circle,0,0,Ville
4247457,1,EP-30168,150,125-1170,125-1167,54.1,Chlorure de polyvinyle,2009,Locale,Pluviale-domestique,Circle,0,0,Ville
4247458,1,EP-30167,150,125-1162,125-1166,53.9,Chlorure de polyvinyle,2009,Locale,Pluviale-domestique,Circle,0,0,Ville
4247459,1,EP-30166,250,126-117,126-122,46.5,Chlorure de polyvinyle,2009,Locale,Pluviale-domestique,Circle,0,0,Ville
4247460,1,EP-30165,150,125-1161,125-1162,35.2,Chlorure de polyvinyle,2009,Locale,Pluviale-domestique,Circle,0,0,Ville
4247461,1,ES-34672,250,132-416,132-414,100.4,Chlorure de polyvinyle,2016,Locale,Sanitaire,Circle,0,0,Ville
4247462,1,EP-30163,250,126-122,PosPom-043,9.5,Chlorure de polyvinyle,2009,Locale,Pluviale-domestique,Circle,0,0,Ville
4247464,1,ES-35275,300,B-1445,124-056,3.9,Beton arme,1950,Locale,Combinee,Circle,0,0,Ville
4247465,1,ES-33974,150,403-484,403-483,2.7,Chlorure de polyvinyle,2013,Locale,Sanitaire,Circle,0,0,Ville
4247469,1,ES-36481,300,N-2021,120-402A,3.1,Gres,1920,Locale,Combinee,Circle,0,0,Ville
4247470,1,ES-30162,250,137-048,137-047,110.6,Chlorure de polyvinyle,2004,Locale,Sanitaire,Circle,0,0,Ville
4247471,1,ES-30161,250,137-049,137-048,102.3,Chlorure de polyvinyle,2004,Locale,Sanitaire,Circle,0,0,Ville
4247472,1,ES-30160,250,137-047,137-046,91.5,Chlorure de polyvinyle,2004,Locale,Sanitaire,Circle,0,0,Ville
4247473,1,ES-30159,250,137-050,137-049,87.8,Chlorure de polyvinyle,2004,Locale,Sanitaire,Circle,0,0,Ville
4247474,1,ES-30158,250,137-046,137-020,11.8,Chlorure de polyvinyle,2005,Locale,Sanitaire,Circle,0,0,Ville
