ï»¿uuid,nom_institution_fr,nom_institution_en,telephone_fr,telephone_en,telephone_sansfrais,siteweb_fr,siteweb_en,adresse_municipale_fr,adresse_municipale_en,ville_fr,ville_en,region_fr,region_en,codepostal,courriel,longitude,latitude,lien_programmation_fr,lien_programmation_en,lien_activites_educatives_fr,lien_activites_educatives_en,champ_dinteret_fr,champ_dinteret_en,accessibilite_fr,accessibilite_en
f69fc2f9b155caa422001d8dfe5c00e9,AmÃ©nagement Robert-Bourassa,Robert-Bourassa Generating Facility and Hydro-QuÃ©bec's Interpretation Center,819 638-8486,819 638-8486,1 800 291-8486,www.hydroquebec.com/visitez/baie-james/bourassa.html,http://www.hydroquebec.com/visit/baie-james/bourassa.html,"Complexe Pierre-Esprit Radisson, 66, avenue des Groseillers","Complexe Pierre-Esprit Radisson, 66, avenue des Groseillers",Radisson,Radisson,Eeyou Istchee | Baie-James,Eeyou Istchee | Baie-James,J0Y 2X0,hamel.eric@hydro.qc.ca,-77.440068,53.795208,http://www.hydroquebec.com/visitez/baie-james/bourassa.html,,,,Environnement;Histoire;Sciences,Environment;History;Science,AccÃ¨s partiel,Partial access
1e50c44ac7955f13881978df6f388e0e,Aquarium du QuÃ©bec,Aquarium du QuÃ©bec,418 659-5264,418 659-5264,1 866 659-5264,www.sepaq.com/ct/paq/,www.sepaq.com/ct/paq/,"1675, avenue des HÃ´tels",1675 avenue des HÃ´tels,QuÃ©bec,Quebec City,RÃ©gion de QuÃ©bec,QuÃ©bec,G1W 4S3,aquarium@sepaq.com,-71.290951,46.751633,http://www.sepaq.com/ct/paq/,http://www.sepaq.com/ct/paq/,https://www.sepaq.com/ct/paq/index.dot?language_id=2#sub-tab-scolaire,https://www.sepaq.com/ct/paq/index.dot?language_id=1#sub-tab-scolaire,Collections vivantes,Living collections,AccÃ¨s partiel,Partial access
d2963e77ee88db8cb651e6602af1793a,Art-image et espace OdyssÃ©e,Art-image et espace OdyssÃ©e,819 243-2325,819 243-2325,,www.art-image.ca,,"855, boulevard de la Gappe",855 boulevard de la Gappe,Gatineau,Gatineau,Outaouais,Outaouais,J8T 8H9,artimage@gatineau.ca,-75.681968,45.484587,http://www.gatineau.ca/artimage/expositions/a-venir/index.html,http://www.gatineau.ca/artimage/expositions/a-venir/index.html,http://www.gatineau.ca/artimage/programmation-scolaire/index.html,http://www.gatineau.ca/artimage/programmation-scolaire/index.html,Art,Art,,
d072758544f2800421f711d112dd80b8,ASTER - Organisme d'interprÃ©tation scientifique,Aster - Organisme d'interprÃ©tation scientifique,418 854-2172,418 845-2172,1 877 775-2172,https://www.asterbsl.ca/fr/,http://www.asterbsl.ca/en/home-aster,"170, chemin Jacques-Pelletier",170 chemin Jacques-Pelletier,Saint-Louis-du-Ha! Ha!,Saint-Louis-du-Ha! Ha!,Bas-Saint-Laurent,Bas-Saint-Laurent,G0L 3S0,direction@bellnet.ca,-69.034508,47.655753,http://www.asterbsl.ca/fr/activites-observatoire/2-non-categorise/53-exposition-permanente,http://www.asterbsl.ca/en/museum-and-astronomy/permanent-exhibition,http://www.asterbsl.ca/fr/,http://www.asterbsl.ca/en/,Sciences;Technologies,Science;Technology,,
952e9b8b746b3f02fd970e43dc1e4568,ASTROLab,ASTROLab,819 888-2941,819 888-2941,1 866 888-2941,https://www.astrolab.qc.ca/,https://www.astrolab.qc.ca/en/,"189, route du Parc",189 route du Parc,Notre-Dame-des-Bois,Notre-Dame-des-Bois,Cantons-de-l'Est,Eastern Townships,J0B 2E0,astrolab@astrolab.qc.ca,-71.125944,45.423259,http://astrolab-parc-national-mont-megantic.org/fr/activites.visites_astrolab_jour.htm,http://astrolab-parc-national-mont-megantic.org/en/activities.htm,http://astrolab-parc-national-mont-megantic.org/fr/groupes.htm,http://astrolab-parc-national-mont-megantic.org/en/groups.htm,Environnement;Sciences,Environment;Science,AccÃ¨s partiel,Partial access
f25cd8d7d2f304e62dd3e310a2dd0b25,Aux Trois Couvents,Centre d'interprÃ©tation de la CÃ´te-de-BeauprÃ©,418 824-3677,418 824-3677,1 877 824-3677,https://auxtroiscouvents.org/,https://auxtroiscouvents.org/english/,"7976, avenue Royale",7976 avenue Royale,ChÃ¢teau-Richer,ChÃ¢teau-Richer,RÃ©gion de QuÃ©bec,QuÃ©bec,G0A 1N0,info@auxtroiscouvents.org,-71.018425,46.968954,http://auxtroiscouvents.org/programmation-culturelle/,http://auxtroiscouvents.org/cultural-programming-eng/,http://auxtroiscouvents.org/groupes-scolaires/,http://auxtroiscouvents.org/school-groups/,ArchÃ©ologie;Histoire,Archaeology;History,,
3f356eb7f903b63e498eb0d742a00bc6,Barrage Daniel-Johnson et centrale Manic-5,Daniel-Johnson Dam and Manic-5 Generating Station,866 526-2642,866 526-2642,1 866 526-2642,www.hydroquebec.com/visitez/cote_nord/manic-5.html,http://www.hydroquebec.com/visit/cote_nord/manic-5.html,KilomÃ¨tre 214 de la route 389 Nord,"Kilometre 214, Highway 389 N.",RiviÃ¨re-aux-Outardes,RiviÃ¨re-aux-Outardes,CÃ´te-Nord,CÃ´te-Nord,G4Z 3B1,hqp_visites_guidees_manicouagan@hydro.qc.ca,-68.730147,50.64513,,,,,Histoire;Technologies,History;Technology,AccÃ¨s partiel,Partial access
ba5c0577ecb47e35102684c4da4e9236,BiodÃ´me | Espace pour la vie,BiodÃ´me | MontrÃ©al Space for Life,514 868-3000,514 868-3000,1 855 518-4506,https://espacepourlavie.ca/biodome,http://espacepourlavie.ca/en/biodome,"4777, avenue Pierre-De Coubertin",4777 avenue Pierre-De Coubertin,MontrÃ©al,Montreal,MontrÃ©al,MontrÃ©al,H1V 1B3,,-73.54971,45.559602,https://espacepourlavie.ca/quoi-faire-au-biodome-de-montreal,https://espacepourlavie.ca/en/what-do-montreal-biodome,http://espacepourlavie.ca/activites-educatives,http://espacepourlavie.ca/en/educational-activities,Collections vivantes;Environnement;Sciences,Living collections;Environment;Science,AccÃ¨s total;DÃ©ficience auditive,Full access;Hearing impairments
ffd691fc98ef720ca0c20f0e4754e30a,Bioparc de la GaspÃ©sie,Bioparc de la GaspÃ©sie,418 534-1997,418 534-1997,1 866 534-1997,https://www.bioparc.ca/,https://bioparc.ca/en/,"123, rue des Vieux-Ponts",123 rue des Vieux-Ponts,Bonaventure,Bonaventure,GaspÃ©sie,GaspÃ©sie,G0C 1E0,info@bioparc.ca,-65.466843,48.040963,https://bioparc.ca/a-faire/,https://bioparc.ca/en/things-to-do/,http://bioparc.ca/education/,http:// bioparc.ca/en/education/,Collections vivantes;Environnement;Sciences,Living collections;Environment;Science,AccÃ¨s partiel,Partial access
68b83592827381baed3ccf8213597435,Biophare,Biophare,450 780-5740,450 780-5740,1 877 780-5740,www.biophare.com/,,"6, rue Saint-Pierre",6 rue Saint-Pierre,Sorel-Tracy,Sorel-Tracy,MontÃ©rÃ©gie,MontÃ©rÃ©gie,J3P 3S2,info@biophare.com,-73.106553,46.047449,http://www.biophare.com/pages/exposition.html,http://www.biophare.com/pages/exposition.html,http://www.biophare.com/pages/groupe.html,http://www.biophare.com/pages/groupe.html,Collections vivantes;Environnement;Histoire,Living collections;Environment;History,AccÃ¨s partiel,Partial access
