point_echantillonnage,plan_eau,administration,nom,descrip_longue,programme,sous_prog,station_nom,date_heure,raison_annulation,temperature,conductivite,pH,signe,coliformes_fecaux,prec_0_mm,prec_1_mm,prec_2_mm,prec_tot_60h,meteo,tournee,latitude,longitude,x,y
"BLAP-02","Bassin de Laprairie","Le Sud-Ouest","Canal de Lachine (H2O adventures)","Canal de Lachine, inters. rue d'Argenson et rue St-Patrick","Q","Q","BLAP-02   Canal de Lachine (H2O adventures)",2024-06-04T09:01:09,,"         21.6",218,8.1,"=",8,0,0,1.7,1.7,-2,4,"45.4790222960599","-73.5739640483429",299017.5452,5037680.0622
"LSL-0.5","Lac Saint-Louis","Lachine","Port de plaisance de Lachine","port de plaisance de Lachine, rampe de mise à l'eau, ch. des Iroquois","Q","Q","LSL-0.5   Port de plaisance de Lachine",2024-06-04T09:53:57,,"         22.3",204,8.4,"=",86,0,0,1.7,1.7,-2,4,"45.4291699380414","-73.6739695048603",291187.204,5032152.0541
"LSL-1","Lac Saint-Louis","Lachine","Parc Monk","parc Monk, inters. boul. Saint-Joseph et la 7e av.","Q","Q","LSL-1   Parc Monk",2024-06-04T10:07:12,,"         23.1",219,8.3,"=",74,0,0,1.7,1.7,-2,4,"45.4309144200054","-73.6712490870357",291400.4845,5032345.4599
"LSL-11","Lac Saint-Louis","Beaconsfield","Parc St-James","parc Saint-James, inters. Ch. Lakeshore et av. Kirkwood","Q","Q","LSL-11   Parc St-James",2024-06-04T12:19:11,,"         22.5",225,8.8,"=",8,1,0,1.7,2.7,0,4,"45.4290026730771","-73.8427568704778",277979.8233,5032175.8928
"LSL-14","Lac Saint-Louis","Beaconsfield","Parc Lakeview ","parc Lakeview, inters. rue Lakeshore et boul. Lakeview","Q","Q","LSL-14   Parc Lakeview ",2024-06-04T13:33:08,,"         24.7",111.3,8.8,"=",120,1,0,1.7,2.7,0,4,"45.4148837516146","-73.8895038272654",274314.3517,5030623.5247
"LSL-17","Lac Saint-Louis","Baie d'Urfé","Parc Bertold","parc Bertold, inters. rue Lakeshore et rue Churchill","Q","Q","LSL-17   Parc Bertold",2024-06-04T13:50:45,,"         24.8",104.7,8,"=",20,1,0,1.7,2.7,0,4,"45.4035305295152","-73.924248074914",271588.3399,5029375.6105
"LSL-19","Lac Saint-Louis","Sainte-Anne-de-Bellevue","Parc Kelso","parc Kelso, inters. rue Sainte-Anne et rue Perrault","Q","Q","LSL-19   Parc Kelso",2024-06-04T14:09:44,,"         21.8",102.2,7.8,"=",18,1.2,0,1.7,2.9,0,4,"45.4022502581518","-73.9460300021975",269882.3843,5029242.5574
"LSL-20","Lac Saint-Louis","Sainte-Anne-de-Bellevue","Écluse de Sainte-Anne","écluse de Sainte-Anne, rue Sainte-Anne, à l'est du pont Galipeault (aut. 20)","Q","Q","LSL-20   Écluse de Sainte-Anne",2024-06-04T14:17:42,,"         23.3",108.3,8,"=",16,1.2,0,1.7,2.9,0,4,"45.4040640665963","-73.954474000356",269222.4816,5029447.8222
"LSL-21","Lac Saint-Louis","Sainte-Anne-de-Bellevue","Parc Godin","parc Godin, extrémité de la rue Grier","Q","Q","LSL-21   Parc Godin",2024-06-04T14:25:19,,"         25.3",190.8,8.2,"=",200,1.2,0,1.7,2.9,0,4,"45.4076323134425","-73.9569430438561",269031.4499,5029845.451
"LSL-4.3","Lac Saint-Louis","Dorval","Parc du Millénaire","parc du Millénaire, cercle Keiller, à l'est de l'av. Sévigny","Q","Q","LSL-4.3   Parc du Millénaire",2024-06-04T10:55:17,,"         20.7",292,8.2,"=",18,0,0,1.7,1.7,-2,4,"45.4384468372963","-73.7232630704361",287332.9348,5033192.513
"LSL-4.5","Lac Saint-Louis","Dorval","Pointe Picard","pointe Picard, extrémité de l'av. St-Charles","Q","Q","LSL-4.5   Pointe Picard",2024-06-04T11:03:52,,"         21.3",235,8.4,"=",18,1,0,1.7,2.7,0,4,"45.4369620072601","-73.727909601146",286968.9442,5033028.5248
"LSL-6.5","Lac Saint-Louis","Dorval","Parc Pine Beach","parc Pine Beach (amont), inters. ch. du Bord-du-Lac et av. St-Louis","Q","Q","LSL-6.5   Parc Pine Beach",2024-06-04T11:25:08,,"         22.7",229,8.9,"=",5,1,0,1.7,2.7,0,4,"45.4396869459855","-73.7630810645854",284218.2111,5033339.7455
