groupe,poste,DESCRIPTION
CP,PRC0110,Endettement total net a long terme par RFU
CP,PRC0210,Service de la dette / (Charges nettes sans l'amortissement + remboursement de la dette a long terme + variation du fonds d'amortissement)
CP,PRC0310,Charges nettes par RFU
CP,PRC2110,Valeur comptable nette / Cout des immobilisations
CP,PRC2510,Excedent (deficit) de fonctionnement accumule / Revenus de fonctionnement
CP,PRC2710,Taxes de fonctionnement / Revenus de fonctionnement
CP,PRC2810,Compensations tenant lieu de taxes / Revenus de fonctionnement
CP,PRC2910,Transferts de fonctionnement / Revenus de fonctionnement
CP,PRC3010,Endettement total net a long terme par unite d'evaluation
CP,PRC3110,Charges nettes par unite d'evaluation
CP,PRC3210,Taxes par unite d'evaluation imposable
CP,PRC3510,Taxes de fonctionnement sur la valeur fonciere / Revenus de fonctionnement
CP,PRC3610,Taxes de fonctionnement sur une autre base / Revenus de fonctionnement
CP,PRC3710,Autres revenus de fonctionnement / Revenus de fonctionnement
CP,PRC3810,Acquisition d'immobilisations / Cout des immobilisations
CP,PRC3910,Dette a long terme / Actifs
CP,PRC4010,T.G.T. uniformise
CP,PRC4210,Charge fiscale moyenne des logements
CP,PRC4310,Charges nettes par logement et local
CP,PRC4410,Taxes par logement et local
CP,PRC4510,Endettement total net a long terme par logement et local
MAR,PRC0120,Endettement total net a long terme par RFU
MAR,PRC0220,Service de la dette / (Charges nettes sans l'amortissement + remboursement de la dette a long terme + variation du fonds d'amortissement)
MAR,PRC0320,Charges nettes par RFU
MAR,PRC2120,Valeur comptable nette / Cout des immobilisations
MAR,PRC2520,Excedent (deficit) de fonctionnement accumule / Revenus de fonctionnement
MAR,PRC2720,Taxes de fonctionnement / Revenus de fonctionnement
MAR,PRC2820,Compensations tenant lieu de taxes / Revenus de fonctionnement
MAR,PRC2920,Transferts de fonctionnement / Revenus de fonctionnement
MAR,PRC3020,Endettement total net a long terme par unite d'evaluation
MAR,PRC3120,Charges nettes par unite d'evaluation
MAR,PRC3220,Taxes par unite d'evaluation imposable
MAR,PRC3520,Taxes de fonctionnement sur la valeur fonciere / Revenus de fonctionnement
MAR,PRC3620,Taxes de fonctionnement sur une autre base / Revenus de fonctionnement
MAR,PRC3720,Autres revenus de fonctionnement / Revenus de fonctionnement
MAR,PRC3820,Acquisition d'immobilisations / Cout des immobilisations
MAR,PRC3920,Dette a long terme / Actifs
MAR,PRC4020,T.G.T. uniformise
MAR,PRC4220,Charge fiscale moyenne des logements
MAR,PRC4320,Charges nettes par logement et local
MAR,PRC4420,Taxes par logement et local
MAR,PRC4520,Endettement total net a long terme par logement et local
MUNICI,IND0201,Indice d'effort fiscal
MUNICI,IND0401,Indice charges nettes par RFU
MUNICI,POSTE_1443,Endettement total net a long terme (compte tenu de la quote-part dans l'agglomeration s'il y a lieu), Page S25 Ligne 25
MUNICI,POSTE_3047,Dette a long terme (note 13), Page S8 Ligne 13
MUNICI,POSTE_3163,Taxes, Page S7 Ligne 1
MUNICI,POSTE_3171,Revenus, Page S7 Ligne 13
MUNICI,POSTE_3181,Charges, Page S7 Ligne 24
MUNICI,POSTE_4669,Endettement total net a long terme, Page S25 Ligne 21
MUNICI,POSTE_5428,Services rendus aux organismes municipaux, Page S27 Ligne 182
MUNICI,POSTE_6805,Total, Page S48 Ligne 6
MUNICI,POSTE_6825,Excedent (deficit) de fonctionnement de l'exercice a des fins fiscales, Page S48 Ligne 33
MUNICI,POSTE_6827,Total net, Page S48 Ligne 15
MUNICI,POSTE_6833,Remboursement de la dette a l.t., Page S48 Ligne 23
MUNICI,POSTE_8958,Endettement total net a long terme, Page S25 Ligne 21
MUNICI,POSTE_8978,Endettement total net a long terme, Page S25 Ligne 21
MUNICI,POSTE_9615,Total des taxes, Page S27 Ligne 27
MUNICI,POSTE_9641,Total, Page S27 Ligne 52
MUNICI,PRC0100,Endettement total net à long terme par RFU (municipalités standards et reconstituées, centrales : partie locale dont l'agglomération taxe)
MUNICI,PRC0101,Endettement total net à long terme par RFU (municipalités liées dont l'agglomération taxe)
MUNICI,PRC0102,Endettement total net à long terme par RFU (agglomérations qui taxent)
MUNICI,PRC0200,Service de la dette / (Charges nettes sans l'amortissement + remboursement de la dette a long terme + variation fonds d'amortissement) (municipalites standards, reconstituees, partie globale munipalites centrales)
MUNICI,PRC0300,Charges nettes par RFU (municipalités standards et reconstituées, centrales : parties locale et agglomération dont l'agglomération taxe)
MUNICI,PRC0301,Charges nettes par RFU (municipalités liées dont l'agglomération taxe)
MUNICI,PRC2100,Valeur comptable nette / Cout des immobilisations
MUNICI,PRC2500,Excedent (deficit) de fonctionnement accumule / Revenus de fonctionnement
MUNICI,PRC2700,Taxes de fonctionnement / Revenus de fonctionnement
MUNICI,PRC2800,Compensations tenant lieu de taxes / Revenus de fonctionnement
