GROUPE,POSTE,DESCRIPTION
MUNICI,IND0102,Indice RFU par unité d'évaluation imposable et compensable
CP,PFRAT0111,RFU par unité d'évaluation imposable et compensable
MAR,PFRAT0121,RFU par unité d'évaluation imposable et compensable
PROV,PFRAT0151,RFU par unité d'évaluation imposable et compensable
RAD,PFRAT0171,RFU par unité d'évaluation imposable et compensable
MUNICI,PRC1400,Évaluation imposable uniformisée résidentielle / Évaluation uniformisée des immeubles imposables
MUNICI,PRC1401,Évaluation imposable uniformisée résidentielle / Évaluation uniformisée des immeubles imposables - agglomération
CP,PRC1410,Évaluation imposable uniformisée résidentielle / Évaluation uniformisée des immeubles imposables
MAR,PRC1420,Évaluation imposable uniformisée résidentielle / Évaluation uniformisée des immeubles imposables
PROV,PRC1450,Évaluation imposable uniformisée résidentielle / Évaluation uniformisée des immeubles imposables
RAD,PRC1470,Évaluation imposable uniformisée résidentielle / Évaluation uniformisée des immeubles imposables
MUNICI,PRC1500,Évaluation imposable uniformisée industrielle et commerciale / Évaluation uniformisée des immeubles imposables
MUNICI,PRC1501,Évaluation imposable uniformisée industrielle et commerciale / Évaluation uniformisée des immeubles imposables - agglomération
CP,PRC1510,Évaluation imposable uniformisée industrielle et commerciale / Évaluation uniformisée des immeubles imposables
MAR,PRC1520,Évaluation imposable uniformisée industrielle et commerciale / Évaluation uniformisée des immeubles imposables
PROV,PRC1550,Évaluation imposable uniformisée industrielle et commerciale / Évaluation uniformisée des immeubles imposables
RAD,PRC1570,Évaluation imposable uniformisée industrielle et commerciale / Évaluation uniformisée des immeubles imposables
MUNICI,PRC1600,Évaluation imposable uniformisée agricole / Évaluation uniformisée des immeubles imposables
MUNICI,PRC1601,Évaluation imposable uniformisée agricole / Évaluation uniformisée des immeubles imposables - agglomération
CP,PRC1610,Évaluation imposable uniformisée agricole / Évaluation uniformisée des immeubles imposables
MAR,PRC1620,Évaluation imposable uniformisée agricole / Évaluation uniformisée des immeubles imposables
PROV,PRC1650,Évaluation imposable uniformisée agricole / Évaluation uniformisée des immeubles imposables
RAD,PRC1670,Évaluation imposable uniformisée agricole / Évaluation uniformisée des immeubles imposables
MUNICI,PRC2000,Évaluation moyenne uniformisée par logement
CP,PRC2010,Évaluation moyenne uniformisée par logement
MAR,PRC2020,Évaluation moyenne uniformisée par logement
PROV,PRC2050,Évaluation moyenne uniformisée par logement
RAD,PRC2070,Évaluation moyenne uniformisée par logement
MUNICI,PRC2200,Évaluation imposable uniformisée autre / Évaluation uniformisée des immeubles imposables
MUNICI,PRC2201,Évaluation imposable uniformisée autre / Évaluation uniformisée des immeubles imposables - agglomération
CP,PRC2210,Évaluation imposable uniformisée autre / Évaluation uniformisée des immeubles imposables
MAR,PRC2220,Évaluation imposable uniformisée autre / Évaluation uniformisée des immeubles imposables
PROV,PRC2250,Évaluation imposable uniformisée autre / Évaluation uniformisée des immeubles imposables
RAD,PRC2270,Évaluation imposable uniformisée autre / Évaluation uniformisée des immeubles imposables
MUNICI,PRC2300,Évaluation moyenne uniformisée des résidences d'un logement (incluant condominiums)
CP,PRC2310,Évaluation moyenne uniformisée des résidences d'un logement (incluant condominiums)
MAR,PRC2320,Évaluation moyenne uniformisée des résidences d'un logement (incluant condominiums)
PROV,PRC2350,Évaluation moyenne uniformisée des résidences d'un logement (incluant condominiums)
RAD,PRC2370,Évaluation moyenne uniformisée des résidences d'un logement (incluant condominiums)
MUNICI,RAT0130,RFU par unité d'évaluation imposable et compensable
MUNICI,RAT0131,RFU par unité d'évaluation imposable et compensable - agglomération
MUNICI,RFU3002,Nombre d'unité d'évaluation imposable et compensable
MUNICI,RFU3003,Nombre d'unité d'évaluation imposable et compensable
