ï»¿Lieu;Adresse;Lat;long
HÃ´tel de ville;191 rue du Palais Sherbrooke;45.404215;-71.893157
Maison de la culture de Brompton;1 rue Wilfrid-Laurier Sherbrooke;45.475847;-71.939976
Maison des jeunes Serge Forest (Rock-Forest);1010 Rue Germaine-GuÃ¨vremont Sherbrooke;45.3710815;-71.9925101
MusÃ©e Upland;9 Rue Speid Sherbrooke;;
Palais des sports LÃ©opold-Drolet (2 DEA) PiÃ©ton en haut;360 Rue du CÃ©gep Sherbrooke;45.410655;-71.883717
Palais des sports LÃ©opold-Drolet (2 DEA) Zamboni;360 Rue du CÃ©gep Sherbrooke;45.410655;-71.883717
Parc Adrien-Cambron;365 10e avenue Nord;45.412988;-71.8743533
Parc Atto-Beaver;135 rue St-Francis Sherbrooke;45.377908;-71.852757
Parc BelvÃ©dÃ¨re ;500 rue Thibault Salle de bain handicapÃ©;45.373952;-71.8909853
Parc Bureau ;925 rue Walsh;45.3932717;-71.8701659
Parc Centennial;10 rue Speid Sherbrooke;45.3693485;-71.8605802
Parc Central ;6161 rue du PrÃ©sident-Kennedy Sherbrooke;45.3558133;-72.0034121
Parc Chauveau;4445 Rue Chauveau Sherbrooke;45.3851207;-71.9748516
Parc Couturier;1372 rue Couturier Sherbrooke;45.4267386;-71.8783664
Parc de Saint-Alphonse-de-Liguori ;1625 rue Vermont;45.4149042;-71.914753
Parc Debonnair;1685 rue des FrÃ¨res-Giroux Sherbrooke;45.430849;-71.8942159
Parc du Mont-Bellevue;1440 rue BrÃ©beuf Sherbrooke;45.384495 ;-71.908354
Parc Dufresne - Patinoire Bleu-Blanc-Bouge;525 rue Galt Ouest Sherbrooke;45.3954721;-71.8932223
Parc Jacques-Cartier (bÃ¢timent sanitaire);220 rue Marchant Sherbrooke;45.395119;-71.9174117
Parc Jacques-Cartier (marchÃ© de la gare);710 Pl de la Gare Sherbrooke;45.3966756;-71.8977553
Parc Jardins-Fleuris;1245 Rue Papineau Sherbrooke;45.416137;-71.862467
Parc Lucien-Blanchard ;2255 rue de la pointe Sherbrooke;45.3943853;-71.9285611
Parc MaillÃ©;1280 rue des Lys Sherbrooke;45.424978;-71.864887
Parc Mi-Vallon;1443 rue Milan;45.3803646;-71.9841397
Parc Nault ;1 rue St-Jean-Baptiste Nord;45.4685145;-71.9419398
Parc Paul-Marin;1148 rue Maurice-Duplessis;45.3890387;-71.9318661
Pavillon Armand-Nadeau;200 rue Marchant Sherbrooke;45.3950353; -71.9175633
Plage municipale de Deauville;790 avenue du Parc Sherbrooke;45.336724;-72.025033
Service de police;575 rue Maurice-Houle local 0415;45.3935601;-71.9008458
Service de police ;575 rue Maurice-Houle Sherbrooke;45.3935601;-71.9008458
Service de police ;575 rue Maurice-Houle local 1330?;45.3935601;-71.9008458
Stade AmÃ©dÃ©e-Roy;600 rue du CÃ©gep Sherbrooke;45.4135081;-71.8876118
ThÃ©Ã¢tre Granada;53 rue Wellington Nord Sherbrooke;45.402283;-71.891128
