CODE,NOM,DESI_ABR,POP
21015,Saint-Louis-de-Gonzague-du-Cap-Tourmente,P,2
23015,Notre-Dame-des-Anges,P,326
NR020,Le Rocher-Percé,TR,0
NR060,Avignon,TR,0
NR972,Caniapiscau,TR,0
NR981,Minganie,TR,0
NR982,Le Golfe-du-Saint-Laurent,TR,0
R1211,R.I. gest. déch. sol. Anses,RgI,
R2102,R.I. transp. adapt. Vallée du Richelieu,RgI,
R4102,R.I. Berthier,RgI,
T1001,C.I.T. S.-O.,CIT,
T1002,C.I.T. Presqu'Île,CIT,
T1003,C.I.T. Haut-St-Laurent,CIT,
T1005,C.I.T. Vallée du Richelieu,CIT,
T1007,C.I.T. Sorel-Varennes,CIT,
T1009,C.I.T. Roussillon,CIT,
T1016,C.I.T. Chambly-Richelieu-Carignan,CIT,
T1021,C.I.T. Le Richelain,CIT,
T1023,C.R.T. Lanaudière,CIT,
T1024,C.I.T. Laurentides,CIT,
