ï»¿RÃ©gion,Soins_infirmiers_a_domicile,Aide_a_domicile_(CLSC),Aide_a_domicile_(Allocations),Services_psychosociaux_a_domicile,Soutien_aux_familles_de_personnes_handicapÃ©es_-_Allocations,Nutrition_a_domicile,Intervention_communautaire,ErgothÃ©rapie_a_domicile,PhysiothÃ©rapie_a_domicile,PrÃªt_d'Ã©quipement_aux_usagers_des_services_a_domicile,InhalothÃ©rapie_a_domicile,Nutrition_parentÃ©rale_totale_a_domicile,HÃ©modialyse_a_domicile,Gestion_et_soutien_des_services_de_maintien_a_domicile,SOUS-TOTAL,ActivitÃ©s_de_soutien,Organismes_communautaires_a_domicile,TOTAL
,c/a 6170,c/a 6530,c/a 6530,c/a 6561,c/a 7080,c/a 7111,c/a 7120,c/a 7161,c/a 7162,c/a 7163,c/a 6351,c/a 6250,c/a 6793,c/a 7151,TOTAL,,,
RSS 01  Bas-Saint-Laurent,16 298 371,12 508 695,2 791 832,9 609 459,546 627,160 172,43 000,2 554 884,2 365 262,1 179 325,632 942,,,4 741 825,53 432 394,10 356 302,372 175,64 160 871
RSS 02  Saguenay--Lac-Saint-Jean,15 926 465,13 781 965,187 030,10 400 280,1 057 385,962 853,,3 895 022,4 075 695,219 564,731 424,,228 088,2 906 752,54 372 523,11 326 162,3 538 918,69 237 603
RSS 03  Capitale Nationale,41 021 886,16 742 369,34 034 396,24 315 326,2 584 114,1 241 318,191 836,9 288 905,5 289 028,,,782 118,408 257,9 222 039,145 121 592,23 138 076,4 304 116,172 563 784
RSS 04  Mauricie et Centre-du-QuÃ©bec,27 349 916,21 627 663,11 603 334,14 885 711,3 074 773,1 021 792,82 222,6 533 079,4 617 323,1 416 589,2 432 401,,317 209,9 439 224,104 401 236,18 168 181,2 181 488,124 750 905
RSS 05  Estrie,22 469 042,17 795 474,9 101 013,17 693 186,1 333 790,1 286 359,115 784,6 817 545,4 413 726,1 511 936,2 467 390,135 560,705 832,6 470 129,92 316 766,17 236 720,4 496 475,114 049 961
RSS 06  MontrÃ©al,108 141 836,118 217 977,40 085 781,40 755 358,11 922 889,2 088 557,437 589,18 100 437,12 774 747,2 969 711,6 400 084,5 863 701,1 805 125,24 306 959,393 870 751,74 336 472,14 635 451,482 842 674
RSS 07  Outaouais,13 004 388,12 702 120,8 114 606,9 704 169,1 399 561,509 289,,3 699 633,1 457 723,1 294 870,843 987,,375 696,3 238 787,56 344 829,9 905 428,3 499 258,69 749 515
RSS 08  Abitibi-TÃ©miscamingue,9 165 319,9 583 344,1 887 349,6 065 093,724 482,135 917,204 304,799 270,814 779,69 849,408 561,,47 241,2 427 200,32 332 708,6 215 972,810 582,39 359 262
RSS 09  CÃ´te-Nord,5 925 363,5 950 880,4 490 376,4 155 915,732 585,111 069,79 242,664 542,833 071,,740 410,,,1 115 968,24 799 421,4 395 177,1 036 860,30 231 458
RSS 10  Nord-du-QuÃ©bec,1 320 345,1 012 401,133 046,394 805,39 089,7 338,68 638,54 557,128 074,,44 351,,,129 296,3 331 940,750 907,92 078,4 174 925
RSS 11  GaspÃ©sie--Ãles-de-la-Madeleine,8 326 500,10 755 808,5 045 933,2 783 187,287 553,7 812,,1 012 049,1 108 274,280 965,356 761,,,1 668 026,31 632 868,5 737 772,1 277 727,38 648 367
RSS 12  ChaudiÃ¨re-Appalaches,18 212 435,21 552 158,1 030 073,15 573 672,1 596 218,973 481,309 744,5 847 979,3 892 461,904 050,1 556 766,,,3 995 803,75 444 840,15 653 826,3 384 648,94 483 314
RSS 13  Laval,19 117 764,17 962 148,4 487 077,13 568 184,1 922 885,559 625,712 956,3 875 942,2 282 487,751 210,1 239 391,,426 878,4 123 312,71 029 859,13 058 990,2 363 430,86 452 279
RSS 14  LanaudiÃ¨re,20 739 316,25 574 734,4 417 070,8 938 290,2 012 507,498 855,2 889,3 572 768,4 206 129,1 692 040,1 473 850,,65 187,4 283 561,77 477 196,15 254 975,933 622,93 665 793
RSS 15  Laurentides,27 722 213,15 406 501,15 615 663,14 042 613,2 417 790,1 437 029,1 519 004,5 556 474,5 257 709,799 534,3 082 227,,309 908,10 056 411,103 223 076,16 866 840,2 665 292,122 755 208
RSS 16  MontÃ©rÃ©gie,56 568 643,66 022 720,25 289 391,28 437 040,6 118 877,2 697 157,1 290 083,12 703 234,10 276 829,3 339 306,7 607 099,,290 748,11 386 722,232 027 849,42 432 624,4 941 132,279 401 605
RSS 17  Nunavik,2 736 821,1 324 602,2 827,,31 389,,1 098 955,156 150,464 722,,207 829,,,406 423,6 429 718,1 379 965,,7 809 683
RSS 18  Terres-Cries-de-la-Baie-James,,3 379 469,,,,,,,,,,,,,3 379 469,856 743,,4 236 212
TOTAL QUÃBEC,414 046 623,391 901 028,168 316 797,221 322 288,37 802 514,13 698 623,6 156 246,85 132 470,64 258 039,16 428 949,30 225 473,6 781 379,4 980 169,99 918 437,1 560 969 035,287 071 133,50 533 252,1 898 573 420
