Region,Soins_infirmiers_a_domicile,Aide_a_domicile_(CLSC),Aide_a_domicile_(Allocations),Services_psychosociaux_a_domicile,,Soutien_aux_familles_de_personnes_handicapees_-_Allocations,Nutrition_a_domicile,Intervention_communautaire,Ergotherapie_a_domicile,Physiotherapie_a_domicile,Pret_d'equipement_aux_usagers_des_services_a_domicile,Inhalotherapie_a_domicile,Nutrition_parenterale_totale_a_domicile,Hemodialyse_a_domicile,Gestion_et_soutien_des_services_de_maintien_a_domicile,SOUS-TOTAL,Activites_de_soutien,Organismes_communautaires_a_domicile,TOTAL
,c/a 6170,c/a 6530,c/a 6530,c/a 6561,c/a 6864,c/a 7080,c/a 7111,c/a 7120,c/a 7161,c/a 7162,c/a 7163,c/a 6351,c/a 6250,c/a 6793,c/a 7151,TOTAL,,,
RSS 01  Bas-Saint-Laurent,11 363 805,6 615 900,3 968 352,4 245 695,,577 393,233 059,38 344,2 054 278,1 758 858,422 860,721 322,,,2 595 812,34 595 678,6 350 110,3 155 607,44 101 395
RSS 02  Saguenay--Lac-Saint-Jean,13 356 229,6 521 777,4 143 260,8 115 014,,1 008 609,714 540,,2 709 535,3 286 509,149 164,241 797,,124 017,2 011 758,42 382 209,8 174 690,2 893 106,53 450 005
RSS 03  Capitale Nationale,29 914 621,15 651 274,15 427 231,17 247 792,,2 094 450,774 428,168 489,6 492 267,3 460 833,,,1 461 468,392 637,8 148 358,101 233 848,17 859 985,3 948 379,123 042 212
RSS 04  Mauricie et Centre-du-Quebec,21 524 621,15 079 524,9 168 235,10 715 120,,2 363 855,834 344,191 193,4 392 419,3 263 428,1 022 479,2 002 709,,171 217,4 670 132,75 399 276,13 584 507,1 572 284,90 556 067
RSS 05  Estrie,18 780 792,15 209 037,3 766 110,12 678 805,,1 158 938,768 634,733 644,4 680 215,2 950 369,1 150 335,2 700 568,157 253,360 717,5 019 443,70 114 860,13 920 524,3 849 619,87 885 003
RSS 06  Montreal,84 641 112,78 133 459,24 465 675,30 670 776,,9 958 628,1 637 855,1 444 440,14 020 834,9 775 815,2 005 107,3 845 386,4 630 238,1 159 363,17 865 323,284 254 011,54 442 690,12 685 831,351 382 532
RSS 07  Outaouais,10 320 631,7 277 875,3 811 290,5 887 668,,1 144 104,361 804,1 124,2 448 801,1 313 818,528 071,624 657,,145 515,3 004 568,36 869 926,6 642 163,3 089 137,46 601 226
RSS 08  Abitibi-Temiscamingue,6 399 236,5 516 093,2 249 780,4 818 756,,615 140,86 581,291 118,784 073,604 091,,425 041,,,1 269 408,23 059 317,4 453 690,504 561,28 017 568
RSS 09  Côte-Nord,3 843 623,2 421 683,2 688 077,2 883 591,,1 355 614,153 331,229 248,672 839,422 261,,365 892,,,712 334,15 748 493,2 653 923,934 747,19 337 163
RSS 10  Nord-du-Quebec,910 083,781 214,47 009,514 970,,114 101,8 601,71 546,128 794,75 868,14 145,55 960,,,39 477,2 761 768,639 174,21 596,3 422 538
RSS 11  Gaspesie--Îles-de-la-Madeleine,6 488 632,4 920 606,4 289 620,2 112 009,,460 881,3 076,,1 028 080,1 025 573,115 870,265 359,,,1 292 199,22 001 905,3 741 227,1 041 527,26 784 659
RSS 12  Chaudiere-Appalaches,14 114 697,10 654 971,578 726,11 411 315,,1 486 913,557 038,313 530,3 865 458,2 906 095,513 674,1 284 164,,,2 808 793,50 495 374,10 501 519,3 209 348,64 206 241
RSS 13  Laval,15 647 706,12 118 817,2 355 641,9 491 217,,1 386 066,393 683,1 829 387,3 009 613,1 501 818,507 090,1 022 014,,295 700,2 732 527,52 291 279,10 295 216,2 374 795,64 961 290
RSS 14  Lanaudiere,16 241 366,12 669 670,6 818 672,6 252 687,,1 460 440,482 730,345 558,3 032 123,2 687 512,1 146 543,1 397 354,,,3 229 585,55 764 240,10 096 265,193 841,66 054 346
RSS 15  Laurentides,20 276 830,11 774 084,7 137 936,9 085 899,,1 978 428,838 013,724 453,4 401 535,3 381 760,877 418,2 549 412,,209 118,4 893 254,68 128 140,12 255 363,2 203 936,82 587 439
RSS 16  Monteregie,43 355 603,26 087 139,11 896 459,20 291 621,,4 063 499,2 105 270,1 724 369,9 827 635,6 886 855,1 131 009,5 890 475,,157 530,8 026 363,141 443 827,26 588 161,4 610 282,172 642 270
RSS 17  Nunavik,1 616 645,1 586 933,,,,51 444,,517 154,158 672,368 316,,,,,274 157,4 573 321,1 004 984,,5 578 305
RSS 18  Terres-Cries-de-la-Baie-James,,3 994 176,,,,,,,,,,,,,,3 994 176,949 186,,4 943 362
TOTAL QUÉBEC,318 796 232,237 014 232,102 812 073,156 422 935,,31 278 503,9 952 987,8 623 597,63 707 171,45 669 779,9 583 765,23 392 110,6 248 959,3 015 814,68 593 491,1 085 111 648,204 153 377,46 288 596,1 335 553 621
