Region,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,GRAND_TOTAL
RSS 01  Bas-Saint-Laurent,5 581 202,4 113 596,194 518,69 049,21 391 680,797 653,9 222 330,41 370 028
RSS 02  Saguenay--Lac-Saint-Jean,4 115 115,5 743 839,128 480,44 123,28 270 203,2 637 325,12 483 269,53 422 355
RSS 03  Capitale Nationale,14 457 169,14 781 053,398 754,43 104,55 316 802,6 494 576,31 253 649,122 745 107
RSS 04  Mauricie et Centre-du-Québec,5 771 444,8 981 414,225 156,286 563,53 635 991,3 309 870,19 427 607,91 638 045
RSS 05  Estrie,3 805 718,5 542 545,260 606,510 949,41 889 174,3 224 156,11 242 711,66 475 859
RSS 06  Montréal,23 267 580,38 184 669,2 103 957,1 966 827,218 886 548,15 543 882,56 268 541,356 222 005
RSS 07  Outaouais,4 130 824,6 656 769,104 268,69 844,24 432 129,2 444 934,11 809 222,49 647 990
RSS 08  Abitibi-Témiscamingue,1 358 301,1 613 868,251 699,2 132,16 551 803,1 343 058,6 132 585,27 253 446
RSS 09  Côte-Nord,738 410,1 701 418,224 143,156 090,10 207 990,1 504 468,4 558 752,19 091 272
RSS 10  Nord-du-Québec,291 465,557 047,30 063,83 396,1 728 105,127 074,488 962,3 306 113
RSS 11  Gaspésie--Îles-de-la-Madeleine,1 443 770,3 414 597,94 160,1 708,14 563 677,1 186 327,6 218 586,26 922 824
RSS 12  Chaudière-Appalaches,6 572 889,8 324 229,216 802,46 724,34 056 836,5 513 447,9 001 454,63 732 382
RSS 13  Laval,5 803 169,3 129 164,104 364,992 284,42 653 819,4 846 086,9 001 276,66 530 163
RSS 14  Lanaudière,5 396 295,5 620 928,96 569,42 328,35 354 769,2 241 913,11 236 538,59 989 340
RSS 15  Laurentides,5 664 763,8 457 897,450 568,187 649,49 521 153,2 943 686,16 070 285,83 295 999
RSS 16  Montérégie,15 236 309,22 851 516,341 192,1 652 083,107 511 442,11 331 113,37 371 587,196 295 244
RSS 17  Nunavik,575 215,487 596,22 495,324 363,3 447 079,52 750,759 081,5 668 578
RSS 18  Terres-Cries-de-la-Baie-James,60 363,147 506,30 772,,3 879 242,70 535,907 293,5 095 711
TOTAL QUÉBEC,104 270 002,140 309 651,5 278 565,6 479 217,763 298 441,65 612 853,253 453 729,1 338 702 459
