Region,Soins_infirmiers_a_domicile,Aide_a_domicile_(CLSC),Aide_a_domicile_(Allocations),Services_psychosociaux_a_domicile,,Soutien_aux_familles_de_personnes_handicapees_-_Allocations,Nutrition_a_domicile,Intervention_communautaire,Ergotherapie_a_domicile,Physiotherapie_a_domicile,Pret_d'equipement_aux_usagers_des_services_a_domicile,Inhalotherapie_a_domicile,Nutrition_parenterale_totale_a_domicile,Hemodialyse_a_domicile,Gestion_et_soutien_des_services_de_maintien_a_domicile,SOUS-TOTAL,Activites_de_soutien,Organismes_communautaires_a_domicile,TOTAL
,c/a 6170,c/a 6530,c/a 6530,c/a 6561,c/a 6864,c/a 7080,c/a 7111,c/a 7120,c/a 7161,c/a 7162,c/a 7163,c/a 6351,c/a 6250,c/a 6793,c/a 7151,TOTAL,,,
RSS 01  Bas-Saint-Laurent,13 769 662,6 188 252,6 281 482,7 747 488,,465 836,123 604,72 000,2 321 014,2 245 251,1 137 824,608 781,,,3 993 768,44 954 962,8 079 754,1 231 028,54 265 744
RSS 02  Saguenay--Lac-Saint-Jean,15 694 014,12 270 489,332 901,9 990 787,,1 037 746,950 819,,3 473 561,3 784 747,198 361,548 743,,197 363,2 296 001,50 775 532,10 920 848,3 437 515,65 133 895
RSS 03  Capitale Nationale,36 751 103,16 407 697,26 811 494,20 200 411,,2 156 904,1 027 069,173 569,7 264 397,4 410 190,,,777 522,304 991,9 800 044,126 085 391,20 907 745,3 999 329,150 992 465
RSS 04  Mauricie et Centre-du-Québec,25 187 374,19 073 360,9 545 938,12 982 301,,2 328 593,1 024 834,186 435,6 040 568,3 706 146,1 216 685,2 402 842,,196 530,7 395 947,91 287 553,16 702 268,1 726 068,109 715 889
RSS 05  Estrie,20 221 608,15 989 378,6 779 791,14 439 932,,1 239 401,884 096,307 819,5 871 688,3 475 334,1 208 664,2 601 926,145 118,660 671,5 661 076,79 486 502,15 409 220,4 182 986,99 078 708
RSS 06  Montréal,101 760 545,101 488 627,34 074 209,38 238 022,,10 019 630,1 879 150,511 684,16 645 508,11 292 343,3 197 347,4 143 591,5 521 381,1 440 664,21 270 151,351 482 852,68 975 153,13 709 256,434 167 261
RSS 07  Outaouais,11 904 805,10 872 891,7 214 653,10 678 923,,1 061 439,409 936,,3 562 560,1 388 158,1 012 576,803 215,,389 555,3 255 758,52 554 469,9 571 067,3 314 040,65 439 576
RSS 08  Abitibi-Témiscamingue,8 309 503,8 942 634,2 089 668,6 017 369,,638 170,146 682,294 705,853 120,669 140,,398 287,,,2 337 081,30 696 359,6 054 856,681 897,37 433 112
RSS 09  Côte-Nord,5 201 228,3 417 906,3 699 207,3 147 155,,2 036 061,160 417,67 943,724 242,631 249,,570 791,,,824 279,20 480 478,3 410 584,945 964,24 837 026
RSS 10  Nord-du-Québec,1 069 323,1 002 277,84 908,352 325,,43 891,9 633,78 336,52 557,84 627,2 979,53 802,,,154 467,2 989 125,700 523,90 451,3 780 099
RSS 11  Gaspésie--Îles-de-la-Madeleine,7 325 174,9 614 844,4 444 467,2 455 890,,328 046,233,,1 003 251,1 022 799,89 352,294 628,,,1 397 944,27 976 628,5 246 652,1 181 355,34 404 635
RSS 12  Chaudière-Appalaches,17 261 861,17 112 667,842 570,13 819 016,,1 422 783,852 657,346 353,5 271 506,3 562 273,961 766,1 399 882,,,3 597 948,66 451 282,14 230 025,3 671 429,84 352 736
RSS 13  Laval,18 233 763,15 321 662,3 462 929,12 104 890,,1 387 265,491 280,1 641 952,3 598 426,1 859 125,634 835,1 153 947,,511 437,3 660 540,64 062 051,12 291 000,2 078 506,78 431 557
RSS 14  Lanaudière,20 366 987,21 390 137,4 003 757,8 113 748,,1 647 745,577 817,195 086,3 206 309,3 768 642,1 306 038,1 345 538,,18 723,3 776 358,69 716 885,14 124 927,804 693,84 646 505
RSS 15  Laurentides,25 040 270,14 182 652,11 596 554,11 673 634,,2 291 069,1 248 739,1 295 914,5 214 157,4 516 643,707 312,2 852 322,,264 099,5 894 336,86 777 701,15 459 223,2 575 760,104 812 684
RSS 16  Montérégie,51 253 990,52 081 730,19 882 834,23 707 609,,4 786 319,2 358 596,1 074 437,11 524 537,8 951 838,3 058 487,6 991 245,,602 113,9 953 028,196 226 763,37 263 389,4 748 176,238 238 328
RSS 17  Nunavik,1 974 902,1 513 665,332,,,41 761,,810 448,69 809,630 938,,108 376,,,375 735,5 525 966,1 223 853,,6 749 819
RSS 18  Terres-Cries-de-la-Baie-James,,3 534 526,,,,,,,,,,,,,,3 534 526,918 890,,4 453 416
TOTAL QUÉBEC,381 326 112,330 405 394,141 147 694,195 669 500,,32 932 659,12 145 562,7 056 681,76 697 210,55 999 443,14 732 226,26 277 916,6 444 021,4 586 146,85 644 461,1 371 065 025,261 489 976,48 378 453,1 680 933 454
