Region,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,GRAND_TOTAL
RSS 01  Bas-Saint-Laurent,6 668 953,5 576 583,182 269,,22 175 029,759 150,10 371 127,45 733 112
RSS 02  Saguenay--Lac-Saint-Jean,4 852 714,7 083 464,208 086,,27 986 321,2 673 076,12 103 832,54 907 493
RSS 03  Capitale Nationale,14 486 709,13 854 102,1 209 057,,60 258 359,8 021 206,32 572 597,130 402 031
RSS 04  Mauricie et Centre-du-Québec,6 912 654,11 120 647,356 686,,53 242 619,3 331 220,19 147 362,94 111 187
RSS 05  Estrie,6 277 964,8 684 822,343 110,,53 528 762,4 513 214,15 948 262,89 296 135
RSS 06  Montréal,23 608 475,41 808 999,4 360 078,,226 557 273,13 586 238,56 005 217,365 926 278
RSS 07  Outaouais,3 921 950,7 223 369,77 594,,22 675 840,2 660 696,10 759 488,47 318 938
RSS 08  Abitibi-Témiscamingue,983 680,1 821 190,240 371,,19 921 351,1 199 809,6 737 821,30 904 222
RSS 09  Côte-Nord,920 753,1 880 370,311 927,,11 276 502,1 342 499,5 530 301,21 262 352
RSS 10  Nord-du-Québec,305 791,695 948,42 231,,1 849 823,101 487,476 949,3 472 230
RSS 11  Gaspésie--Îles-de-la-Madeleine,1 790 549,3 511 102,62 032,,13 346 673,2 080 574,7 052 761,27 843 691
RSS 12  Chaudière-Appalaches,6 829 203,8 050 193,111 095,,38 028 806,5 516 471,8 882 682,67 418 450
RSS 13  Laval,5 188 902,3 838 105,87 871,,45 037 292,4 122 979,8 423 906,66 699 056
RSS 14  Lanaudière,5 752 901,5 543 750,603 419,,42 758 440,2 274 306,11 785 609,68 718 426
RSS 15  Laurentides,6 872 336,8 960 908,495 368,,49 765 249,3 107 535,16 127 605,85 329 002
RSS 16  Montérégie,13 435 346,21 442 541,477 781,,99 964 421,11 361 027,34 546 497,181 227 612
RSS 17  Nunavik,130 812,2 037 618,1 390 214,,2 436 827,111 296,237 120,6 343 886
RSS 18  Terres-Cries-de-la-Baie-James,60 649,148 540,30 839,,3 913 435,70 929,915 396,5 139 789
TOTAL QUÉBEC,109 000 342,153 282 253,10 590 028,,794 723 022,66 833 715,257 624 532,1 392 053 891
