Region,Soins_infirmiers_a_domicile,Aide_a_domicile_(CLSC),Aide_a_domicile_(Allocations),Services_psychosociaux_a_domicile,,Soutien_aux_familles_de_personnes_handicapees_-_Allocations,Nutrition_a_domicile,Intervention_communautaire,Ergotherapie_a_domicile,Physiotherapie_a_domicile,Pret_d'equipement_aux_usagers_des_services_a_domicile,Inhalotherapie_a_domicile,Nutrition_parenterale_totale_a_domicile,Hemodialyse_a_domicile,Gestion_et_soutien_des_services_de_maintien_a_domicile,SOUS-TOTAL,Activites_de_soutien,Organismes_communautaires_a_domicile,TOTAL
,c/a 6170,c/a 6530,c/a 6530,c/a 6561,c/a 6864,c/a 7080,c/a 7111,c/a 7120,c/a 7161,c/a 7162,c/a 7163,c/a 6351,c/a 6250,c/a 6793,c/a 7151,TOTAL,,,
RSS 01  Bas-Saint-Laurent,12 277 488,5 263 061,5 427 429,5 330 023,,552 067,109 664,83 000,2 212 075,2 070 764,862 856,611 638,,,3 405 839,38 205 904,6 914 539,3 042 783,48 163 226
RSS 02  Saguenay--Lac-Saint-Jean,14 864 761,8 445 024,2 539 598,8 985 984,,970 621,920 767,,3 213 282,3 591 832,183 846,478 541,,238 309,2 299 478,46 732 043,9 708 124,2 981 320,59 421 487
RSS 03  Capitale Nationale,33 682 642,16 376 417,21 437 780,19 195 229,,1 948 768,1 096 488,184 592,6 531 318,3 681 159,,,1 555 215,383 606,9 491 980,115 565 194,20 071 635,4 031 689,139 668 518
RSS 04  Mauricie et Centre-du-Québec,23 384 008,17 828 540,9 971 740,12 742 482,,2 518 003,1 019 622,156 235,5 095 681,3 382 921,1 109 496,2 014 366,,222 533,6 252 498,85 698 125,15 838 337,1 610 124,103 146 586
RSS 05  Estrie,19 645 744,16 747 394,3 825 339,13 285 496,,1 144 041,859 033,275 744,5 428 771,3 050 514,1 255 452,2 771 492,78 956,732 002,5 639 815,74 739 793,15 295 390,3 998 992,94 034 175
RSS 06  Montréal,94 873 902,90 944 689,30 474 216,35 262 053,,10 284 106,1 816 390,438 705,15 363 305,10 587 401,2 551 085,3 906 591,5 423 964,2 004 603,19 732 204,323 663 214,64 844 494,13 503 533,402 011 241
RSS 07  Outaouais,11 289 232,9 951 946,4 841 668,8 022 386,,1 081 925,401 550,,2 845 044,1 273 736,751 543,806 949,,285 931,2 962 339,44 514 249,8 454 685,3 265 112,56 234 046
RSS 08  Abitibi-Témiscamingue,7 791 460,8 911 404,2 088 125,5 526 031,,621 657,195 249,236 727,927 950,624 687,,403 861,,,1 727 140,29 054 291,6 031 861,569 233,35 655 385
RSS 09  Côte-Nord,4 559 226,3 112 410,3 055 705,3 400 736,,1 860 670,65 814,193 746,855 465,388 697,,461 069,,,826 243,18 779 781,3 259 848,762 911,22 802 540
RSS 10  Nord-du-Québec,1 031 825,961 458,50 619,513 514,,54 860,8 979,55 918,55 837,75 711,10 131,47 568,,,157 763,3 024 183,734 608,93 027,3 851 818
RSS 11  Gaspésie--Îles-de-la-Madeleine,6 915 492,8 773 122,2 494 887,2 185 395,,373 207,159,,927 129,957 195,171 342,272 832,,,1 578 164,24 648 924,4 937 620,1 102 596,30 689 140
RSS 12  Chaudière-Appalaches,15 208 361,13 619 509,652 059,12 671 129,,1 380 026,643 473,271 231,4 711 599,3 229 826,807 061,1 346 751,,,3 374 752,57 915 777,12 541 401,3 574 477,74 031 655
RSS 13  Laval,16 461 265,14 262 311,3 264 310,11 137 745,,1 432 583,448 362,1 617 595,3 396 477,1 624 477,671 897,1 147 473,,246 500,3 404 248,59 115 243,11 541 080,1 962 418,72 618 741
RSS 14  Lanaudière,18 182 464,14 882 190,7 287 865,7 173 291,,1 441 840,450 768,188 796,3 265 689,3 263 193,1 208 624,1 502 728,,,3 381 127,62 228 575,11 954 300,428 065,74 610 940
RSS 15  Laurentides,22 159 155,13 188 182,9 624 407,10 396 389,,2 090 782,1 028 515,701 680,4 865 364,4 213 117,701 893,2 874 856,,293 652,5 957 553,78 095 545,14 223 051,2 447 009,94 765 605
RSS 16  Montérégie,46 587 401,36 750 710,15 524 888,21 819 287,,4 447 565,2 321 286,1 563 338,11 616 154,7 795 993,1 497 463,6 283 609,,373 964,9 320 889,165 902 547,32 165 524,4 633 531,202 701 602
RSS 17  Nunavik,2 017 883,1 603 944,239,,,32 887,,679 954,194 204,511 764,,,,,448 373,5 489 248,1 208 192,,6 697 440
RSS 18  Terres-Cries-de-la-Baie-James,,3 218 889,,,,,,,,,,,,,,3 218 889,840 831,,4 059 720
TOTAL QUÉBEC,350 932 309,284 841 200,122 560 874,177 647 170,,32 235 608,11 386 119,6 647 261,71 505 344,50 322 987,11 782 689,24 930 324,7 058 135,4 781 100,79 960 405,1 236 591 525,240 565 519,48 006 820,1 525 163 864
