ï»¿Region,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,GRAND_TOTAL
RSS  01  Bas-Saint-Laurent,8 646 236,10 498 767,91 628,,42 650 377,2 812 529,20 303 248,85 002 785
RSS  02  Saguenay  Lac-Saint-Jean,5 412 762,10 902 072,71 236,,39 499 850,3 626 366,16 904 551,76 416 836
RSS  03  Capitale-Nationale,25 996 040,18 200 523,755 391,,90 854 306,28 454 215,62 488 457,226 748 933
RSS  04  Mauricie-et-Centre-du-Quebec,13 714 535,17 456 016,444 880,,95 093 068,9 113 418,25 528 279,161 350 195
RSS  05  Estrie,7 281 507,13 243 767,244 923,,90 359 995,11 263 386,30 629 955,153 023 533
RSS  06  Montreal,31 640 839,54 190 335,4 009 683,,378 717 059,22 075 684,87 492 067,578 125 668
RSS  07  Outaouais,6 282 407,11 704 357,41 932,,53 014 281,6 218 879,23 105 130,100 366 985
RSS  08  Abitibi-Temiscamingue,1 248 172,2 588 552,162 713,,31 665 538,1 986 215,9 465 341,47 116 531
RSS  09  Cote-Nord,1 691 767,4 251 122,290 122,,24 720 393,1 391 426,7 377 036,39 721 866
RSS  10  Nord-du-Quebec,365 885,804 741,53 784,,2 874 132,140 739,559 735,4 799 015
RSS  11  Gaspesie  Iles-de-la-Madeleine,3 628 809,6 149 408,151 013,,29 996 671,3 061 893,8 575 764,51 563 558
RSS  12  Chaudiere-Appalaches,12 248 362,12 657 939,194 162,,66 046 768,7 839 783,15 830 351,114 817 366
RSS  13  Laval,8 112 708,5 238 767,327 744,,76 262 904,8 037 376,14 071 050,112 050 550
RSS  14  Lanaudiere,7 779 873,7 349 946,210 895,,77 975 046,7 124 157,12 879 353,113 319 270
RSS  15  Laurentides,9 391 001,14 768 719,1 547 323,,78 765 976,8 368 468,28 288 539,141 130 026
RSS  16  Monteregie,16 181 299,33 420 924,1 051 000,,216 967 533,24 745 128,60 477 366,352 843 249
RSS  17  Nunavik,991 874,2 058 785,5 279 012,,2 429 449,57 483,126 645,10 943 248
RSS  18  Terres-Cries-de-la-Baie-James,101 733,234 922,31 118,,3 326 984,68 617,756 508,4 519 882
TOTAL QUEBEC,160 715 810,225 408 120,14 958 558,,1 401 220 330,146 385 761,424 859 375,2 373 859 494
Pourcentage,6.77%,9.50%,0.63%,,59.03%,6.17%,17.90%,100.00%
,,,,,,,,,
TOTAL regions 10 17 et 18,1 459 492,3 098 447,5 363 914,,8 630 565,266 839,1 442 888,20 262 146
TOTAL moins regions 10 17 et 18,159 256 318,222 309 673,9 594 644,,1 392 589 765,146 118 922,423 416 486,2 353 597 349
