Region,Soins_infirmiers_a_domicile,Aide_a_domicile_(CLSC),Aide_a_domicile_(Allocations),Services_psychosociaux_a_domicile,,Soutien_aux_familles_de_personnes_handicapees_-_Allocations,Nutrition_a_domicile,Intervention_communautaire,Ergotherapie_a_domicile,Physiotherapie_a_domicile,Pret_d'equipement_aux_usagers_des_services_a_domicile,Inhalotherapie_a_domicile,Nutrition_parenterale_totale_a_domicile,Hemodialyse_a_domicile,Gestion_et_soutien_des_services_de_maintien_a_domicile,SOUS-TOTAL,Activites_de_soutien,Organismes_communautaires_a_domicile,TOTAL
,c/a 6170,c/a 6530,c/a 6530,c/a 6561,c/a 6864,c/a 7080,c/a 7111,c/a 7120,c/a 7161,c/a 7162,c/a 7163,c/a 6351,c/a 6250,c/a 6793,c/a 7151,TOTAL,,,
RSS 01  Bas-Saint-Laurent,11 851 346,5 041 490,4 921 598,4 721 300,,510 727,244 859,66 000,2 198 450,1 932 214,600 841,623 812,,,3 166 260,35 878 897,6 540 668,3 313 547,45 733 112
RSS 02  Saguenay--Lac-Saint-Jean,13 670 985,8 197 816,2 454 420,8 128 337,,1 006 579,825 580,,2 838 139,3 285 744,169 810,255 887,,149 879,2 084 073,43 067 249,8 960 461,2 879 783,54 907 493
RSS 03  Capitale Nationale,30 816 415,15 645 732,18 726 789,18 246 712,,2 092 543,775 263,161 636,6 623 519,3 552 990,,,1 460 945,389 645,9 122 433,107 614 622,18 736 344,4 051 065,130 402 031
RSS 04  Mauricie et Centre-du-Québec,22 193 913,15 288 471,9 603 957,11 043 104,,2 428 121,979 508,176 685,4 713 133,3 276 651,1 027 157,2 057 409,,187 596,5 198 467,78 174 172,14 346 129,1 590 886,94 111 187
RSS 05  Estrie,18 876 729,15 939 045,3 170 028,12 769 903,,1 143 965,781 238,767 582,4 971 815,2 914 603,1 156 056,2 740 684,111 669,383 565,5 077 301,70 804 183,14 577 141,3 914 811,89 296 135
RSS 06  Montréal,87 828 526,81 514 827,25 442 859,32 472 362,,9 746 733,1 741 659,562 287,14 421 156,9 630 187,2 572 952,3 744 604,4 713 567,1 279 878,18 439 990,294 111 587,58 502 799,13 311 892,365 926 278
RSS 07  Outaouais,10 555 444,7 128 900,3 864 140,6 123 176,,1 086 941,391 542,,2 444 475,1 223 806,509 923,658 598,,239 595,2 922 615,37 149 155,6 923 496,3 246 287,47 318 938
RSS 08  Abitibi-Témiscamingue,6 905 829,6 668 363,2 042 810,5 189 799,,613 329,139 981,276 808,887 881,587 654,,382 460,,,1 640 838,25 335 752,5 109 568,458 902,30 904 222
RSS 09  Côte-Nord,4 227 484,2 728 030,2 832 286,2 901 500,,1 641 135,167 725,264 928,796 019,368 190,,416 666,,,1 092 423,17 436 386,2 965 067,860 899,21 262 352
RSS 10  Nord-du-Québec,946 351,792 312,51 830,511 124,,51 392,8 695,56 098,78 332,82 683,9 422,64 419,,,139 590,2 792 248,658 127,21 855,3 472 230
RSS 11  Gaspésie--Îles-de-la-Madeleine,6 413 644,4 807 280,5 297 709,2 129 742,,463 184,85,,962 809,918 089,186 764,295 866,,,1 482 168,22 957 340,3 800 615,1 085 736,27 843 691
RSS 12  Chaudière-Appalaches,14 508 262,11 427 462,606 685,11 748 051,,1 439 438,569 754,305 175,4 208 332,2 922 925,745 915,1 234 901,,,3 045 599,52 762 499,11 366 981,3 288 970,67 418 450
RSS 13  Laval,15 793 644,12 241 268,2 785 569,9 672 832,,1 440 413,419 517,1 896 982,3 212 354,1 537 973,553 007,1 071 453,,233 964,2 941 889,53 800 865,10 839 097,2 059 094,66 699 056
RSS 14  Lanaudière,16 722 324,13 487 616,7 228 062,6 468 317,,1 443 693,461 056,168 642,3 031 839,2 881 109,1 200 509,1 506 688,,,3 096 316,57 696 171,10 823 088,199 167,68 718 426
RSS 15  Laurentides,20 428 241,12 348 244,7 168 642,9 079 392,,1 947 999,893 265,861 789,4 554 977,3 808 542,986 012,2 531 746,,215 783,5 137 220,69 961 852,13 015 322,2 351 828,85 329 002
RSS 16  Montérégie,45 162 389,28 035 793,12 544 086,19 986 469,,4 236 004,2 163 291,1 809 316,10 774 089,7 217 119,1 154 797,5 858 932,,187 362,8 758 364,147 888 011,28 674 528,4 665 073,181 227 612
RSS 17  Nunavik,1 688 662,1 825 122,,,,52 562,,665 163,140 161,503 540,,,,,315 456,5 190 666,1 153 220,,6 343 886
RSS 18  Terres-Cries-de-la-Baie-James,,4 086 291,,,,,,,,,,,,,,4 086 291,1 053 498,,5 139 789
TOTAL QUÉBEC,328 590 188,247 204 062,108 741 470,161 192 120,,31 344 758,10 563 018,8 039 091,66 857 480,46 644 019,10 873 165,23 444 125,6 286 181,3 267 267,73 661 002,1 126 707 946,218 046 150,47 299 795,1 392 053 891
