Region,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,GRAND_TOTAL
RSS 01  Bas-Saint-Laurent,5 014 256,3 112 152,251 456,48 823,21 085 658,700 150,8 829 141,39 041 636
RSS 02  Saguenay--Lac-Saint-Jean,3 446 415,4 376 676,140 953,51 230,26 222 685,2 628 094,12 285 882,49 151 935
RSS 03  Capitale Nationale,13 376 420,13 482 701,451 189,637 567,53 215 435,6 042 936,30 053 377,117 259 625
RSS 04  Mauricie et Centre-du-Québec,5 333 120,8 065 506,184 502,302 482,50 283 260,3 278 311,17 984 211,85 431 392
RSS 05  Estrie,3 640 074,5 213 540,323 343,610 816,39 558 080,3 031 496,10 844 791,63 222 140
RSS 06  Montréal,24 861 203,37 241 319,2 287 583,2 176 695,200 065 180,14 143 816,51 458 048,332 233 844
RSS 07  Outaouais,3 977 840,6 486 998,109 867,58 441,22 785 241,2 480 418,10 994 148,46 892 953
RSS 08  Abitibi-Témiscamingue,978 021,1 772 101,164 863,33 139,14 972 207,1 237 955,5 975 574,25 133 861
RSS 09  Côte-Nord,886 833,2 110 299,249 397,177 393,9 549 050,1 541 279,4 438 276,18 952 528
RSS 10  Nord-du-Québec,240 507,582 024,31 811,73 714,1 737 177,134 442,630 942,3 430 616
RSS 11  Gaspésie--Îles-de-la-Madeleine,1 627 406,2 766 294,118 300,6 377,13 927 060,1 406 158,6 150 036,26 001 631
RSS 12  Chaudière-Appalaches,6 605 386,7 809 413,314 747,5 185,31 896 049,5 141 955,8 675 155,60 447 889
RSS 13  Laval,4 210 771,3 575 951,94 311,1 335 093,42 541 672,4 376 233,8 472 045,64 606 077
RSS 14  Lanaudière,5 134 318,4 984 526,120 392,11 180,32 527 077,2 073 292,12 138 869,56 989 654
RSS 15  Laurentides,6 059 609,9 494 036,492 711,235 285,43 956 160,2 801 766,14 403 627,77 443 195
RSS 16  Montérégie,14 586 633,21 136 015,476 382,1 847 014,102 863 996,10 564 508,35 819 821,187 294 370
RSS 17  Nunavik,542 898,456 088,28 420,560 519,3 446 378,49 165,680 307,5 763 774
RSS 18  Terres-Cries-de-la-Baie-James,76 632,156 996,42 635,,3 858 679,71 462,947 805,5 154 209
TOTAL QUÉBEC,100 598 343,132 822 636,5 882 862,8 170 951,714 491 044,61 703 438,240 782 055,1 264 451 330
