ï»¿RÃ©gion,Soins_infirmiers_Ã _domicile,Aide_Ã _domicile_(CLSC),Aide_Ã _domicile_(Allocations),Services_psychosociaux_Ã _domicile,,Soutien_aux_familles_de_personnes_handicapÃ©es_-_Allocations,Nutrition_Ã _domicile,Intervention_communautaire,ErgothÃ©rapie_Ã _domicile,PhysiothÃ©rapie_Ã _domicile,PrÃªt_d'Ã©quipement_aux_usagers_des_services_Ã _domicile,InhalothÃ©rapie_Ã _domicile,Nutrition_parentÃ©rale_totale_Ã _domicile,HÃ©modialyse_Ã _domicile,Gestion_et_soutien_des_services_de_maintien_Ã _domicile,SOUS-TOTAL,ActivitÃ©s_de_soutien,Organismes_communautaires_Ã _domicile,TOTAL
,c/a 6170,c/a 6530,c/a 6530,c/a 6561,c/a 6864,c/a 7080,c/a 7111,c/a 7120,c/a 7161,c/a 7162,c/a 7163,c/a 6351,c/a 6250,c/a 6793,c/a 7151,TOTAL,,,
RSS 01  Bas-Saint-Laurent,19 483 494,13 088 001,5 504 129,10 766 303,,801 038,182 689,66 000,2 432 460,2 779 315,1 425 330,718 600,,,5 531 307,62 778 666,11 831 249,488 491,75 098 406
RSS 02  Saguenay--Lac-Saint-Jean,15 920 228,14 610 268,211 172,11 172 975,,1 069 004,996 788,,4 014 667,4 477 679,507 756,816 864,,234 909,2 711 569,56 743 879,12 167 728,4 041 889,72 953 496
RSS 03  Capitale Nationale,43 138 957,15 572 800,37 530 493,33 878 464,,2 064 508,1 131 158,205 521,9 905 029,5 735 852,,,786 103,436 327,10 953 135,161 338 347,25 992 529,4 694 343,192 025 219
RSS 04  Mauricie et Centre-du-QuÃ©bec,30 495 513,28 566 259,12 479 383,15 573 914,,3 072 347,1 211 657,84 026,7 204 962,5 083 826,1 516 344,2 636 974,,244 374,9 885 867,118 055 446,21 441 124,2 764 670,142 261 240
RSS 05  Estrie,26 263 476,22 159 603,10 740 605,20 999 002,,1 458 073,1 478 982,55 835,8 033 161,5 005 011,1 693 038,2 540 936,159 870,742 616,6 578 273,107 908 481,20 706 715,4 824 163,133 439 359
RSS 06  MontrÃ©al,112 390 288,118 793 402,48 955 212,43 933 146,,11 528 207,2 200 774,442 587,17 804 766,12 529 849,5 748 832,5 130 125,7 233 241,1 845 337,24 952 630,413 488 396,79 148 991,16 030 754,508 668 141
RSS 07  Outaouais,14 102 080,14 973 808,10 969 817,10 584 802,,854 054,546 741,,4 117 180,1 894 974,2 068 926,983 304,,385 125,3 552 656,65 033 467,11 557 580,4 209 739,80 800 786
RSS 08  Abitibi-TÃ©miscamingue,9 772 377,10 697 123,2 874 439,5 625 623,,594 452,150 214,243 425,893 593,916 806,123 070,333 985,,13 018,2 520 568,34 758 693,6 693 220,1 006 353,42 458 266
RSS 09  CÃ´te-Nord,7 005 298,6 138 097,5 964 182,4 653 243,,685 982,68 480,70 950,733 742,953 698,220 531,580 437,,,1 525 421,28 600 061,4 906 465,1 242 348,34 748 874
RSS 10  Nord-du-QuÃ©bec,1 542 161,1 208 248,204 814,411 089,,35 919,8 187,56 367,128 551,71 427,,40 918,,,149 517,3 857 198,873 434,94 103,4 824 735
RSS 11  GaspÃ©sie--Ãles-de-la-Madeleine,9 275 130,12 532 561,7 093 566,3 205 068,,271 202,7 645,,1 020 152,1 133 676,255 998,300 080,,,1 633 853,36 728 931,6 577 745,1 474 119,44 780 795
RSS 12  ChaudiÃ¨re-Appalaches,18 359 473,25 455 898,2 353 087,17 005 677,,1 261 968,1 097 318,353 248,6 079 713,4 193 530,1 002 989,1 572 738,,,3 998 306,82 733 945,17 635 463,3 368 063,103 737 471
RSS 13  Laval,21 177 818,19 606 348,6 391 340,15 540 411,,1 964 370,516 633,780 773,4 829 198,2 045 841,1 175 290,1 282 703,,584 810,4 477 070,80 372 605,14 799 527,2 540 807,97 712 939
RSS 14  LanaudiÃ¨re,22 620 826,24 993 786,6 703 139,9 740 123,,2 073 226,522 735,,3 553 825,4 355 397,1 711 335,1 321 929,,307 390,4 990 886,82 894 597,16 269 945,1 295 727,100 460 269
RSS 15  Laurentides,27 995 077,13 566 577,19 491 128,13 892 624,,3 101 805,1 338 388,1 420 475,5 348 983,5 170 977,1 067 382,3 011 052,,331 885,9 501 948,105 238 301,16 819 516,2 848 612,124 906 429
RSS 16  MontÃ©rÃ©gie,61 340 288,67 147 240,34 439 698,31 509 416,,6 434 420,2 864 023,1 795 145,12 841 308,10 529 537,3 349 003,7 497 251,,195 017,11 054 500,250 996 846,45 705 809,5 284 914,301 987 569
RSS 17  Nunavik,4 270 269,934 171,,70 589,,,,836 181,154 281,391 132,,171 617,,,307 513,7 135 753,1 691 028,,8 826 781
RSS 18  Terres-Cries-de-la-Baie-James,,3 429 610,,,,,,,,,,,,,,3 429 610,887 930,,4 317 540
TOTAL QUÃBEC,445 152 753,413 473 800,211 906 204,248 562 469,,37 270 575,14 322 412,6 410 533,89 095 571,67 268 527,21 865 824,28 939 513,8 179 214,5 320 808,104 325 019,1 702 093 222,315 705 998,56 209 095,2 074 008 315
