Region,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,GRAND_TOTAL
RSS 01  Bas-Saint-Laurent,6 698 456,5 459 598,97 086,,23 809 229,791 403,11 307 454,48 163 226
RSS 02  Saguenay--Lac-Saint-Jean,4 959 601,7 506 924,216 326,,30 053 897,2 859 059,13 825 681,59 421 487
RSS 03  Capitale Nationale,14 612 718,13 381 879,1 049 805,,65 116 358,8 665 145,36 842 614,139 668 518
RSS 04  Mauricie et Centre-du-Québec,7 583 662,12 173 331,321 606,,58 747 727,3 803 113,20 517 146,103 146 586
RSS 05  Estrie,6 439 751,9 392 451,325 909,,55 872 618,4 789 210,17 214 236,94 034 175
RSS 06  Montréal,26 333 388,43 078 175,4 769 693,,254 228 900,14 615 780,58 985 305,402 011 241
RSS 07  Outaouais,4 155 372,7 580 216,39 052,,27 624 685,3 887 252,12 947 469,56 234 046
RSS 08  Abitibi-Témiscamingue,1 059 019,2 157 041,166 681,,23 209 584,1 366 044,7 697 015,35 655 385
RSS 09  Côte-Nord,991 038,2 021 100,154 818,,12 597 190,1 162 994,5 875 399,22 802 540
RSS 10  Nord-du-Québec,231 805,685 755,36 947,,2 115 411,120 824,661 076,3 851 818
RSS 11  Gaspésie--Îles-de-la-Madeleine,2 200 997,3 553 620,127 747,,16 874 136,1 796 286,6 136 355,30 689 140
RSS 12  Chaudière-Appalaches,7 104 538,8 766 750,158 137,,42 619 557,5 861 072,9 521 601,74 031 655
RSS 13  Laval,4 175 075,3 547 152,50 776,,50 853 592,4 850 030,9 142 116,72 618 741
RSS 14  Lanaudière,5 948 604,5 777 164,531 801,,46 615 462,3 088 203,12 649 706,74 610 940
RSS 15  Laurentides,7 271 912,10 026 393,1 106 914,,54 273 695,4 081 754,18 004 936,94 765 605
RSS 16  Montérégie,13 595 485,23 241 519,465 565,,112 466 644,13 095 833,39 836 555,202 701 602
RSS 17  Nunavik,127 653,1 928 001,1 901 734,,2 420 201,106 150,213 701,6 697 440
RSS 18  Terres-Cries-de-la-Baie-James,47 905,117 326,24 358,,3 091 070,56 025,723 036,4 059 720
TOTAL QUÉBEC,113 536 980,160 394 396,11 544 955,,882 589 955,74 996 177,282 101 401,1 525 163 864
