Region,Soins_infirmiers_a_domicile,Aide_a_domicile_(CLSC),Aide_a_domicile_(Allocations),Services_psychosociaux_a_domicile,,Soutien_aux_familles_de_personnes_handicapees_-_Allocations,Nutrition_a_domicile,Intervention_communautaire,Ergotherapie_a_domicile,Physiotherapie_a_domicile,Pret_d'equipement_aux_usagers_des_services_a_domicile,Inhalotherapie_a_domicile,Nutrition_parenterale_totale_a_domicile,Hemodialyse_a_domicile,Gestion_et_soutien_des_services_de_maintien_a_domicile,SOUS-TOTAL,Activites_de_soutien,Organismes_communautaires_a_domicile,TOTAL
,c/a 6170,c/a 6530,c/a 6530,c/a 6561,c/a 6864,c/a 7080,c/a 7111,c/a 7120,c/a 7161,c/a 7162,c/a 7163,c/a 6351,c/a 6250,c/a 6793,c/a 7151,TOTAL,,,
RSS 01  Bas-Saint-Laurent,10 216 267,7 416 443,3 188 302,3 766 727,,565 492,77 154,53 900,1 963 277,1 476 832,344 226,450 349,,,2 633 202,32 152 171,6 422 748,2 795 109,41 370 028
RSS 02  Saguenay--Lac-Saint-Jean,13 472 993,6 601 885,4 237 897,7 907 115,,1 022 803,734 053,,2 632 083,2 994 307,69 945,231 088,,116 495,1 865 957,41 886 621,8 702 228,2 833 506,53 422 355
RSS 03  Capitale Nationale,28 845 507,15 945 734,14 975 025,17 042 682,,2 778 867,703 909,100 926,6 173 757,3 385 412,,,1 394 354,362 658,8 335 296,100 044 127,18 817 869,3 883 111,122 745 107
RSS 04  Mauricie et Centre-du-Québec,20 895 946,15 107 331,10 360 182,10 463 848,,2 352 061,798 207,181 351,4 447 515,3 190 572,413 551,2 113 534,,162 503,4 743 564,75 230 165,14 467 790,1 940 090,91 638 045
RSS 05  Estrie,13 588 430,12 463 049,2 556 241,10 065 658,,847 783,481 326,655 081,3 166 104,1 840 119,645 808,1 727 413,157 039,329 350,3 116 615,51 640 016,11 928 272,2 907 571,66 475 859
RSS 06  Montréal,81 709 267,80 575 883,24 206 799,30 846 720,,9 743 854,1 625 042,2 072 370,14 418 418,9 263 651,2 110 681,3 792 383,4 405 086,1 236 415,18 849 867,284 856 436,59 231 431,12 134 138,356 222 005
RSS 07  Outaouais,10 752 822,8 090 641,4 296 850,5 711 977,,1 183 448,340 890,,2 587 216,1 534 598,456 360,662 047,,144 933,3 282 467,39 044 249,7 501 311,3 102 430,49 647 990
RSS 08  Abitibi-Témiscamingue,5 906 085,5 608 705,1 593 100,4 565 545,,602 861,89 797,284 941,842 918,529 790,,353 769,,,1 731 618,22 109 129,4 677 499,466 818,27 253 446
RSS 09  Côte-Nord,3 960 261,2 387 599,2 404 884,2 786 016,,1 215 512,158 894,251 564,661 108,406 558,,402 364,,,721 548,15 356 308,2 851 552,883 412,19 091 272
RSS 10  Nord-du-Québec,870 444,730 303,105 205,463 883,,41 276,9 258,80 697,104 753,80 745,19 803,60 927,,,56 283,2 623 577,661 154,21 382,3 306 113
RSS 11  Gaspésie--Îles-de-la-Madeleine,6 442 389,4 903 850,4 300 845,2 253 985,,445 650,,,955 071,798 798,124 968,251 709,,,1 416 899,21 894 164,3 997 448,1 031 212,26 922 824
RSS 12  Chaudière-Appalaches,13 711 948,10 304 999,613 840,11 739 175,,1 563 298,468 665,330 826,3 905 468,2 788 782,423 552,1 247 610,,,2 408 256,49 506 419,11 151 348,3 074 615,63 732 382
RSS 13  Laval,15 875 371,12 636 750,2 137 453,9 357 947,,1 437 606,383 513,1 616 364,3 119 347,1 488 316,503 158,1 032 496,,231 832,2 760 062,52 580 215,10 935 080,3 014 868,66 530 163
RSS 14  Lanaudière,13 566 923,11 606 112,6 455 102,5 573 475,,1 455 158,385 117,215 337,2 685 964,2 377 958,1 119 492,1 474 936,,,3 287 109,50 202 683,9 571 435,215 222,59 989 340
RSS 15  Laurentides,20 425 304,12 107 540,7 308 538,8 942 866,,1 966 677,854 124,642 758,4 160 540,3 431 363,568 933,2 591 820,,192 827,4 678 521,67 871 811,13 241 667,2 182 521,83 295 999
RSS 16  Montérégie,46 882 906,30 307 080,13 510 459,21 707 178,,3 961 049,2 292 335,1 852 132,11 584 242,7 909 265,1 733 747,6 695 415,,136 006,10 262 402,158 834 216,32 079 392,5 381 635,196 295 244
RSS 17  Nunavik,1 776 911,1 585 093,,,,111 898,,526 625,85 775,189 910,,,,,336 623,4 612 835,1 055 743,,5 668 578
RSS 18  Terres-Cries-de-la-Baie-James,,4 046 476,,,,,,,,,,,,,,4 046 476,1 049 235,,5 095 711
TOTAL QUÉBEC,308 899 774,242 425 473,102 250 722,153 194 797,,31 295 293,9 402 284,8 864 872,63 493 556,43 686 976,8 534 224,23 087 860,5 956 479,2 913 019,70 486 289,1 074 491 618,218 343 201,45 867 640,1 338 702 459
