Region,Soins_infirmiers_a_domicile,Aide_a_domicile_(CLSC),Aide_a_domicile_(Allocations),Services_psychosociaux_a_domicile,Soutien_aux_familles_de_personnes_handicapees_-_Allocations,Nutrition_a_domicile,Intervention_communautaire_-_Services_de_maintien_a_domicile,Ergotherapie_a_domicile,Physiotherapie_a_domicile,Inhalotherapie_a_domicile,Nutrition_parenterale_totale_a_domicile,Hemodialyse_a_domicile,Gestion_et_soutien_des_services_de_maintien_a_domicile,SOUS-TOTAL,Activites_de_soutien,Organismes_communautaires_a_domicile,TOTAL
,c/a 6170,c/a 6530,c/a 6530,c/a 6561,c/a 7080,c/a 7111,c/a 7120,c/a 7161,c/a 7162,c/a 6351,c/a 6250,c/a 6793,c/a 7151,TOTAL,,,
RSS 01  Bas-Saint-Laurent,10 121 132,6 518 214,2 974 030,2 980 794,574 382,52 394,29 295,1 712 964,1 189 071,334 067,,,2 074 827,28 561 170,5 891 114,2 668 542,37 120 826
RSS 02  Saguenay--Lac-Saint-Jean,11 418 690,4 855 624,3 327 727,5 769 695,1 284 108,524 603,,1 851 724,2 018 583,135 238,,,1 878 357,33 064 349,6 923 989,2 580 529,42 568 867
RSS 03  Capitale Nationale,24 678 367,14 986 301,8 540 504,14 582 767,7 721 478,930 793,605 954,5 329 165,2 730 824,,1 220 119,331 871,8 720 868,90 379 011,17 337 908,2 609 817,110 326 736
RSS 04  Mauricie et Centre-du-Québec,18 386 745,13 067 389,8 410 246,8 983 745,2 027 623,662 154,189 158,3 697 845,2 382 547,1 988 581,,234 976,3 905 897,63 936 906,12 808 615,1 328 029,78 073 550
RSS 05  Estrie,11 709 278,10 439 727,3 040 116,8 227 701,842 819,375 846,636 811,2 345 969,1 591 254,1 710 662,48 838,405 662,3 180 054,44 554 737,10 388 891,2 530 468,57 474 096
RSS 06  Montréal,78 253 875,63 965 419,13 753 310,28 178 840,9 415 936,1 692 608,3 062 420,14 722 232,8 460 719,828 758,3 583 486,1 149 479,21 370 793,248 437 875,54 310 524,9 197 546,311 945 945
RSS 07  Outaouais,9 976 105,6 221 110,3 421 894,5 301 023,1 211 777,288 830,7 564,2 248 834,1 124 583,607 873,,280 627,3 034 295,33 724 515,6 749 406,2 593 758,43 067 679
RSS 08  Abitibi-Témiscamingue,5 326 568,4 928 137,1 515 605,3 793 392,629 272,57 247,270 068,542 659,303 127,300 547,,,1 604 847,19 271 469,4 092 260,320 953,23 684 682
RSS 09  Côte-Nord,3 793 960,2 218 749,1 984 893,2 661 100,1 103 978,122 588,209 314,470 606,267 283,322 726,,,531 746,13 686 943,2 705 464,833 685,17 226 092
RSS 10  Nord-du-Québec,916 243,873 275,103 498,463 145,47 282,7 992,68 104,136 095,75 866,58 517,,,77 853,2 827 870,727 268,20 854,3 575 992
RSS 11  Gaspésie--Îles-de-la-Madeleine,6 062 748,4 400 232,4 427 608,2 012 300,426 901,,,803 818,772 711,259 605,,,1 161 007,20 326 930,3 779 007,902 124,25 008 061
RSS 12  Chaudière-Appalaches,14 753 562,11 550 837,786 718,9 794 016,1 882 396,376 454,387 694,3 533 636,2 512 830,1 272 685,,,2 586 261,49 437 089,11 401 037,2 356 402,63 194 528
RSS 13  Laval,14 508 520,11 334 391,1 394 154,8 224 570,1 252 174,361 165,1 549 146,2 872 977,1 160 167,960 150,,149 512,2 626 746,46 393 672,10 022 438,2 319 833,58 735 943
RSS 14  Lanaudière,12 557 971,9 365 332,6 972 276,4 804 609,1 232 386,287 672,164 010,3 231 075,1 925 163,1 439 929,,,3 374 190,45 354 613,8 686 311,187 213,54 228 137
RSS 15  Laurentides,16 563 988,9 592 673,6 196 555,7 559 251,1 792 538,805 886,686 944,3 994 420,2 720 842,2 494 674,,74 096,4 187 841,56 669 708,11 347 631,1 646 955,69 664 294
RSS 16  Montérégie,42 868 704,23 836 452,10 869 761,16 141 621,4 182 752,1 645 733,1 618 586,10 719 567,6 707 649,6 049 795,,137 677,9 948 400,134 726 697,27 907 068,4 766 264,167 400 029
RSS 17  Nunavik,1 737 724,1 741 219,,,31 825,,634 249,87 231,281 039,,,,272 847,4 786 134,1 176 741,,5 962 875
RSS 18  Terres-Cries-de-la-Baie-James,,4 221 973,,,,,,,,,,,,4 221 973,1 012 689,,5 234 662
TOTAL QUÉBEC,283 634 180,204 117 054,77 718 895,129 478 569,35 659 627,8 191 965,10 119 317,58 300 817,36 224 258,18 763 807,4 852 443,2 763 900,70 536 829,940 361 661,197 268 362,36 862 972,1 174 492 995
