Region,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TED,Deficience_physique,GRAND_TOTAL
RSS 01  Bas-Saint-Laurent,4 869 487,2 824 401,203 991,42 009,19 912 719,883 796,8 384 423,37 120 826
RSS 02  Saguenay--Lac-Saint-Jean,3 260 553,3 711 238,123 805,113 898,21 741 951,2 184 841,11 432 583,42 568 867
RSS 03  Capitale Nationale,11 787 977,12 618 207,483 404,758 671,51 063 165,5 831 678,27 783 635,110 326 736
RSS 04  Mauricie et Centre-du-Québec,5 182 627,7 602 049,191 588,330 680,44 610 198,2 804 967,17 351 442,78 073 550
RSS 05  Estrie,3 211 758,4 789 110,340 460,606 547,35 428 562,2 749 459,10 348 200,57 474 096
RSS 06  Montréal,24 570 550,35 751 294,2 182 323,2 684 918,184 109 917,13 068 947,49 577 995,311 945 945
RSS 07  Outaouais,4 700 637,5 995 266,115 945,36 941,19 989 236,2 389 267,9 840 388,43 067 679
RSS 08  Abitibi-Témiscamingue,1 070 252,1 778 804,178 148,221 947,13 585 284,1 171 709,5 678 539,23 684 682
RSS 09  Côte-Nord,744 388,2 041 650,219 452,193 204,8 871 617,1 259 559,3 896 221,17 226 092
RSS 10  Nord-du-Québec,239 586,539 360,51 346,52 736,2 073 388,114 646,504 930,3 575 992
RSS 11  Gaspésie--Îles-de-la-Madeleine,1 696 962,2 404 899,136 395,10 646,13 770 707,1 297 347,5 691 106,25 008 061
RSS 12  Chaudière-Appalaches,5 580 218,8 257 388,332 874,440 491,35 867 837,4 474 666,8 241 055,63 194 528
RSS 13  Laval,3 639 614,3 955 911,75 475,1 208 236,37 648 092,3 866 665,8 341 950,58 735 943
RSS 14  Lanaudière,4 979 398,5 187 361,133 067,5 084,30 407 225,2 060 092,11 455 911,54 228 137
RSS 15  Laurentides,5 896 750,7 920 133,461 615,125 436,39 999 169,2 682 462,12 578 729,69 664 294
RSS 16  Montérégie,13 768 916,19 599 767,368 091,1 980 869,89 971 082,8 978 442,32 732 862,167 400 029
RSS 17  Nunavik,639 264,479 831,30 268,514 465,3 556 173,47 838,695 036,5 962 875
RSS 18  Terres-Cries-de-la-Baie-James,85 535,148 221,43 818,0,3 914 401,70 775,971 913,5 234 662
TOTAL QUÉBEC,95 924 472,125 604 890,5 672 062,9 326 777,656 520 721,55 937 156,225 506 916,1 174 492 995
