Categorie;Detail1;Detail2;n_2012;n_2013;n_2014;n_2015;n_2016;n_2017;n_2018;n_2019;n_2020;n_2021
Immigration économique;Travailleurs qualifiés;Travailleurs qualifiés;24558;21780;19988;16911;19283;18099;18368;14602;9540;21334
Immigration économique;Gens d'affaires;Entrepreneurs;75;75;88;112;81;163;113;86;x;x
Immigration économique;Gens d'affaires;Travailleurs autonomes;42;58;48;79;43;11;21;41;x;x
Immigration économique;Gens d'affaires;Investisseurs;481;461;555;704;699;703;753;589;326;455
Immigration économique;Autres économiques;Aides familiaux;560;466;498;1032;1045;764;810;623;178;121
Immigration économique;Autres économiques;Autres économiques;21;4;1;0;0;0;0;0;0;0
Regroupement familial;Regroupement familial;Époux, conjoints, partenaires;5792;7564;7590;7383;7898;8296;8627;6343;5843;9718
Regroupement familial;Regroupement familial;Enfants;439;455;509;477;515;606;653;461;306;756
Regroupement familial;Regroupement familial;Adoption internationale;74;82;73;62;53;47;44;48;17;24
Regroupement familial;Regroupement familial;Parents ou grands-parents;899;1353;926;741;893;1480;1329;1628;714;1406
Regroupement familial;Regroupement familial;Autres parents;874;480;148;41;65;56;85;44;33;56
Réfugiés et personnes en situation semblable;Réfugiés et personnes en situation semblable;Réfugiés pris en charge par l'État;728;784;1082;1407;2218;1331;1174;1132;363;738
Réfugiés et personnes en situation semblable;Réfugiés et personnes en situation semblable;Réfugiés parrainés ;360;507;636;2437;3441;3884;3247;2793;907;548
Réfugiés et personnes en situation semblable;Réfugiés et personnes en situation semblable;Autres réfugiés;0;0;0;0;0;0;0;0;0;2
Réfugiés et personnes en situation semblable;Réfugiés et personnes en situation semblable;Réfugiés reconnus sur place;1532;1566;1650;1764;1295;1489;1807;1486;1782;4112
Réfugiés et personnes en situation semblable;Réfugiés et personnes en situation semblable;Membres de la famille d'un réfugié;897;492;487;728;586;783;815;582;318;798
Autres immigrants;Autres immigrants;Autres immigrants;436;434;515;871;995;757;728;466;423;1812
