ï»¿Continent_naissance,Region_naissance,Immigration_economique_personnes_admises,Immigration_economique_personnes_presentes,Regroupement_familial_personnes_admises,Regroupement_familial_personnes_presentes,Refugies_personnes_en_situation_semblable_personnes_admises,Refugies_personnes_en_situation_semblable_personnes_presentes,Autres_immigrants_personnes_admises,Autres_immigrants_personnes_presentes
Afrique,  Afrique occidentale,22 151,17 003,8 380,7 400,2 537,2 191,244,217
Afrique,  Afrique orientale,8 676,6 239,2 028,1 706,4 531,3 754,392,321
Afrique,  Afrique du Nord,63 813,51 335,19 563,17 403,1 589,1 341,231,205
Afrique,  Afrique centrale,15 331,12 154,5 511,4 896,7 086,6 141,550,478
Afrique,  Afrique mÃ©ridionale,207,110,140,108,162,136,9,8
AmÃ©rique,  AmÃ©rique du Nord,3 472,2 065,3 604,2 717,1 023,815,468,412
AmÃ©rique,  AmÃ©rique centrale,3 089,2 164,5 231,4 572,3 411,3 001,418,371
AmÃ©rique,  AmÃ©rique du Sud,20 411,15 556,6 494,5 479,3 946,3 371,219,191
AmÃ©rique,  Antilles,13 381,11 912,15 955,14 036,6 617,5 891,3 263,3 016
Asie,  Moyen-Orient,14 569,7 662,4 481,3 445,22 344,17 754,193,168
Asie,  Asie occ. et centrale,24 477,11 145,3 422,2 575,5 051,3 989,102,81
Asie,  Asie orientale,41 846,14 763,7 810,5 905,104,73,42,39
Asie,  Asie mÃ©ridionale,16 527,5 396,6 989,5 204,5 814,3 742,413,311
Asie,  Asie du Sud-Est,13 693,11 351,5 753,5 025,549,393,117,109
Europe,  Europe occidentale,38 799,30 580,6 325,5 147,95,79,76,58
Europe,  Europe septentrionale,1 532,788,1 197,871,19,12,12,10
Europe,  Europe orientale,21 105,15 404,5 049,3 969,540,427,172,130
Europe,  Europe mÃ©ridionale,2 547,1 953,2 201,1 821,246,196,72,67
OcÃ©anie et autres pays,OcÃ©anie et autres pays,386,264,458,330,10,5,0,0
