ï»¿annee,n_statut_carte_maladie_non_expiree,n_statut_carte_ maladie_expiree,n_personnes_decedees,n_total_personnes_jumelees,n_personnes_non_jumelees,n_total_personnes_admises
2010,37 742,11 298,296,49 336,4 660,53 996
2011,35 557,9 857,289,45 703,6 012,51 715
2012,38 331,9 767,234,48 332,6 701,55 033
2013,37 156,8 900,254,46 310,5 668,51 978
2014,35 980,8 237,136,44 353,5 886,50 239
2015,36 419,5 853,149,42 421,6 554,48 975
2016,40 929,5 439,145,46 513,6 728,53 241
2017,39 989,4 913,110,45 012,7 393,52 405
2018,38 636,5 195,72,43 903,7 220,51 123
2019,29 217,4 389,37,33 643,6 922,40 565
