Categorie;Connaissance_français_anglais_lors_admission;Personnes_immigrantes_femmes_non_presente;Personnes_presentes_femmes;Personnes_immigrantes_hommes_non_presente;Personnes_presentes_hommes
immigration économique ;Français seulement;5149;30293;5878;30407
immigration économique ;Français et anglais;15604;39097;19121;47271
immigration économique ;Anglais seulement;13795;13047;15350;11806
immigration économique ;Ni français ni anglais;12111;14029;12864;14444
immigration économique ;Inf. non disponible;128;187;123;152
Regroupement familial;Français seulement;2021;19855;1667;12006
Regroupement familial;Français et anglais;1292;9317;1297;6663
Regroupement familial;Anglais seulement;3109;12991;3053;10401
Regroupement familial;Ni français ni anglais;2409;10485;1742;6766
Regroupement familial;Inf. non disponible;112;1184;158;1041
Réfugiés et personnes en situation semblable;Français seulement;832;7461;910;6163
Réfugiés et personnes en situation semblable;Français et anglais;373;2446;517;2627
Réfugiés et personnes en situation semblable;Anglais seulement;1991;6414;2543;7532
Réfugiés et personnes en situation semblable;Ni français ni anglais;2463;9862;2393;9025
Réfugiés et personnes en situation semblable;Inf. non disponible;96;699;100;704
Autres immigrants;Français seulement;214;1977;171;1688
Autres immigrants;Français et anglais;67;572;82;697
Autres immigrants;Anglais seulement;96;536;88;399
Autres immigrants;Ni français ni anglais;33;132;8;62
Autres immigrants;Inf. non disponible;x;54;5;41
