Categorie;Connaissance_français_anglais_lors_admission;Personnes_presentes_hommes;Personnes_immigrantes_hommes;Personnes_presentes_femmes;Personnes_immigrantes_femmes
immigration économique ;Français seulement;30416;36326;30190;35261
immigration économique ;Français et anglais;47090;64460;39380;53758
immigration économique ;Anglais seulement;11679;26923;12700;26451
immigration économique ;Ni français ni anglais;13005;24476;12658;23349
immigration économique ;Inf. non disponible;187;318;231;366
Regroupement familial;Français seulement;12294;13989;19975;21984
Regroupement familial;Français et anglais;7197;8617;9901;11205
Regroupement familial;Anglais seulement;10758;13968;13480;16664
Regroupement familial;Ni français ni anglais;7165;9020;10936;13388
Regroupement familial;Inf. non disponible;1074;1249;1226;1352
Réfugiés et personnes en situation semblable;Français seulement;6224;7160;7521;8394
Réfugiés et personnes en situation semblable;Français et anglais;2810;3349;2597;3000
Réfugiés et personnes en situation semblable;Anglais seulement;8001;10698;6711;8760
Réfugiés et personnes en situation semblable;Ni français ni anglais;9273;11719;10070;12602
Réfugiés et personnes en situation semblable;Inf. non disponible;744;882;737;868
Autres immigrants;Français seulement;1971;2192;2382;2667
Autres immigrants;Français et anglais;827;965;718;825
Autres immigrants;Anglais seulement;446;590;632;801
Autres immigrants;Ni français ni anglais;79;90;165;201
Autres immigrants;Inf. non disponible;96;124;121;142
