Categorie;Groupe_age;Personnes_presentes_hommes;Personnes_immigrantes_hommes;Personnes_presentes_femmes;Personnes_immigrantes_femmes
Immigration économique ;    0-4 ans;8989;12548;8493;11648
Immigration économique ;  5-14 ans;15152;22397;14619;21104
Immigration économique ;15-24 ans;6356;11723;6853;11669
Immigration économique ;25-34 ans;39258;54233;39053;53449
Immigration économique ;35-44 ans;26191;37273;21687;31535
Immigration économique ;45-64 ans;6320;13944;4399;9659
Immigration économique ;65 ans et +;111;385;55;121
Regroupement familial;    0-4 ans;2586;2924;2339;2662
Regroupement familial;  5-14 ans;3497;4026;3431;3853
Regroupement familial;15-24 ans;4686;5833;8864;10167
Regroupement familial;25-34 ans;13264;15923;22539;25533
Regroupement familial;35-44 ans;7488;8799;7990;9061
Regroupement familial;45-64 ans;4434;5515;6660;8093
Regroupement familial;65 ans et +;2533;3823;3695;5224
Réfugiés et personnes en situation semblable;    0-4 ans;1848;2299;1751;2162
Réfugiés et personnes en situation semblable;  5-14 ans;6211;7707;5965;7360
Réfugiés et personnes en situation semblable;15-24 ans;4947;6347;4842;5963
Réfugiés et personnes en situation semblable;25-34 ans;4635;5839;5259;6330
Réfugiés et personnes en situation semblable;35-44 ans;4720;5817;4991;5947
Réfugiés et personnes en situation semblable;45-64 ans;4063;4913;3909;4650
Réfugiés et personnes en situation semblable;65 ans et +;628;886;919;1212
Autres immigrants;    0-4 ans;52;62;45;56
Autres immigrants;  5-14 ans;536;636;564;666
Autres immigrants;15-24 ans;429;523;418;498
Autres immigrants;25-34 ans;494;585;692;791
Autres immigrants;35-44 ans;936;1054;1064;1190
Autres immigrants;45-64 ans;858;958;978;1091
Autres immigrants;65 ans et +;114;143;257;344
