ï»¿NOM_MUN_COMPO,CODE_POSTAL_COMPO,PLACE_TOTAL_POUPON,PLACE_TOTAL,CODE_REGION_COMPO,INTERNET,PROVINCE,NOM,TYPE,REGION,ADRESSE,SUBV,telephone1,TELECOPIEUR1
Amqui,G5J 3H7,5,47,1,lesptitsflots@globetrotter.net,QC,"CENTRE DE LA PETITE ENFANCE ""LES P'TITS FLOTS"" INC.",CPE,1 - Bas-Saint-Laurent,"7, rue Saint-Augustin",CR,(418) 629-5363,(418) 629-3731
Amqui,G5J 1H3,10,60,1,lesptitsflots@globetrotter.net,QC,L'ANCRAGE,CPE,1 - Bas-Saint-Laurent,"15, rue Audet",CR,(418) 629-5363,
Cacouna,G0L 1G0,5,21,1,cpedescantons@gmail.com,QC,LE PETIT PORT DE MER,CPE,1 - Bas-Saint-Laurent,"470, rue Beaulieu",CR,(581) 214-0122,(418) 898-2226
Causapscal,G0J 1J0,5,21,1,enfantrit@globetrotter.net,QC,L'ENFANT RIT INC.,CPE,1 - Bas-Saint-Laurent,"154, rue Saint-Luc C.P. 66",CR,(418) 756-6113,(418) 756-6123
DÃ©gelis,G5T 1Y6,10,50,1,cpe@cpebccalinours.ca,QC,"CENTRE DE LA PETITE ENFANCE ""LES CALINOURS"" INSTALLATION DÃGELIS",CPE,1 - Bas-Saint-Laurent,"113, 7e Rue Est",CR,"(418) 854-0255, poste 510",(418) 853-6006
L'Isle-Verte,G0L 1K0,10,34,1,cpedescantons@gmail.com,QC,CENTRE DE LA PETITE ENFANCE DES CANTONS DE RIVIÃRE DU LOUP,CPE,1 - Bas-Saint-Laurent,"10, rue Verreault",CR,(418) 898-2227,(418) 898-2226
La PocatiÃ¨re,G0R 1Z0,0,42,1,cpe@farandole.ca,QC,LES SERVICES DE GARDE LA FARANDOLE,CPE,1 - Bas-Saint-Laurent,"405, 10e Avenue Potvin",CR,(418) 856-1154,(418) 856-1155
La PocatiÃ¨re,G0R 1Z0,20,54,1,cpe@farandole.ca,QC,LES SERVICES DE GARDE LA FARANDOLE,CPE,1 - Bas-Saint-Laurent,"400, 3e Rue Fraser",CR,(418) 856-1154,(418) 856-1155
La PocatiÃ¨re,G0R 1Z0,0,44,1,montessorilapocatiere@gmail.com,QC,PETITE ÃCOLE MONTESSORI DE LA POCATIÃRE,GARD,1 - Bas-Saint-Laurent,"100, 4e avenue Painchaud",CR,"(418) 856-3012, poste 232",(418) 856-5611
Matane,G4W 1K9,20,70,1,dg@cpedelamatanie.ca,QC,CPE LÂ¿ESCOUADE DES BESTIOLES,CPE,1 - Bas-Saint-Laurent,"494, avenue Saint-RÃ©dempteur",CR,(418) 562-9379,(418) 562-9410
Matane,G4W 3T1,20,80,1,dg@cpedelamatanie.ca,QC,L'ÃQUIPAGE DES PETITS,CPE,1 - Bas-Saint-Laurent,"145, boulevard Dion",CR,(418) 562-9379,(418) 562-9410
Matane,G4W 3J4,0,60,1,dg@cpedelamatanie.ca,QC,LA MARMAILLE,CPE,1 - Bas-Saint-Laurent,"335, rue de la Gare",CR,(418) 562-2471,(418) 562-1842
Matane,G4W 2X7,10,68,1,dg@cpedelamatanie.ca,QC,LES P'TITS LOUPS DE MER,CPE,1 - Bas-Saint-Laurent,"210, avenue d'Amours",CR,(418) 566-4794,(418) 562-9410
Mont-Joli,G5H 2V8,0,8,1,directiongenerale@cpemontois.ca,QC,CENTRE DE LA PETITE ENFANCE LA PAS-R-AILES,CPE,1 - Bas-Saint-Laurent,"1564, boulevard Jacques-Cartier",CR,(418) 775-4711,
Mont-Joli,G5H 2M3,10,50,1,directiongenerale@cpemontois.ca,QC,CENTRE DE LA PETITE ENFANCE LES MINI MONTOIS,CPE,1 - Bas-Saint-Laurent,"1280, rue Thibault",CR,(418) 775-4711,
Mont-Joli,G5H 1N9,10,60,1,directiongenerale@cpemontois.ca,QC,CENTRE DE LA PETITE ENFANCE LES P'TITS MONTOIS,CPE,1 - Bas-Saint-Laurent,"69, avenue de la Gare",CR,(418) 775-4711,
MÃ©tis-sur-Mer,G0J 1S0,5,21,1,directiongenerale@cpelespinsons.com,QC,INSTALLATION DE MÃTIS-SUR-MER,CPE,1 - Bas-Saint-Laurent,"24, rue du Couvent",CR,(418) 936-3073,(418) 936-3940
Rimouski,G5N 5E2,10,60,1,les3coins@gmail.com,QC,"CENTRE DE LA PETITE ENFANCE ""LES TROIS COINS""",CPE,1 - Bas-Saint-Laurent,"11, chemin Saint-Joseph",CR,(418) 735-2342,(418) 735-6024
Rimouski,G0L 1B0,5,47,1,cpebic@cgocable.ca,QC,CENTRE DE LA PETITE ENFANCE DU VILLAGE DU BIC,CPE,1 - Bas-Saint-Laurent,"74, rue Sainte-CÃ©cile du Bic",CR,(418) 736-5262,(418) 736-5262
Rimouski,G5L 6J9,5,40,1,da.inst@cpeauroreboreale.com,QC,CENTRE DE LA PETITE ENFANCE L'AURORE BORÃALE,CPE,1 - Bas-Saint-Laurent,"418, rue Rouer",CR,(418) 725-7270,(418) 725-4706
