Laboratoire;Domaines_accrédites;Region;Numero_identification;Adresse;Ville;Code_Postal;Telephone;Telecopieur
Agro-Enviro-Lab;1, 2, 4, 18, 21, 27, 30;Bas-Saint-Laurent;459;1642, rue de la Ferme;Sainte-Anne-de-la-Pocatière (Québec);G0R 1Z0;(418) 867-8883;(418) 856-6718
H2Lab inc.;1, 2, 4, 6, 18, 30;Bas-Saint-Laurent;294;56, Montée Industrielle-et-Commerciale;Rimouski (Québec);G5M 1B1;(418) 723-8660;(418) 723-8988
AGAT Laboratoires;1, 2, 4, 10, 11, 12, 13, 14, 16, 21, 28, 30, 120, 140, 150, 157;Capitale Nationale;405;350, rue Franquet, bureau 10;Québec (Québec);G1P 4P3;(514) 337-1082;418 653-2335
Bureau Veritas Canada (2019) inc.;1, 2, 4, 6, 10, 11, 12, 13, 14, 16, 28, 30, 80, 140, 150;Capitale Nationale;276;2690, rue Dalton;Québec (Québec);G1P 3S4;(418) 658-5784;(418) 658-6594
"Direction générale de la coordination scientifique 
et du Centre d'expertise en analyse environnementale du Québec (MELCCFP)";1, 2, 4, 6, 7, 11, 12, 13, 14, 15, 16, 17, 19, 21, 27, 28, 30, 52, 140, 141, 150, 151, 152, 170, 172, 173, 174, 175, 176, 177, 178, 183, 800, 802;Capitale Nationale;314;2700, rue Einstein, bureau E.2.220;Québec (Québec);G1P 3W8;(418) 643-8225;(418) 643-9023
Eurofins EnvironeX;1, 2, 4, 6, 11, 12, 13, 14, 15, 16, 28, 30, 120, 140, 150, 700;Capitale Nationale;477;4495, boulevard Wilfrid-Hamel, bureau 150;Québec (Québec);G1P 2J7;(418) 977-1220;(418) 614-9777
Labsco inc.;1, 2, 4, 11, 18;Capitale Nationale;511;2405, rue de Celles, unité 5;Québec (Québec);G2C 1K7;581-703-1333;
AGAT Laboratoires ltée;11, 12, 13, 14, 15, 16, 17, 28, 30, 120, 131, 140, 150, 152, 170, 177;Montréal;480;9770, route Transcanadienne;Montréal (Québec);H4S 1V9;(514) 337-1000;(514) 333-3046
Bureau Veritas Canada (2019) inc.;1, 2, 4, 6, 11, 12, 13, 14, 15, 16, 17, 28, 30, 80, 120, 131, 140, 150, 170, 173, 175, 176, 177;Montréal;364;889, Montée de Liesse;Montréal (Québec);H4T 1P5;(514) 448-9001;(514) 448-9199
Ville de Gatineau;1, 2, 11, 12, 13, 14, 15, 27, 28, 30;Outaouais;342;C. P. 1970, succursale Hull;Gatineau (Québec);J8X 3Y9;(819) 663-7345;
H2Lab inc.;1, 2, 4, 11, 12, 13, 14, 15, 16, 17, 28, 30, 140, 150, 700;Abitibi-Témiscamingue;470;125, boulevard Industriel;Rouyn-Noranda (Québec);J9X 6P2;(819) 797-0550;(819) 797-2155
"Direction générale de la coordination scientifique 
et du Centre d'expertise en analyse environnementale du Québec (MELCCFP)";11, 12, 13, 14, 15, 16, 17, 21, 27, 28, 29, 120, 131;Laval;315;850, boulevard Vanier, porte sud ;Laval (Québec);H7C 2M7;(450) 664-1750;(450) 661-8512
Certilab inc.;1, 2, 4, 18, 21, 30;Lanaudière;349;154, rue de la Visitation;Saint-Charles-Borromée (Québec);J6E 4N3;(450) 755-1255;
H2Lab inc.;1, 2, 4, 18, 30;Lanaudière;484;963, rue Papineau;Joliette (Québec);J6E 2L8;(450) 753-1118;
Débit Lab inc.;1, 4, 7;Laurentides;499;283, boul. des Hauteurs;Saint-Jérôme (Québec);J7Y 5E7;(450) 438-6965;(450) 438-9922
H2Lab inc.;1, 2, 4, 6, 18, 21, 29, 30, 700;Laurentides;259;180, boulevard Norbert-Morin;Sainte-Agathe-des-Monts (Québec);J8C 2W5;(819) 326-8690;(819) 326-9324
Stablex Canada Inc.;140;Laurentides;514;760, boulevard industriel;Blainville (Québec);J7C 3V4;450 430-9230;
Biovet inc.;1, 2, 4, 30, 700;Montérégie;474;4375, avenue Beaudry;Sainte-Hyacinthe (Québec);J2S 8W2;(450) 771-7291;(450) 771-4158
Eurofins EnvironeX;1, 2, 4, 6, 11, 12, 13, 14, 15, 16, 17, 19, 28, 30, 120, 131, 140, 150, 151, 152, 170, 175, 176, 177, 700;Montérégie;298;2325, boul. Fernand-Lafontaine;Longueuil (Québec);J4N 1N7;(514) 332-6001;(450) 651-5211
Laboratoire AquaLabo;1, 2, 4, 11, 13, 18, 21, 27, 29, 700;Montérégie;355;2255, rue Principale;Saint-Michel (Québec);J0L 2J0;(514) 374-0454;(514) 374-5687
Bureau Veritas Canada (2019) Inc.;800, 802;Ontario;494;6790 Kitimat Rd, Unit 4;Mississauga (Ontario);L5N 5L9;(905) 823-3080;(905) 826-4151
SGS Canada Inc.;14;Ontario;493;185, Concession St., P.O. Box 4300;Lakefield (Ontario);K0L 2H0;(705) 652-2000;(705) 652-6365
