variableID,Domaine,NomVariable,UniteMesure,AnneeDonne,Ville,noVariablePourFormule,Valeur
6190,Affaires juridiques,Nombre d’heures de travail salariées pour les avocats internes,heure,2014,Montréal,VADM900008,98 280
6190,Affaires juridiques,Nombre d’heures de travail salariées pour les avocats internes,heure,2015,Montréal,VADM900008,107 380
6190,Affaires juridiques,Nombre d’heures de travail salariées pour les avocats internes,heure,2016,Montréal,VADM900008,109 200
6190,Affaires juridiques,Nombre d’heures de travail salariées pour les avocats internes,heure,2017,Montréal,VADM900008,109 312
6190,Affaires juridiques,Nombre d’heures de travail salariées pour les avocats internes,heure,2018,Montréal,VADM900008,117 600
6190,Affaires juridiques,Nombre d’heures de travail salariées pour les avocats internes,heure,2019,Montréal,VADM900008,117 530
6190,Affaires juridiques,Nombre d’heures de travail salariées pour les avocats internes,heure,2020,Montréal,VADM900008,120 000
6989,Affaires juridiques,Dépenses municipales (dépenses de fonctionnement et d’immobilisations),$,2014,Montréal,VADM100045,"4 106 083 526,00"
6989,Affaires juridiques,Dépenses municipales (dépenses de fonctionnement et d’immobilisations),$,2015,Montréal,VADM100045,"4 234 370 860,00"
6989,Affaires juridiques,Dépenses municipales (dépenses de fonctionnement et d’immobilisations),$,2016,Montréal,VADM100045,"4 630 658 035,00"
6989,Affaires juridiques,Dépenses municipales (dépenses de fonctionnement et d’immobilisations),$,2017,Montréal,VADM100045,"5 047 324 896,00"
6989,Affaires juridiques,Dépenses municipales (dépenses de fonctionnement et d’immobilisations),$,2018,Montréal,VADM100045,"5 260 306 443,76"
6989,Affaires juridiques,Dépenses municipales (dépenses de fonctionnement et d’immobilisations),$,2019,Montréal,VADM100045,"5 571 437 438,00"
6989,Affaires juridiques,Dépenses municipales (dépenses de fonctionnement et d’immobilisations),$,2020,Montréal,VADM100045,"5 255 668 084,00"
6177,Affaires juridiques,Frais juridiques internes (affaires civiles),$,2014,Montréal,VJUS100008,"11 655 880,00"
6177,Affaires juridiques,Frais juridiques internes (affaires civiles),$,2015,Montréal,VJUS100008,"12 051 180,00"
6177,Affaires juridiques,Frais juridiques internes (affaires civiles),$,2016,Montréal,VJUS100008,"13 151 828,97"
6177,Affaires juridiques,Frais juridiques internes (affaires civiles),$,2017,Montréal,VJUS100008,"13 718 722,35"
6177,Affaires juridiques,Frais juridiques internes (affaires civiles),$,2018,Montréal,VJUS100008,"13 514 467,32"
6177,Affaires juridiques,Frais juridiques internes (affaires civiles),$,2019,Montréal,VJUS100008,"13 298 177,85"
6177,Affaires juridiques,Frais juridiques internes (affaires civiles),$,2020,Montréal,VJUS100008,"14 637 368,43"
6862,Affaires juridiques,Coûts du soutien aux activités relatifs aux frais juridiques,$,2014,Montréal,VJUS900010,"2 214 617,00"
6862,Affaires juridiques,Coûts du soutien aux activités relatifs aux frais juridiques,$,2015,Montréal,VJUS900010,"1 952 291,00"
6862,Affaires juridiques,Coûts du soutien aux activités relatifs aux frais juridiques,$,2016,Montréal,VJUS900010,"1 959 622,52"
6862,Affaires juridiques,Coûts du soutien aux activités relatifs aux frais juridiques,$,2017,Montréal,VJUS900010,"1 330 622,92"
6862,Affaires juridiques,Coûts du soutien aux activités relatifs aux frais juridiques,$,2018,Montréal,VJUS900010,"1 215 377,32"
6862,Affaires juridiques,Coûts du soutien aux activités relatifs aux frais juridiques,$,2019,Montréal,VJUS900010,"1 312 752,01"
6862,Affaires juridiques,Coûts du soutien aux activités relatifs aux frais juridiques,$,2020,Montréal,VJUS900010,"1 390 621,68"
6038,Approvisionnement,Valeur des appels d’offres octroyés au plus tard le 31 décembre par le service centralisé des achats,$,2014,Montréal,VAPP900010,472 997 433 $
6038,Approvisionnement,Valeur des appels d’offres octroyés au plus tard le 31 décembre par le service centralisé des achats,$,2015,Montréal,VAPP900010,954 194 220 $
6038,Approvisionnement,Valeur des appels d’offres octroyés au plus tard le 31 décembre par le service centralisé des achats,$,2016,Montréal,VAPP900010,709 445 785 $
6038,Approvisionnement,Valeur des appels d’offres octroyés au plus tard le 31 décembre par le service centralisé des achats,$,2017,Montréal,VAPP900010,777 799 127 $
6038,Approvisionnement,Valeur des appels d’offres octroyés au plus tard le 31 décembre par le service centralisé des achats,$,2018,Montréal,VAPP900010,1 749 006 019 $
6038,Approvisionnement,Valeur des appels d’offres octroyés au plus tard le 31 décembre par le service centralisé des achats,$,2019,Montréal,VAPP900010,750 029 078 $
6038,Approvisionnement,Valeur des appels d’offres octroyés au plus tard le 31 décembre par le service centralisé des achats,$,2020,Montréal,VAPP900010,964 232 868 $
6040,Approvisionnement,Valeur des achats municipaux de biens et services,$,2014,Montréal,VAPP900012,1 515 494 087 $
6040,Approvisionnement,Valeur des achats municipaux de biens et services,$,2015,Montréal,VAPP900012,1 577 214 313 $
6040,Approvisionnement,Valeur des achats municipaux de biens et services,$,2016,Montréal,VAPP900012,1 836 344 114 $
6040,Approvisionnement,Valeur des achats municipaux de biens et services,$,2017,Montréal,VAPP900012,2 139 750 284 $
6040,Approvisionnement,Valeur des achats municipaux de biens et services,$,2018,Montréal,VAPP900012,2 479 340 748 $
6040,Approvisionnement,Valeur des achats municipaux de biens et services,$,2019,Montréal,VAPP900012,2 674 542 831 $
6040,Approvisionnement,Valeur des achats municipaux de biens et services,$,2020,Montréal,VAPP900012,2 324 877 715 $
6910,Approvisionnement,Nombre d’employés du service centralisé des achats (hors employés des magasins),Quantité,2017,Montréal,VAPP900033,131
6910,Approvisionnement,Nombre d’employés du service centralisé des achats (hors employés des magasins),Quantité,2018,Montréal,VAPP900033,118
6910,Approvisionnement,Nombre d’employés du service centralisé des achats (hors employés des magasins),Quantité,2019,Montréal,VAPP900033,"110,94"
6910,Approvisionnement,Nombre d’employés du service centralisé des achats (hors employés des magasins),Quantité,2020,Montréal,VAPP900033,"117,65"
6044,Approvisionnement,Nombre d'offres reçues dans le cadre d'appels d'offres,Quantité,2014,Montréal,VAPP900016,2 542
6044,Approvisionnement,Nombre d'offres reçues dans le cadre d'appels d'offres,Quantité,2015,Montréal,VAPP900016,3 162
6044,Approvisionnement,Nombre d'offres reçues dans le cadre d'appels d'offres,Quantité,2016,Montréal,VAPP900016,3 027
6044,Approvisionnement,Nombre d'offres reçues dans le cadre d'appels d'offres,Quantité,2017,Montréal,VAPP900016,2 840
6044,Approvisionnement,Nombre d'offres reçues dans le cadre d'appels d'offres,Quantité,2018,Montréal,VAPP900016,2 986
6044,Approvisionnement,Nombre d'offres reçues dans le cadre d'appels d'offres,Quantité,2019,Montréal,VAPP900016,2 454
6044,Approvisionnement,Nombre d'offres reçues dans le cadre d'appels d'offres,Quantité,2020,Montréal,VAPP900016,2 621
6045,Approvisionnement,Nombre total d'appels d'offres créés,Quantité,2014,Montréal,VAPP900017,586
6045,Approvisionnement,Nombre total d'appels d'offres créés,Quantité,2015,Montréal,VAPP900017,726
6045,Approvisionnement,Nombre total d'appels d'offres créés,Quantité,2016,Montréal,VAPP900017,656
6045,Approvisionnement,Nombre total d'appels d'offres créés,Quantité,2017,Montréal,VAPP900017,630
6045,Approvisionnement,Nombre total d'appels d'offres créés,Quantité,2018,Montréal,VAPP900017,582
6045,Approvisionnement,Nombre total d'appels d'offres créés,Quantité,2019,Montréal,VAPP900017,328
6045,Approvisionnement,Nombre total d'appels d'offres créés,Quantité,2020,Montréal,VAPP900017,319
6969,Approvisionnement,Coûts directs du service centralisé des achats,$,2014,Montréal,VAPP100035,9 191 284 $
6969,Approvisionnement,Coûts directs du service centralisé des achats,$,2015,Montréal,VAPP100035,8 083 179 $
6969,Approvisionnement,Coûts directs du service centralisé des achats,$,2016,Montréal,VAPP100035,7 878 865 $
6969,Approvisionnement,Coûts directs du service centralisé des achats,$,2017,Montréal,VAPP100035,12 348 153 $
6969,Approvisionnement,Coûts directs du service centralisé des achats,$,2018,Montréal,VAPP100035,11 016 692 $
6969,Approvisionnement,Coûts directs du service centralisé des achats,$,2019,Montréal,VAPP100035,11 378 882 $
6969,Approvisionnement,Coûts directs du service centralisé des achats,$,2020,Montréal,VAPP100035,11 756 891 $
6970,Approvisionnement,Coûts du soutien aux activités du service centralisé des achats,$,2014,Montréal,VAPP100036,1 433 840 $
6970,Approvisionnement,Coûts du soutien aux activités du service centralisé des achats,$,2015,Montréal,VAPP100036,1 317 558 $
6970,Approvisionnement,Coûts du soutien aux activités du service centralisé des achats,$,2016,Montréal,VAPP100036,1 173 951 $
6970,Approvisionnement,Coûts du soutien aux activités du service centralisé des achats,$,2017,Montréal,VAPP100036,1 205 438 $
6970,Approvisionnement,Coûts du soutien aux activités du service centralisé des achats,$,2018,Montréal,VAPP100036,998 775 $
6970,Approvisionnement,Coûts du soutien aux activités du service centralisé des achats,$,2019,Montréal,VAPP100036,1 133 068 $
6970,Approvisionnement,Coûts du soutien aux activités du service centralisé des achats,$,2020,Montréal,VAPP100036,1 125 353 $
6064,Bibliothèques,Population de la Ville de Montréal,habitants,2015,Montréal,VPOP900002,1 753 034
6064,Bibliothèques,Population de la Ville de Montréal,habitants,2016,Montréal,VPOP900002,1 765 616
6064,Bibliothèques,Population de la Ville de Montréal,habitants,2017,Montréal,VPOP900002,1 777 058
6064,Bibliothèques,Population de la Ville de Montréal,habitants,2018,Montréal,VPOP900002,1 757 366
6064,Bibliothèques,Population de la Ville de Montréal,habitants,2019,Montréal,VPOP900002,1 801 546
6064,Bibliothèques,Population de la Ville de Montréal,habitants,2020,Montréal,VPOP900002,1 825 208
6198,Bibliothèques,Coûts directs relatifs aux bibliothèques,$,2015,Montréal,VBIB100011,76 285 786 $
6198,Bibliothèques,Coûts directs relatifs aux bibliothèques,$,2016,Montréal,VBIB100011,80 916 078 $
6198,Bibliothèques,Coûts directs relatifs aux bibliothèques,$,2017,Montréal,VBIB100011,84 840 844 $
6198,Bibliothèques,Coûts directs relatifs aux bibliothèques,$,2018,Montréal,VBIB100011,87 709 352 $
6198,Bibliothèques,Coûts directs relatifs aux bibliothèques,$,2019,Montréal,VBIB100011,87 140 391 $
6198,Bibliothèques,Coûts directs relatifs aux bibliothèques,$,2020,Montréal,VBIB100011,90 229 634 $
6864,Bibliothèques,Coûts du soutien aux activités relatifs aux bibliothèques,$,2015,Montréal,VBIB100046,25 674 470 $
6864,Bibliothèques,Coûts du soutien aux activités relatifs aux bibliothèques,$,2016,Montréal,VBIB100046,25 228 237 $
6864,Bibliothèques,Coûts du soutien aux activités relatifs aux bibliothèques,$,2017,Montréal,VBIB100046,18 617 752 $
6864,Bibliothèques,Coûts du soutien aux activités relatifs aux bibliothèques,$,2018,Montréal,VBIB100046,17 918 523 $
6864,Bibliothèques,Coûts du soutien aux activités relatifs aux bibliothèques,$,2019,Montréal,VBIB100046,18 290 408 $
6864,Bibliothèques,Coûts du soutien aux activités relatifs aux bibliothèques,$,2020,Montréal,VBIB100046,19 212 239 $
6199,Bibliothèques,Amortissement relatif aux bibliothèques,$,2015,Montréal,VBIB100012,3 411 958 $
6199,Bibliothèques,Amortissement relatif aux bibliothèques,$,2016,Montréal,VBIB100012,2 439 510 $
6199,Bibliothèques,Amortissement relatif aux bibliothèques,$,2017,Montréal,VBIB100012,3 737 258 $
6199,Bibliothèques,Amortissement relatif aux bibliothèques,$,2018,Montréal,VBIB100012,8 105 135 $
6199,Bibliothèques,Amortissement relatif aux bibliothèques,$,2019,Montréal,VBIB100012,7 564 966 $
6199,Bibliothèques,Amortissement relatif aux bibliothèques,$,2020,Montréal,VBIB100012,4 172 159 $
6811,Bibliothèques,Revenus d’autres municipalités aux bibliothèques,$,2015,Montréal,VBIB100041,28 754 000
