KPIID,Domaine,NomIndicateur,UniteMesure,noIndicateur,TypeIndicateur,ville,DateDonnee,Calcul,Valeur
2512,Affaires juridiques,Coût des frais juridiques internes pour 1 000 $ de dépenses municipales,$,LEGL252,REMC,Montréal,2014,( VJUS100008 + VJUS900010 ) / ( VADM100045 * 1000 ),"3,38$"
2512,Affaires juridiques,Coût des frais juridiques internes pour 1 000 $ de dépenses municipales,$,LEGL252,REMC,Montréal,2015,( VJUS100008 + VJUS900010 ) / ( VADM100045 * 1000 ),"3,31$"
2512,Affaires juridiques,Coût des frais juridiques internes pour 1 000 $ de dépenses municipales,$,LEGL252,REMC,Montréal,2016,( VJUS100008 + VJUS900010 ) / ( VADM100045 * 1000 ),"3,26$"
2512,Affaires juridiques,Coût des frais juridiques internes pour 1 000 $ de dépenses municipales,$,LEGL252,REMC,Montréal,2017,( VJUS100008 + VJUS900010 ) / ( VADM100045 * 1000 ),"2,98$"
2512,Affaires juridiques,Coût des frais juridiques internes pour 1 000 $ de dépenses municipales,$,LEGL252,REMC,Montréal,2018,( VJUS100008 + VJUS900010 ) / ( VADM100045 * 1000 ),"2,80$"
2512,Affaires juridiques,Coût des frais juridiques internes pour 1 000 $ de dépenses municipales,$,LEGL252,REMC,Montréal,2019,( VJUS100008 + VJUS900010 ) / ( VADM100045 * 1000 ),"2,62$"
2512,Affaires juridiques,Coût des frais juridiques internes pour 1 000 $ de dépenses municipales,$,LEGL252,REMC,Montréal,2020,( VJUS100008 + VJUS900010 ) / ( VADM100045 * 1000 ),"3,05$"
2516,Affaires juridiques,Coût des heures de travail pour les avocats salariés,$,LEGL315,REMC,Montréal,2014,( VJUS100008 + VJUS900010 ) / VADM900008,"141,13$"
2516,Affaires juridiques,Coût des heures de travail pour les avocats salariés,$,LEGL315,REMC,Montréal,2015,( VJUS100008 + VJUS900010 ) / VADM900008,"130,41$"
2516,Affaires juridiques,Coût des heures de travail pour les avocats salariés,$,LEGL315,REMC,Montréal,2016,( VJUS100008 + VJUS900010 ) / VADM900008,"138,38$"
2516,Affaires juridiques,Coût des heures de travail pour les avocats salariés,$,LEGL315,REMC,Montréal,2017,( VJUS100008 + VJUS900010 ) / VADM900008,"137,67$"
2516,Affaires juridiques,Coût des heures de travail pour les avocats salariés,$,LEGL315,REMC,Montréal,2018,( VJUS100008 + VJUS900010 ) / VADM900008,"125,25$"
2516,Affaires juridiques,Coût des heures de travail pour les avocats salariés,$,LEGL315,REMC,Montréal,2019,( VJUS100008 + VJUS900010 ) / VADM900008,"124,32$"
2516,Affaires juridiques,Coût des heures de travail pour les avocats salariés,$,LEGL315,REMC,Montréal,2020,( VJUS100008 + VJUS900010 ) / VADM900008,"133,57$"
2412,Approvisionnement,Coûts d’exploitation du service centralisé des achats pour 1 000 $ d’achats de biens et services octroyés (fonctionnement et investissement) par le service centralisé des achats via un processus d'approvisionnement,$,FPUR362,REMC,Montréal,2014,( VAPP100035 + VAPP100036 ) / ( VAPP900010 / 1000 ),"22,46"
2412,Approvisionnement,Coûts d’exploitation du service centralisé des achats pour 1 000 $ d’achats de biens et services octroyés (fonctionnement et investissement) par le service centralisé des achats via un processus d'approvisionnement,$,FPUR362,REMC,Montréal,2015,( VAPP100035 + VAPP100036 ) / ( VAPP900010 / 1000 ),"9,85"
2412,Approvisionnement,Coûts d’exploitation du service centralisé des achats pour 1 000 $ d’achats de biens et services octroyés (fonctionnement et investissement) par le service centralisé des achats via un processus d'approvisionnement,$,FPUR362,REMC,Montréal,2016,( VAPP100035 + VAPP100036 ) / ( VAPP900010 / 1000 ),"12,76"
2412,Approvisionnement,Coûts d’exploitation du service centralisé des achats pour 1 000 $ d’achats de biens et services octroyés (fonctionnement et investissement) par le service centralisé des achats via un processus d'approvisionnement,$,FPUR362,REMC,Montréal,2017,( VAPP100035 + VAPP100036 ) / ( VAPP900010 / 1000 ),"17,43"
2412,Approvisionnement,Coûts d’exploitation du service centralisé des achats pour 1 000 $ d’achats de biens et services octroyés (fonctionnement et investissement) par le service centralisé des achats via un processus d'approvisionnement,$,FPUR362,REMC,Montréal,2018,( VAPP100035 + VAPP100036 ) / ( VAPP900010 / 1000 ),"6,87"
2412,Approvisionnement,Coûts d’exploitation du service centralisé des achats pour 1 000 $ d’achats de biens et services octroyés (fonctionnement et investissement) par le service centralisé des achats via un processus d'approvisionnement,$,FPUR362,REMC,Montréal,2019,( VAPP100035 + VAPP100036 ) / ( VAPP900010 / 1000 ),"16,68"
2412,Approvisionnement,Coûts d’exploitation du service centralisé des achats pour 1 000 $ d’achats de biens et services octroyés (fonctionnement et investissement) par le service centralisé des achats via un processus d'approvisionnement,$,FPUR362,REMC,Montréal,2020,( VAPP100035 + VAPP100036 ) / ( VAPP900010 / 1000 ),"13,36"
2413,Approvisionnement,Nombre moyen d'offres par appel d'offres,Quantité,FPUR415,REMC,Montréal,2014,VAPP900016 / VAPP900017,"4,34"
