ï»¿Annee,Dette_directe_con_$,Dette_directe_con_%,Passif_net_retraites_ASF,Moins_fonds_generations,Dette_brute_$,Dette_brute_%
2023-2024,257 107 000 000,47.0,2 860 000 000,-22 650 000 000,237 317 000 000,43.4
2022-2023,243 083 000 000,45.6,6 537 000 000,-18 751 000 000,230 869 000 000,43.3
2021-2022,226 335 000 000,45.5,9 599 000 000,-15 500 000 000,220 434 000 000,44.3
2020-2021,209 916 000 000,46.7,12 368 000 000,-12 212 000 000,210 072 000 000,46.8
2019-2020,192 975 000 000,41.9,14 716 000 000,-8 899 000 000,198 792 000 000,43.2
2018-2019,189 029 000 000,43.0,18 362 000 000,-8 293 000 000,199 098 000 000,45.3
2017-2018,191 984 000 000,45.9,21 903 000 000,-12 816 000 000,201 071 000 000,48.0
2016-2017,189 366 000 000,47.4,24 647 000 000,-10 523 000 000,203 490 000 000,51.0
2015-2016,185 124 000 000,47.8,26 745 000 000,-8 522 000 000,203 347 000 000,52.5
2014-2015,182 723 000 000,48.5,28 172 000 000,-6 938 000 000,203 957 000 000,54.1
2013-2014,174 794 000 000,47.8,28 672 000 000,-5 659 000 000,197 807 000 000,54.1
2012-2013,168 612 000 000,47.5,28 492 000 000,-5 238 000 000,191 866 000 000,54.0
2011-2012,158 887 000 000,46.0,28 774 000 000,-4 277 000 000,183 384 000 000,53.0
2010-2011,147 748 000 000,44.9,29 125 000 000,-3 437 000 000,173 436 000 000,52.7
2009-2010,136 074 000 000,43.1,29 921 000 000,-2 677 000 000,163 318 000 000,51.8
2008-2009,129 745 000 000,41.1,29 837 000 000,-1 952 000 000,157 630 000 000,50.0
2008-2009,124 629 000 000,39.5,29 837 000 000,-1 952 000 000,152 514 000 000,48.4
2007-2008,118 032 000 000,38.5,32 426 000 000,-1 233 000 000,149 225 000 000,48.6
2006-2007,110 412 000 000,37.9,34 677 000 000,-584 000 000,144 505 000 000,49.6
2005-2006,103 339 000 000,36.8,36 389 000 000,,139 728 000 000,49.7
2004-2005,98 842 000 000,36.2,38 052 000 000,,136 894 000 000,50.2
2003-2004,93 325 000 000,35.9,39 906 000 000,,133 231 000 000,51.2
2002-2003,89 083 000 000,35.6,40 052 000 000,,129 135 000 000,51.5
2001-2002,84 451 000 000,35.3,39 461 000 000,,123 912 000 000,51.8
2000-2001,80 108 000 000,34.7,40 454 000 000,,120 562 000 000,52.2
1999-2000,76 166 000 000,35.2,40 595 000 000,,116 761 000 000,54.0
1998-1999,73 803 000 000,36.7,41 629 000 000,,115 432 000 000,57.4
1997-1998,69 995 000 000,36.2,41 530 000 000,,111 525 000 000,57.6
1996-1997,52 625 000 000,28.4,25 461 000 000,,78 086 000 000,42.2
1995-1996,52 886 000 000,29.1,23 624 000 000,,76 510 000 000,42.0
1994-1995,52 468 000 000,30.1,21 997 000 000,,74 465 000 000,42.7
1993-1994,45 160 000 000,27.3,20 483 000 000,,65 643 000 000,39.7
1992-1993,39 231 000 000,24.3,19 668 000 000,,58 899 000 000,36.5
1991-1992,33 106 000 000,20.9,18 143 000 000,,51 249 000 000,32.4
1990-1991,29 637 000 000,19.0,16 227 000 000,,45 864 000 000,29.4
1989-1990,27 699 000 000,18.4,14 320 000 000,,42 019 000 000,27.9
1988-1989,27 091 000 000,18.8,12 597 000 000,,39 688 000 000,27.6
1987-1988,26 819 000 000,20.3,10 883 000 000,,37 702 000 000,28.6
1986-1987,25 606 000 000,21.3,9 353 000 000,,34 959 000 000,29.1
1985-1986,23 633 000 000,21.4,7 998 000 000,,31 631 000 000,28.6
1984-1985,21 216 000 000,20.5,6 729 000 000,,27 945 000 000,27.0
1983-1984,18 880 000 000,20.0,5 545 000 000,,24 425 000 000,25.9
1982-1983,16 485 000 000,18.8,4 489 000 000,,20 974 000 000,24.0
1981-1982,14 184 000 000,17.2,3 428 000 000,,17 612 000 000,21.3
1980-1981,12 247 000 000,16.4,2 420 000 000,,14 667 000 000,19.7
1979-1980,9 472 000 000,14.2,1 598 000 000,,11 070 000 000,16.6
1978-1979,8 325 000 000,14.0,915 000 000,,9 240 000 000,15.5
1977-1978,7 111 000 000,13.2,620 000 000,,7 731 000 000,14.4
1976-1977,6 035 000 000,12.3,354 000 000,,6 389 000 000,13.1
1975-1976,4 955 000 000,11.8,179 000 000,,5 134 000 000,12.3
