#accreditation,Nom_employeur,Adresse_employeur,Nom_association,Syndicat,Statut_arret_de_travail,Secteur_Prive_Public,Secteur_activite_economique,Code_activite_economique,Region_administrative,Nombre_de_travailleurs_touches,Nombre_de_jours_personnes_perdus_dans_annee,Debut_du_conflit,Date_de_fin,Date_expiration_derniere_convention_collective,Nombre_ jours_personnes_perdus_depuis_debut_du_conflit,Duree_jours_ouvrables_depuis_debut,
AC30000441,College Notre-Dame,3791. chemin Queen-Mary.  Montreal H3V1A8,Syndicat des employees et employes professionnels-les et de bureau. section locale 574 SEPB CTC-FTQ,FTQ,Greve,Prive,Services d'enseignement,8511,Montreal,90,90,2023-01-13,2023-06-01,,90,1,
AC30000661,Les Autobus Transco (1988) inc.,8201. rue Elmslie.  Montreal H8N2W6,Syndicat des travailleuses et travailleurs de Transco - CSN,CSN,Greve,Prive,Transports,4573,Montreal,284,14476,2023-10-31,,2022-06-30,14476,44,
AM20020586,La Coop Novago,839. rue Papineau.  Joliette J6E2L6,Syndicat des travailleuses et travailleurs de la Coop Lanaudiere CSN,CSN,Greve,Prive,Industries des aliments,1061,Lanaudiere,26,10069,2021-08-13,2023-01-17,2019-09-30,12474,472,
AC30001009,Societe quebecoise du cannabis (SQDC),7500. rue Tellier.  Montreal H1N3W5,Syndicat canadien de la fonction publique. section locale 5454,FTQ,Greve,Public,Autres commerces de detail,6599,Outaouais,9,2025,2022-10-25,,,2466,274,
AC30001263,Societe quebecoise du cannabis,7355. rue Notre-Dame Est.  Montreal H1N3S7,Syndicat canadien de la fonction publique. section locale 5454,FTQ,Greve,Public,Autres services publics,4999,Lanaudiere,12,2563,2022-12-13,,,2682,313,
AQ20002359,Hema-Quebec,4045. boulevard de la Cote-Vertu.  Montreal H4R2W7,Syndicat des infirmieres et infirmieres auxiliaires de Hema-Quebec (CSN),CSN,Greve,Public,Services de sante et services sociaux,8685,Capitale-Nationale,77,116,2022-02-17,2023-03-19,2019-03-31,116,2,
AC30001425,Societe quebecoise du cannabis,7355. rue Notre-Dame Est.  Montreal H1N3S7,Syndicat canadien de la fonction publique. section locale 5454,FTQ,Greve,Public,Autres commerces de detail,6599,Abitibi-Temiscamingue,7,7,2023-03-27,2023-11-13,,7,1,
AQ20016672,Ambulances Plessisville. une division de Dessercom inc.,5600. rue J.-B.-Michaud.  Levis G6V0N9,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Centre-du-Quebec,0,0,2022-04-15,2023-06-19,,0,418,
AQ20022121,Services Prehospitaliers Paraxion inc.,309. rue des Entrepreneurs.  Montmagny G5V4S9,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Cote-Nord,0,0,2022-04-15,2023-06-19,,0,418,
AC30001464,ILSC Education Group,443 Av University M5G2H6,STT ILSC (Montreal),CSN,Greve,Public,Services d'enseignement,8541,Montreal,40,40,2023-11-22,,,40,1,
AC30002625,Centre d'hebergement et de soins de longue duree Cote-Jardin inc.,880.  avenue Painchaud.  Quebec G1S0A3,Syndicat quebecois des employees et employes de service. section locale 298 (FTQ),FTQ,Greve,Public,Services de sante et services sociaux,8628,Capitale-Nationale,0,0,2023-11-06,,,0,1,
AC30002626,Centre d'hebergement et de soins de longue duree Cote-Jardin inc.,880.  avenue Painchaud.  Quebec G1S0A3,Syndicat des professionnelles en soins de Quebec (SPSQ) (FIQP),IND PRO,Greve,Public,Services de sante et services sociaux,8628,Capitale-Nationale,0,0,2023-11-08,,,0,2,
