Numero_accreditation,Nom_employeur,Adresse_employeur,Nom_association,Sigle_du_syndicat,Statut_arret_de_travail,Secteur_origine,Secteur_activite_economique,Code_activite_economique,Region_administrative,Nombre_de_travailleurs_touches,Nombre_de jours_personnes_perdus_dans_annee,Date_de_debut_arret_de_travail,Date_de_fin_arret_de_travail,Date_expiration_de_la_derniere_convention_collective,Nombre_jours_personnes_perdus_depuis_debut_arret_de_travail,Duree_en_jours_civils_en_2018
AQ10056085,Delastek inc.,2699 5e Avenue  Grand-Mère G9T2P7,Unifor section locale 1209,FTQ,Grève,Privé,Industries du matériel de transport,3211,Mauricie,49,2401,2015-04-01,2018-03-11,2015-03-31,36946,70
AQ10056123,Bérubé Chevrolet Cadillac Buick GMC ltée,101 boulevard Cartier  Rivière-du-Loup G5R2N3,Syndicat national des employés de garage du Québec inc.,CSD,Grève et lock-out,Privé,Commerces de détail des véhicules automobiles pièces et accessoires,6311,Bas-Saint-Laurent,13,2275,2016-07-08,2018-09-03,2016-02-25,6370,246
AM20011139,Ambulance Demers inc.,727 rue Laurier  Beloeil J3G4J7,Fraternité des travailleurs et travailleuses du préhospitalier du Québec section locale 592 ,FTQ,Grève,Privé,Services de santé et services sociaux,8689,Montérégie,101,0,2017-02-02,2018-02-23,2015-03-31,0,54
AM20011026,Ambulance Demers inc.,727 rue Laurier  Beloeil J3G4J7,Fraternité des travailleurs et travailleuses du préhospitalier du Québec section locale 592,FTQ,Grève,Privé,Services de santé et services sociaux,8689,Montérégie,69,0,2017-02-02,2018-02-23,2015-03-31,0,54
AQ20013041,Ambulance Serge Richard inc. (Ambulance 22-22),2591 5e Avenue  Grand-Mère G9T2P5,Fraternité des travailleurs et travailleuses du préhospitalier du Québec section locale 592,FTQ,Grève,Privé,Services de santé et services sociaux,8689,Mauricie,25,0,2017-02-02,2018-02-23,2015-03-31,0,54
AM20011562,Ambulances Acton Vale une division de Dessercom inc.,5636 rue des Aulnaies  Lévis G6V5B4,Fraternité des travailleurs et travailleuses du préhospitalier du Québec section locale 592,FTQ,Grève,Privé,Services de santé et services sociaux,8689,Montérégie,61,0,2017-02-02,2018-02-23,2015-03-31,0,54
AQ20011143,Ambulances A.M.S. inc.,145 avenue Gaétan-Archambault  Amqui G5J2K6,Fraternité des travailleurs et travailleuses du préhospitalier du Québec section locale 592,FTQ,Grève,Privé,Services de santé et services sociaux,8689,Bas-Saint-Laurent,25,0,2017-02-02,2018-02-23,2015-03-31,0,54
AM20011024,Ambulances Asbestos une division de Dessercom inc.,5636 rue des Aulnaies  Lévis G6V5B4,Fraternité des travailleurs et travailleuses du préhospitalier du Québec section locale 592,FTQ,Grève,Privé,Services de santé et services sociaux,8689,Estrie,27,0,2017-02-02,2018-02-23,2015-03-31,0,54
AM20017150,Ambulances Granby une division de Dessercom inc.,5600 rue J.-B.-Michaud  Lévis G6V0N9,Fraternité des travailleurs et travailleuses du préhospitalier du Québec section locale 592,FTQ,Grève,Privé,Services de santé et services sociaux,8689,Montérégie,77,0,2017-02-02,2018-02-23,,0,54
AM20015754,Ambulances Richelieu inc.,151 avenue de l'Hôtel-Dieu Sorel-Tracy QC  J3P1M2,Fraternité des travailleurs et travailleuses du préhospitalier du Québec section locale 592,FTQ,Grève,Privé,Services de santé et services sociaux,8689,Montérégie,39,0,2017-02-02,2018-02-23,,0,54
AM20011124,Ambulances Senneterre inc.,501 5e Avenue C.P. 1058  Senneterre J0Y2M0,Fraternité des travailleurs et travailleuses du préhospitalier du Québec section locale 592,FTQ,Grève,Privé,Services de santé et services sociaux,8689,Abitibi-Témiscamingue,10,0,2017-02-02,2018-02-23,2015-03-31,0,54
