Numero_accreditation,Nom_employeur,Adresse_employeur,Nom_association,Syndicat,Statut_arret_de_travail,Secteur_Prive_Public,Secteur_activite_economique,Code_activite_economique,Region_administrative,Nombre_de_travailleurs_touches,Nombre_de_jours_personnes_perdus_dans_annee,Debut_du_conflit,Date_de_fin,Date_expiration_derniere_convention_collective,Nombre_ jours_personnes_perdus_depuis_debut_du_conflit,Duree_jours_ouvrables_2021,
AF20011918,Association des employeurs maritimes,2100 avenue Pierre-Dupuy aile no 2 bureau 1040 Cite du Havre Montreal H3C3R5,Syndicat des Debardeurs (SCFP) section locale 375,FTQ,Greve,Prive,Transports,4552,Montreal,804,7232,2020-07-27,2021-04-30,2018-12-31,11250,14,,
AM20012728,Gate Gourmet Canada inc.,1185 rue Rodolphe-Page Dorval H4Y1H3,Unifor,FTQ,Greve et lock-out,Prive,Restauration,9214,Montreal,14,229,2020-11-10,2021-01-17,2020-05-31,950,67,,
AM10027293,Shell Canada limitee,10501 rue Sherbrooke Est Montreal-Est (Quebec),Unifor section locale 121,FTQ,Lock-out,Prive,Industries des produits du petrole et du charbon,3611,Montreal,17,2550,2020-11-27,2021-07-29,2019-03-31,2975,175,,
AQ20021704,Autobus Fleur de Lys Division Shawinigan inc.,2591 avenue de la Rotonde Levis G6X2M2,Syndicat des salaries d'entreprises en transport par autobus de la region de la Mauricie-Centre-du-Quebec (CSD),CSD,Greve,Prive,Transports,4572,Mauricie,18,5,2021-02-15,2021-02-15,,5,1,,
AM20021320,Sodem inc.,4750 avenue Henri-Julien Montreal H2T2C8,Syndicat des travailleuses et travailleurs des centres aquatiques du Quebec - CSN,CSN,Greve,Prive,Services de divertissements et de loisirs,9697,Montreal,23,91,2021-03-01,2021-03-10,,91,4,,
AM20021685,Sodem inc.,4750 avenue Henri-Julien Montreal H2T2C8,Syndicat des travailleuses et travailleurs des centres aquatiques du Quebec - CSN,CSN,Greve,Prive,Services de divertissements et de loisirs,9697,Montreal,59,237,2021-03-01,2021-03-10,,237,4,,
AM20020266,Sodem inc.,4750 avenue Henri-Julien Montreal H2T2C8,Syndicat des travailleuses et travailleurs des centres aquatiques du Quebec - CSN,CSN,Greve,Prive,Services de divertissements et de loisirs,9697,Montreal,48,191,2021-03-01,2021-03-10,,191,4,,
AM20021684,Sodem inc.,4750 avenue Henri-Julien Montreal H2T2C8,Syndicat des travailleuses et travailleurs des centres aquatiques du Quebec - CSN,CSN,Greve,Prive,Services de divertissements et de loisirs,9697,Monteregie,34,134,2021-03-01,2021-03-10,,134,4,,
AM20022112,Dima import-export inc.,12020 boulevard Albert-Hudon Montreal H1G3K7,Syndicat des travailleuses et travailleurs du commerce - CSN,CSN,Greve,Prive,Commerces de detail des aliments boissons medicaments et tabac,6019,Montreal,9,396,2021-03-18,2021-05-18,,396,44,,
AM20006647,Veolia ES Canada Services industriels inc.,1705 3e Avenue Pointe-aux-Trembles QC H1B5M9,Union des employes des industries diverses et connexes a la construction Teamsters local 1791 (FTQ),FTQ,Greve,Prive,Autres services publics,4999,Toutes les regions,250,250,2021-03-22,2021-03-22,2020-12-31,250,1,,
AQ20022066,Airex industries inc.,2500 rue Bernard-Lefebvre Laval H7C0A5,Association provinciale des ferblantiers couvreurs et metiers connexes section locale 116 (A.P.F.C.),FAT-COI,Greve et lock-out,Prive,Industries de la machinerie (sauf electrique),3199,Centre-du-Quebec,23,92,2021-03-24,2021-03-29,,92,4,,
AM20016291,Les Cartons Northrich inc.,222 rue Saint-Urbain Granby J2G7T4,Syndicat des Metallos section locale 9414,FTQ,Greve,Prive,Industries du papier et des produits en papier,2713,Monteregie,79,158,2021-03-26,2021-03-29,2020-05-11,158,2,,
AR10046998,Comite patronal de negociation des colleges (CPNC),1410 rue Stanley 7e etage Montreal,Federation du personnel professionnel des colleges (FPPC),CSQ,Greve,Public,Services d'enseignement,8521,Plus d'une region,1313,1866,2021-03-30,2021-05-13,2020-03-31,1866,2,,
AR10047002,Comite patronal de negociation des colleges (CPNC),1410 rue Stanley 7e etage Montreal,Federation des enseignantes et enseignants de CeGEP (FEC),CSQ,Greve,Public,Services d'enseignement,8521,Plus d'une region,2625,5250,2021-03-30,2021-05-13,2020-03-31,5250,2,,
AR10047008,Comite patronal de negociation des colleges (CPNC),1410 rue Stanley 7e etage Montreal,Federation du personnel de soutien (FPS),CSQ,Greve,Public,Services d'enseignement,8521,Plus d'une region,2750,5500,2021-03-30,2021-05-13,2020-03-31,5500,2,,
AR10046994,Comite patronal de negociation des commissions scolaires francophones (CPNCF),150 boulevard Rene-Levesque Est 16e etage Quebec,Federation des syndicats de l'enseignement (FSE-CSQ),CSQ,Greve,Public,Services d'enseignement,8511,Plus d'une region,60 329,18 099,2021-04-14,2021-04-14,2021-03-31,18099,1,,
AR10048827,Comite patronal de negociation des commissions  scolaires anglophones (CPNCA),1410 rue Stanley bureau 900 Montreal,L'Association provinciale des enseignantes et enseignants du Quebec (APEQ),Independant,Greve,Public,Services d'enseignement,8511,Plus d'une region,7 978,2 393,2021-04-14,2021-04-14,2021-03-31,2393,1,,
AM10022296,Commission scolaire Crie Crie school board,203 Main Street Mistissini G0W1C0,Association des employes du Nord quebecois (CSQ),CSQ,Greve,Public,Services d'enseignement,8511,Nord-du-Quebec,572,572,2021-04-14,2021-04-14,2020-03-31,572,1,,
AM10014146,Commission scolaire Crie Crie school board,203 Main Street Mistissini G0W1C0,Association des employes du Nord quebecois (CSQ),CSQ,Greve,Public,Services d'enseignement,8511,Nord-du-Quebec,418,418,2021-04-14,2021-04-14,2020-03-31,418,1,,
AM10014148,Commission scolaire Crie Crie school board,203 Main Street Mistissini G0W1C0,Syndicat des professionnelles et professionnels en milieu scolaire du Nord-Ouest (SPPMSNO-CSQ),CSQ,Greve,Public,Services d'enseignement,8511,Nord-du-Quebec,57,143,2021-04-14,2021-06-09,2020-03-31,143,3,,
AM10014156,Commission scolaire Kativik,9800 boulevard Cavendish bureau 400 Montreal H4M2V9,Association des employes du Nord quebecois (CSQ),CSQ,Greve,Public,Services d'enseignement,8511,Montreal,484,484,2021-04-28,2021-04-28,2020-03-31,484,1,,
AM20010931,Commission scolaire Kativik,9800 boulevard Cavendish bureau 400 Montreal H4M2V9,Association des employes du Nord quebecois (CSQ),CSQ,Greve,Public,Services d'enseignement,8511,Plus d'une region,373,373,2021-04-28,2021-04-28,2020-03-31,373,1,,
AM10023226,Commission scolaire Kativik,9800 boulevard Cavendish bureau 400 Montreal H4M2V9,Syndicat des professionnelles et professionnels de l'Ouest de Montreal,CSQ,Greve,Public,Services d'enseignement,8511,Plus d'une region,123,185,2021-04-28,2021-05-19,2020-03-31,185,2,,
AQ10041518,Olymel societe en commandite,568 chemin de l'ecore Sud Vallee-Jonction QC,Syndicat des travailleurs d'Olymel Vallee-Jonction (CSN),CSN,Greve,Prive,Industries des aliments,1011,Chaudiere-Appalaches,931,81928,2021-04-28,2021-08-31,2021-03-31,81928,88,,
AQ10037837,La Cie Materiaux de construction BP Canada usine de Pont-Rouge,Rue du Pont Ouest Case postale 430 Pont-Rouge QC G0A2X0,Syndicat national des travailleurs des pates et papiers de Pont-Rouge inc. (CSD),CSD,Greve,Prive,Industries du papier et des produits en papier,2714,Capitale-Nationale,75,1125,2021-04-29,2021-05-19,2020-12-31,1125,15,,
AR10046991,Comite patronal de negociation des commissions scolaires francophones (CPNCF),150 boulevard Rene-Levesque Est 16e etage Quebec QC,Federation des professionnelles et professionnels de l'education du Quebec (FPPEQ-CSQ),CSQ,Greve,Public,Services d'enseignement,8511,Plus d'une region,7763,15526,2021-04-29,2021-06-09,2021-03-31,15526,2,,
AR10049443,Comite patronal de negociation des commissions  scolaires anglophones (CPNCA),1410 rue Stanley bureau 900 Montreal,Federation des professionnelles et professionnels de l'education du Quebec,CSQ,Greve,Public,Services d'enseignement,8511,Plus d'une region,742,1105,2021-04-29,2021-06-09,2021-03-31,1105,2,,
