Numero_accreditation,Nom_employeur,Adresse_employeur,Nom_association,Sigle_du_syndicat,Statut_arret_de_travail,Secteur_activite_economique,Code_activite_economique,Region_administrative,Nombre_de_travailleurs_touches,Nombre_jours_personnes_perdus_depuis_debut_arret_travail,Date_de_debut_arret_de_travail,Date_de_fin_arret_de_travail,Date_expiration_derniere_convention_collective,Duree_en_jours_civils
AQ10040305,Optagest Canada inc.,660 Boulevard Laure Suite 104 Sept-Iles (Quebec) G4R1X9,Métallurgistes unis d'Amérique  section locale 7065 (FTQ/CTC),FTQ,Grève,Services de santé et services sociaux,8666,Côte-Nord,12,8772,1996-05-03,1999-03-30,1995-10-31,1062
AM10008664,"The Gazette, une division de Canwest Publishing Inc.",1010 rue sainte-Catherine Ouest bureau 200  Montréal H3B5L1,Unifor section locale 145,FTQ,Lock-out,"Imprimerie, édition et industries connexes",2841,Montréal,8,16991,1996-06-03,2002-05-14,1996-04-30,2172
AQ10034626,Les Carrières St-Marc ltée,St-Marc-des-Carrières Portneuf (Québec) G0A4B0,Syndicat national des travailleurs de l'industrie  de la pierre et du granit,CSN,Grève et lock-out,Industries des produits minéraux non métalliques,3531,Capitale-Nationale,14,11326,1996-06-27,1999-09-08,1996-05-31,1169
AQ10034281,Famous Players inc. ,1432 rue Bleury  Montréal H3A2J1,Alliance internationale des employés de scènes et des projectionnistes du Canada et des États-Unis section locale 523,FTQ,Lock-out,Services de divertissements et de loisirs,9621,Capitale-Nationale,2,1472,1997-04-17,1999-03-04,1996-03-31,687
AQ10034499,Famous Players limited partnership,352 rue Emery bureau 500 Montréal H2X1J1,Alliance internationale des employés de scène de théâtre techniciens de l'image artistes et métiers connexes des États-Unis ses territoires et du Canada section locale 523 Québec,FTQ,Lock-out,Services de divertissements et de loisirs,9621,Capitale-Nationale,3,1962,1997-04-17,1999-03-04,1996-03-31,687
AM10026720,"Legendre, Lubawin, Goldfarb inc.",1172 rue St-Mathieu  Montréal H3H2H5,Syndicat des travailleurs et travailleuses de Montréal Recherche ,CSN,Lock-out,Services aux entreprises,7798,Montréal,18,9432,1997-06-21,1999-07-13,,753
AM10015660,La Maison Jésus Marie,86 rue Saint-Charles Est  Longueuil J4H1A9,Syndicat des travailleuses et travailleurs de la Maison Jésus Marie ,CSN,Grève et lock-out,Associations,9811,Montréal,66,33679,1998-01-17,1999-06-07,1997-03-31,507
AM10015073,Benny Anjou inc.,179 rue Henry-Bessemer  Bois-des-Filion J6Z4S9,Syndicat des travailleurs(euses) des rôtisseries Au Coq ,CSN,Grève,Restauration,9213,Montréal,24,6994,1998-04-13,1999-01-25,1996-12-31,288
AQ10043712,Caisse populaire Desjardins des Escoumins,11 Rue Sirois case postale 159 Les Escoumins G0T1K0,Syndicat des salariées de la Caisse populaire des Escoumins ,CSN,Grève,Intermédiaires financiers de dépôts,7051,Côte-Nord,13,2593,1998-07-23,1999-05-10,,292
AM10026846,Office municipal d'habitation de Montréal,415 rue Saint-Antoine Ouest  Montréal H2Z1H8,Syndicat canadien de la fonction publique  section locale 301,FTQ,Grève,Services des administrations locales,8374,Montréal,125,28062,1998-08-03,1999-06-28,1995-12-31,330
AQ10040577,Premier Horticulture ltée,454 chemin Témiscouata Case postale 2600 Rivière-du-Loup G5R4C9,Syndicat des travailleurs et travailleuses Sogevex ,CSN,Grève,Mines,622,Côte-Nord,52,10608,1998-08-13,1999-06-06,1998-04-30,298
AQ10033297,Michaud Automobiles inc.,180 rue de l'Évêché Ouest  Rimouski G5L4H9,Syndicat national des employés de garages de Rimouski inc.,CSN,Grève et lock-out,"Commerces de détail des véhicules automobiles, pièces et accessoires",6311,Bas-Saint-Laurent,9,4167,1998-08-28,2000-07-09,1998-07-31,682
AQ10045813,Auto F. Rousseau inc.,560 rue Saint-Germain Ouest  Rimouski G5L3R2,Syndicat national des employés de garages de Rimouski inc.,CSN,Grève et lock-out,"Commerces de détail des véhicules automobiles, pièces et accessoires",6311,Bas-Saint-Laurent,5,2385,1998-08-28,2000-07-30,1998-07-31,703
