"Numero_accreditation	Nom_employeur	Adresse_employeur	Nom_association	Syndicat	Statut_arret_de_travail	Secteur_Prive_Public	Secteur_activite_economique	Code_activite_economique	Region_administrative	Nombre_de_travailleurs_touches	Nombre_de_jours_personnes_perdus_dans_annee	Debut_du_conflit	Date_de_fin	Date_expiration_derniere_convention_collective	Nombre_,jours_personnes_perdus_depuis_debut_du_conflit	Duree_jours_ouvrables_2020,"
"AQ20012965	AGF,Acces,inc.	595,avenue,Newton,,Quebec,G1P4C4	Travailleurs,et,travailleuses,unis,de,l'alimentation,et,du,commerce,section,locale,501	FTQ	Greve	Prive	Autres,services	9911	Capitale-Nationale	16	736	2019-06-13	2020-03-04	2018-12-31	2960	46"
"AM20010079	Residence,Le,Monastere,d'Aylmer,2004,inc.	625,boulevard,Rene-Levesque,Ouest,bureau,600,,Montreal,H3B1R2	Teamsters,Quebec,local,106	FTQ	Greve	Prive	Services,de,sante,et,services,sociaux	8627	Outaouais	78	5	2019-09-30	2020-01-28	2019-04-01	28	1"
"AM20009243	Centre,de,la,petite,enfance,MaÃ¯monide,CÃ´te-St-Luc	5615,avenue,Parkhaven,,Cote-Saint-Luc,H4W1X3	Union,des,employes,et,employees,de,service,section,locale,800	FTQ	Greve	Prive	Services,de,sante,et,services,sociaux	8641	Montreal	15	30	2019-11-04	2020-01-16	2017-03-01	45	2"
"AQ20008483	Chartwell,Domaine,de,Bordeaux,residence,pour,retraites	2140,chemin,Saint-Louis,,Quebec,G1T1P8	Syndicat,quebecois,des,employees,et,employes,de,service,section,locale,298,(FTQ)	FTQ	Greve	Prive	Services,de,sante,et,services,sociaux	8627	Capitale-Nationale	9	715	2019-11-26	2020-09-24	2019-07-31	761	77"
"Juridiction,federale	Swissport,Canada,inc.	12555,rue,Services,A4,,Mirabel,J7N1E9	Association,internationale,des,machinistes,et,des,travailleurs,et,travailleuses,de,l'aerospatiale,District,140	FTQ	Greve	Prive	Transports	4521	Montreal	71	2429	2019-12-31	2020-02-03	2019-08-08	2500	34"
"AM20008767	Universite,Concordia	1455,boulevard,De,Maisonneuve,Ouest,,Montreal,H3G1M8	Concordia,University,Library,employees',Union,(CSN),-,Syndicat,des,employe(e)s,des,bibliotheques,de,l'Universite,Concordia,(CSN)	CSN	Greve	Public	Services,d'enseignement	8561	Montreal	69	21	2020-01-16	2020-01-16	2015-05-31	21	1"
"AM10020085	Librairie,cooperative,du,college,de,Maisonneuve	3800,rue,Sherbrooke,Est,,Montreal,H1X2A2	Syndicat,des,Travailleuses,et,Travailleurs,de,la,Coop,Cegep,Maisonneuve,-,CSN	CSN	Greve	Prive	Autres,commerces,de,detail	6511	Montreal	30	1800	2020-01-28	2020-04-30	2019-11-02	1800	60"
"	Ministere,de,la,Famille	425,Jacques-Parizeau,,Quebec,G1R4Z1	Federation,des,intervenantes,en,petite,enfance,du,Quebec	CSQ	Greve	Public	Services,de,sante,et,services,sociaux	8641	Toutes,les,regions	10000	64502	2020-01-31	2020-09-27		64502	18"
"AM10048903	Chemtrade,Chemicals,Canada,Ltd	155,Gordon,Baker,Road,Suite,300,North,York,(Ontario),,M2H3N5	Syndicat,des,travailleuses,et,des,travailleurs,des,Produits,performants,General,Chemical,-,CSN	CSN	Lock-out	Prive	Industries,chimiques	3711	Monteregie	7	7	2020-02-07	2020-02-07	2019-10-15	7	1"
"AM10046457	Hydro-Quebec	Direction,qualite,de,vie,au,travail,75,boulevard,Rene-Levesque,Ouest,14e,etage,Montreal,QC,H2Z1A4	Syndicat,des,employe-es,de,metiers,d'Hydro-Quebec,section,locale,1500,SCFP,(F.T.Q.)	FTQ	Greve	Public	Autres,services,publics	4911	Toutes,les,regions	1000	1000	2020-02-17	2020-02-17	2023-12-31	1000	1"
"	Ministere,de,la,Famille	425,Jacques-Parizeau,,Quebec,G1R4Z1	Syndicats,des,responsables,de,service,de,garde,en,milieu,familial,affilies,a,la,CSN	CSN	Greve	Public	Services,de,sante,et,services,sociaux	8641	Toutes,les,regions	2500	9075	2020-02-28	2020-06-18		9075	8"
"AM20019010	Hema-Quebec	4045,,boulevard,de,la,CÃ´te-Vertu,,Montreal,H4R2W7	Syndicat,des,techniciens(nes),de,laboratoire,de,Hema-Quebec	CSN	Greve	Public	Services,de,sante,et,services,sociaux	8685	montreal	9	17	2020-03-01	2020-03-02		2	2"
"AM10014075	Universite,de,Sherbrooke	2500,boulevard,de,l'Universite,,Sherbrooke,J1K2R1	Syndicat,des,chargees,et,charges,de,cours,de,l'Universite,de,Sherbrooke,(CSQ)	CSQ	Greve	Public	Services,d'enseignement	8561	Estrie	2574	7979	2020-03-09	2020-03-12	2018-03-31	7979	4"
"AM20007338	Municipalite,d'Ascot,Corner	5655,route,112,,Ascot,Corner,J0B1A0	Syndicat,des,travailleuses,et,travailleurs,de,la,municipalite,d'Ascot,Corner,-,CSN	CSN	Greve	Public	Services,des,administrations,locales	8351	Estrie	12	12	2020-06-16	2020-06-16	2018-12-31	12	1"
"AQ20018202	Les,Aliments,Serval,Canada,ltee	303,rue,Saint-Marc,,Louiseville,J5V2G2	Travailleurs,et,travailleuses,unis,de,l'alimentation,et,du,commerce,Section,locale,501	FTQ	Greve	Prive	Industries,des,aliments	1061	Mauricie	20	1040	2020-06-30	2020-09-08	2019-12-31	1040	52"
"AQ20008960	Chartwell,Appartements,de,Bordeaux,residence,pour,retraites	2142,chemin,Saint-Louis,,Quebec,G1T1P7	Syndicat,quebecois,des,employees,et,employes,de,service,section,locale,298,(FTQ)	FTQ	Greve	Prive	Services,de,sante,et,services,sociaux	8627	Capitale-Nationale	6	437	2019-05-30	2020-09-15	2018-12-31	534	68"
"AQ20013858	CSH-HCN,Lessee,(Archer),LP	1217,route,de,l'eglise,,Quebec,G1W3P2	Syndicat,quebecois,des,employees,et,employes,de,service,section,locale,298,(FTQ)	FTQ	Greve	Prive	Services,de,sante,et,services,sociaux	8627	Capitale-Nationale	9	836	2020-07-10	2020-10-07	2019-10-12	836	90"
"AQ20013856	CSH-HCN,Lessee,(Chicoutimi),LP	200,rue,Don-Bosco,,Chicoutimi,G7H7P6	Syndicat,quebecois,des,employees,et,employes,de,service,section,locale,298,(FTQ)	FTQ	Greve	Prive	Services,de,sante,et,services,sociaux	8627	Saguenay--Lac-Saint-Jean	7	357	2020-07-10	2020-08-28	2019-11-30	357	50"
"AQ20013700	CSH-HCN,Lessee,(Giffard),LP	2321,chemin,de,la,Canardiere,,Quebec,G1J0A3	Syndicat,quebecois,des,employees,et,employes,de,service,section,locale,298,(FTQ)	FTQ	Greve	Prive	Services,de,sante,et,services,sociaux	8627	Capitale-Nationale	6	546	2020-07-10	2020-10-02	2019-10-04	546	85"
"AQ20013857	CSH-HCN,Lessee,(Jonquiere),LP	3978,boulevard,Harvey,,Jonquiere,G8A2J9	Syndicat,quebecois,des,employees,et,employes,de,service,section,locale,298,(FTQ)	FTQ	Greve	Prive	Services,de,sante,et,services,sociaux	8627	Saguenay--Lac-Saint-Jean	7	400	2020-07-10	2020-09-03	2020-02-19	400	56"
"AQ20013554	CSH-HCN,Lessee,(Saguenay),LP	1901,rue,des,Roitelets,,Chicoutimi,G7H7L7	Syndicat,quebecois,des,employees,et,employes,de,service,section,locale,298,(FTQ)	FTQ	Greve	Prive	Services,de,sante,et,services,sociaux	8627	Saguenay--Lac-Saint-Jean	3	103	2020-07-10	2020-08-14	2019-08-31	103	36"
"AQ10056547	Parmalat,Canada,inc.	75,boulevard,Industriel,Est,,Victoriaville,G6T1S8	Syndicat,des,salaries,de,la,production,de,Lactantia,(CSD)	CSD	Greve,et,lock-out	Prive	Industries,des,aliments	1049	Centre-du-Quebec	430	16770	2020-07-14	2020-09-04	2019-10-14	16770	39"
"Juridiction,federale	Association,des,employeurs,maritimes	2100,avenue,Pierre-Dupuy,aile,no,2,bureau,1040,Cite,du,Havre,Montreal,H3C3R5	Syndicat,des,Debardeurs,(SCFP),section,locale,375	FTQ	Greve	Prive	Transports	4552	Montreal	804	4018	2020-07-27	2020-07-31	2018-12-31	4018	5"
"AQ10032389	Mecart,inc.	110,rue,de,Rotterdam,case,postale,260,Saint-Augustin-de-Desmaures,G3A1T3	Syndicat,des,travailleurs,de,Mecart,(CSN)	CSN	Greve	Prive	Autres,industries,manufacturieres	3999	Capitale-Nationale	42	5	2020-07-28	2020-07-28	2019-12-31	5	1"
"Juridiction,federale	Association,des,employeurs,maritimes	2100,avenue,Pierre-Dupuy,aile,no,2,bureau,1040,Cite,du,Havre,Montreal,H3C3R5	Association,international,des,debardeurs,section,locale,1657	IND,INT	Greve	Prive	Transports	4552	Montreal	100	200	2020-07-31	2020-08-01	2018-12-31	200	2"
"AM10052200	Le,Groupe,Jean,Coutu,(PJC),inc.	530,rue,Beriault,,Longueuil,J4G1S8	Syndicat,des,travailleuses,et,travailleurs,de,PJC,entrepot,-,CSN	CSN	Greve,et,lock-out	Prive	Commerces,de,gros,de,produits,alimentaires,de,boissons,de,medicaments,et,de,tabac	5232	Monteregie	712	27056	2020-09-23	2020-11-14	2019-12-31	27056	38"
"AM20017844	Demix,Beton,une,division,de,Groupe,CRH,Canada,inc.	435,rue,Jean-Neveu,,Longueuil,J4G2P9	Syndicat,des,travailleurs,de,Demix,Beton,(St-Hubert),-,CSN	CSN	Lock-out	Prive	Industrie,du,beton,prepare	3551	Monteregie	28	1036	2020-09-24	2020-11-15	2020-04-30	1036	37"
