NUMEROTATION,VARIABLES,REGION,2019_TOTAL_EFFECTIF,2018_TOTAL_EFFECTIF,2017_TOTAL_EFFECTIF,2016_TOTAL_EFFECTIF,2015_TOTAL_EFFECTIF,2014_TOTAL_EFFECTIF,2013_TOTAL_EFFECTIF,2012_TOTAL_EFFECTIF,2011_TOTAL_EFFECTIF,2010_TOTAL_EFFECTIF,TITRE_RAPPORT,DATE_PRODUCTION,SOURCE,PRODUIT_PAR
1,Nombre de personnes au 31 mars,01 - Bas-Saint-Laurent,7 382,7 293,7 187,7 306,7 385,7 482,7 481,7 444,7 394,7 326,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
2,Nombre de personnes au 31 mars,02 - Saguenay - Lac-Saint-Jean,10 230,10 153,9 837,9 914,9 997,10 012,9 963,9 956,9 787,9 702,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
3,Nombre de personnes au 31 mars,03 - Capitale-Nationale,31 034,30 737,30 355,30 217,30 394,30 523,30 288,29 786,29 576,29 484,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
4,Nombre de personnes au 31 mars,04 - Mauricie et Centre-du-Québec,17 244,16 722,16 277,16 312,16 384,16 494,16 199,15 853,15 559,15 225,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
5,Nombre de personnes au 31 mars,05 - Estrie,16 747,16 367,15 914,15 835,12 678,12 635,12 269,11 975,11 736,11 540,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
6,Nombre de personnes au 31 mars,06 - Montréal,91 993,89 926,87 223,86 345,86 712,87 163,86 975,86 857,85 297,84 454,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
7,Nombre de personnes au 31 mars,07 - Outaouais,9 697,9 578,9 312,9 289,9 453,9 406,9 272,9 051,8 941,8 754,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
8,Nombre de personnes au 31 mars,08 - Abitibi-Témiscamingue,5 502,5 523,5 690,5 624,5 696,5 711,5 636,5 598,5 542,5 451,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
9,Nombre de personnes au 31 mars,09 - Côte-Nord,3 424,3 461,3 518,3 522,3 558,3 513,3 479,3 428,3 469,3 467,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
10,Nombre de personnes au 31 mars,10 - Nord-du-Québec,602,599,643,649,644,637,642,636,613,615,Données par région sociosanitaire concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
