NUMEROTATION,VARIABLES,CATEGORIE_SOUS-CATEGIE_PERSONNEL,2019_TOTAL_EFFECTIF,2018_TOTAL_EFFECTIF,2017_TOTAL_EFFECTIF,2016_TOTAL_EFFECTIF,2015_TOTAL_EFFECTIF,2014_TOTAL_EFFECTIF,2013_TOTAL_EFFECTIF,2012_TOTAL_EFFECTIF,2011_TOTAL_EFFECTIF,2010_TOTAL_EFFECTIF,TITRE_RAPPORT,DATE_PRODUCTION,SOURCE,PRODUIT_PAR
1,Nombre de personnes en emploi au 31 mars de l'année,11 - Infirmière,31 296,31 778,32 310,33 434,33 805,35 011,35 114,35 275,35 670,36 087,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
2,Nombre de personnes en emploi au 31 mars de l'année,12 - Infirmière clinicienne et praticienne,27 474,25 665,24 012,22 327,21 431,19 474,18 355,17 581,16 513,15 760,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
3,Nombre de personnes en emploi au 31 mars de l'année,13 - Inhalothérapeute,3 550,3 539,3 515,3 513,3 459,3 371,3 320,3 219,3 123,3 042,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
4,Nombre de personnes en emploi au 31 mars de l'année,14 - Perfusionniste,75,75,75,73,72,63,65,54,51,51,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
5,Nombre de personnes en emploi au 31 mars de l'année,15 - Infirmière auxiliaire,18 908,18 554,18 132,18 399,18 616,18 655,18 303,17 630,16 863,16 095,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
6,Nombre de personnes en emploi au 31 mars de l'année,16 - Externe en soins infirmiers,86,111,68,64,107,107,126,86,133,140,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
7,Nombre de personnes en emploi au 31 mars de l'année,17 - Externe en inhalothérapie,45,38,16,26,44,51,60,80,74,97,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
8,Nombre de personnes en emploi au 31 mars de l'année,10 - Personnel en soins infirmiers et cardio-respiratoires,81 434,79 760,78 128,77 836,77 534,76 732,75 343,73 925,72 427,71 272,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
9,Nombre de personnes en emploi au 31 mars de l'année,21 - Préposé aux bénéficiaires,41 563,41 599,39 995,39 497,39 490,39 833,39 513,39 143,38 652,38 163,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
10,Nombre de personnes en emploi au 31 mars de l'année,22 - Auxiliaire familiale,6 189,6 210,6 165,6 203,6 300,6 226,6 006,5 898,5 727,5 704,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
11,Nombre de personnes en emploi au 31 mars de l'année,23 - Autres paratechniques,9 655,8 755,8 320,8 339,8 272,8 167,7 992,7 931,7 731,7 517,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
12,Nombre de personnes en emploi au 31 mars de l'année,24 - Services auxiliaires,25 475,25 418,24 949,24 718,24 806,25 246,25 444,25 520,25 671,25 785,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
13,Nombre de personnes en emploi au 31 mars de l'année,25 - Métiers,1 506,1 463,1 416,1 360,1 400,1 398,1 420,1 421,1 423,1 447,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
14,Nombre de personnes en emploi au 31 mars de l'année,20 - Personnel paratechnique  services auxiliaires et métiers,84 388,83 445,80 845,80 117,80 268,80 870,80 375,79 913,79 204,78 616,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
15,Nombre de personnes en emploi au 31 mars de l'année,31 - Employé de bureau,29 887,29 234,28 206,28 014,28 584,28 892,29 095,28 989,28 988,28 794,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
16,Nombre de personnes en emploi au 31 mars de l'année,32 - Technicien de l'administration,6 508,6 365,6 202,6 066,6 265,6 338,6 293,6 178,6 095,5 977,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
