NUMEROTATION,VARIABLES,CATEGORIE_SOUS-CATEGORIE_PERSONNEL,2019_TOTAL_EFFECTIF_TCR,2019_TOTAL_EFFECTIF_TPR,2019_TOTAL_EFFECTIF_TPO,2019_TOTAL EFFECTIF,2018_TOTAL_EFFECTIF_TCR,2018_TOTAL_EFFECTIF_TPR,2018_TOTAL_EFFECTIF_TPO,2018_TOTAL EFFECTIF,2017_TOTAL_EFFECTIF_TCR,2017_TOTAL_EFFECTIF_TPR,2017_TOTAL_EFFECTIF_TPO,2017_TOTAL EFFECTIF,2016_TOTAL_EFFECTIF_TCR,2016_TOTAL_EFFECTIF_TPR,2016_TOTAL_EFFECTIF_TPO,2016_TOTAL EFFECTIF,2015_TOTAL_EFFECTIF_TCR,2015_TOTAL_EFFECTIF_TPR,2015_TOTAL_EFFECTIF_TPO,2015_TOTAL EFFECTIF,2014_TOTAL_EFFECTIF_TCR,2014_TOTAL_EFFECTIF_TPR,2014_TOTAL_EFFECTIF_TPO,2014_TOTAL EFFECTIF,2013_TOTAL_EFFECTIF_TCR,2013_TOTAL_EFFECTIF_TPR,2013_TOTAL_EFFECTIF_TPO,2013_TOTAL EFFECTIF,2012_TOTAL_EFFECTIF_TCR,2012_TOTAL_EFFECTIF_TPR,2012_TOTAL_EFFECTIF_TPO,2012_TOTAL EFFECTIF,2011_TOTAL_EFFECTIF_TCR,2011_TOTAL_EFFECTIF_TPR,2011_TOTAL_EFFECTIF_TPO,2011_TOTAL EFFECTIF,2010_TOTAL_EFFECTIF_TCR,2010_TOTAL_EFFECTIF_TPR,2010_TOTAL_EFFECTIF_TPO,2010_TOTAL EFFECTIF,TITRE_RAPPORT,DATE_PRODUCTION,SOURCE,PRODUIT_PAR
1,Nombre d'emplois au 31 mars,11 - Infirmière,14 991,14 391,2 275,31 657,15 162,14 485,2 511,32 158,15 639,14 615,2 593,32 847,16 509,14 821,2 569,33 899,16 664,14 717,2 879,34 260,17 242,15 249,3 013,35 504,17 181,15 287,3 161,35 629,16 305,14 415,5 086,35 806,16 328,14 956,4 940,36 224,16 407,14 939,5 323,36 669,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
2,Nombre d'emplois au 31 mars,12 - Infirmière clinicienne et praticienne,17 345,9 622,1 026,27 993,16 023,9 073,1 041,26 137,15 003,8 440,1 077,24 520,14 294,7 374,1 064,22 732,13 838,6 913,1 084,21 835,12 731,6 199,978,19 908,11 749,5 947,1 063,18 759,10 777,5 260,1 934,17 971,10 192,4 912,1 770,16 874,9 709,4 631,1 807,16 147,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
3,Nombre d'emplois au 31 mars,13 - Inhalothérapeute,1 865,1 589,147,3 601,1 811,1 585,198,3 594,1 732,1 638,255,3 625,1 722,1 666,201,3 589,1 698,1 641,191,3 530,1 642,1 604,198,3 444,1 619,1 565,230,3 414,1 508,1 443,366,3 317,1 414,1 455,340,3 209,1 339,1 422,370,3 131,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
4,Nombre d'emplois au 31 mars,14 - Perfusionniste,70,3,4,77,68,4,3,75,69,4,2,75,64,6,3,73,65,4,3,72,55,6,2,63,56,7,7,70,47,3,10,60,44,2,11,57,42,3,12,57,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
5,Nombre d'emplois au 31 mars,15 - Infirmière auxiliaire,7 057,11 363,790,19 210,6 732,11 379,778,18 889,6 599,11 122,795,18 516,6 700,11 293,765,18 758,6 777,11 341,853,18 971,6 666,11 348,1 004,19 018,6 430,11 246,987,18 663,5 964,10 283,1 765,18 012,5 677,9 732,1 872,17 281,5 284,8 909,2 352,16 545,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
6,Nombre d'emplois au 31 mars,16 - Externe en soins infirmiers,       ,2,87,89,       ,       ,113,113,       ,1,71,72,       ,       ,67,67,       ,       ,109,109,       ,       ,115,115,       ,       ,134,134,       ,       ,89,89,       ,       ,140,140,       ,       ,148,148,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
7,Nombre d'emplois au 31 mars,17 - Externe en inhalothérapie,       ,1,47,48,       ,1,43,44,       ,       ,17,17,       ,       ,28,28,       ,       ,49,49,       ,       ,56,56,       ,       ,61,61,       ,       ,91,91,       ,1,81,82,       ,       ,102,102,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
8,Nombre d'emplois au 31 mars,10 - Personnel en soins infirmiers et cardio-respiratoires,41 328,36 971,4 376,82 675,39 796,36 527,4 687,81 010,39 042,35 820,4 810,79 672,39 289,35 160,4 697,79 146,39 042,34 616,5 168,78 826,38 336,34 406,5 366,78 108,37 035,34 052,5 643,76 730,34 601,31 404,9 341,75 346,33 655,31 058,9 154,73 867,32 781,29 904,10 114,72 799,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
9,Nombre d'emplois au 31 mars,21 - Préposé aux bénéficiaires,13 359,16 894,12 087,42 340,12 721,17 014,12 628,42 363,12 438,17 059,11 415,40 912,12 527,17 404,10 328,40 259,12 464,17 322,10 456,40 242,12 385,16 863,11 382,40 630,12 210,16 653,11 506,40 369,11 730,15 609,12 660,39 999,11 467,15 129,12 977,39 573,11 192,14 836,13 158,39 186,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
10,Nombre d'emplois au 31 mars,22 - Auxiliaire familiale,3 265,1 101,1 909,6 275,3 134,1 097,2 056,6 287,3 074,1 163,2 059,6 296,3 147,1 185,1 975,6 307,3 124,1 221,2 065,6 410,3 098,1 191,2 057,6 346,3 085,1 156,1 873,6 114,2 856,997,2 153,6 006,2 732,990,2 115,5 837,2 646,1 005,2 171,5 822,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
