unite-administrative,auto-appartenant,auto-loc-lt,camion-legers-appartenant,camion-leger-loc-lt,camion-lourd-appartenant,camion-lourd-loc-lt,veh-outil-leger-appartenant,veh-outil-leger-loc-lt,veh-outil-lourd-appartenant,veh-outil-lourd-loc-lt,autre-leger-appartenant,autre-leger-loc-lt,autre-lourd-appartenant,autre-lourd-loc-lt
Arr. Ahuntsic-Cartierville ,18,3,39,8,46,9,12,0,26,9,66,1,24,0
Arr. Anjou,10,0,25,0,21,0,6,0,22,0,33,0,3,0
Arr. Côte-des-Neiges–Notre-Dame-de-Grâce ,16,5,40,0,66,6,19,0,30,4,56,0,23,0
Arr. Lachine,20,0,38,0,34,0,8,0,20,0,45,0,3,1
Arr. LaSalle,29,0,31,0,53,0,15,0,49,0,29,0,9,0
Arr. L'Île-Bizard–Sainte-Geneviève ,6,0,15,0,13,0,4,0,11,0,16,0,5,0
Arr. Mercier–Hochelaga-Maisonneuve ,20,0,41,9,64,4,22,0,36,10,62,1,35,0
Arr. Montréal-Nord,15,0,34,0,35,0,8,0,35,2,50,0,13,0
Arr. Outremont,17,0,15,0,21,0,6,0,10,0,31,0,9,0
Arr. Pierrefonds-Roxboro ,21,1,51,0,54,0,31,0,24,10,66,1,7,0
Arr. Plateau-Mont-Royal ,24,7,33,12,52,6,18,0,32,10,55,2,24,0
Arr. Rivière-des-Prairies–Pointe-aux-Trembles ,10,11,32,0,44,3,15,0,28,9,63,0,28,0
Arr. Rosemont–La Petite-Patrie ,31,10,92,9,88,4,21,0,20,22,65,19,18,0
Arr. Saint-Laurent,35,0,38,0,67,0,10,0,48,0,83,0,19,0
Arr. Saint-Léonard,12,0,44,0,38,0,8,0,23,3,34,0,7,0
Arr. Sud-Ouest,26,0,41,0,43,6,18,0,30,9,62,0,28,0
Arr. Verdun,32,0,44,0,25,0,16,0,31,0,14,0,11,0
Arr. Ville-Marie,39,0,57,8,86,2,20,1,46,8,88,0,49,1
Arr. Villeray–Saint-Michel–Parc-Extension ,20,1,58,5,52,5,29,0,43,10,66,3,31,0
Bureau de l'inspecteur général,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Direction générale,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Service de la concertation des arrondissements,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Service de la culture,3,0,7,0,0,0,0,0,0,0,0,0,1,0
Service de la diversité sociale et des sports,1,0,1,0,0,0,0,0,3,0,4,0,0,0
Service de la gestion et planification immobilière,48,0,171,0,13,0,2,0,0,0,15,0,6,0
Service de la mise en valeur du territoire,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Service de l'approvisionnement,0,0,5,0,2,0,6,0,2,0,2,0,0,0
Service de l'eau,67,0,98,0,29,0,5,0,13,0,39,0,11,0
Service de l'environnement,20,0,32,0,7,0,1,0,11,0,17,0,2,0
Service de l'Espace pour la vie,8,0,19,0,4,0,8,0,9,0,21,1,3,0
Service de l'évaluation foncière,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Service de sécurité incendie de Montréal,137,0,35,0,216,0,0,0,0,0,68,0,1,0
Service des affaires juridiques ,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Service des communications,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Service des finances,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"Service des grands parcs, du verdissement et du Mont-Royal",29,0,6,0,1,0,6,0,11,0,49,0,3,0
"Service des infrastructures, de la voirie et des transports",34,0,27,0,1,0,0,0,0,0,12,0,0,0
Service du développement économique,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Service du greffe,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Service du matériel roulant et des ateliers,20,0,33,0,34,0,9,0,23,0,15,0,6,0
Services des technologies de l'information,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Total général,823,38,1203,51,1209,45,323,1,636,106,1227,28,379,2
